;info;enunciado;options;ano;banca;orgao;prova
0;Ano: 2012 Banca: CESPE / CEBRASPE Órgão: TJ-RO Prova: CESPE - 2012 - TJ-RO - Analista Judiciário - Assistência Social;"A Lei n.º 7.853/1989 regulamenta e assegura os direitos de pessoas portadoras de necessidades especiais. Esse dispositivo legal

";"Alternativas
A
determina o pagamento de multa correspondente a dez salários mínimos a quem negar emprego ou trabalho a alguém, sem justa causa, por motivos derivados de sua deficiência.

B
restringe o atendimento domiciliar de saúde às pessoas com idade acima de 65 anos com deficiência grave.

C
assegura o oferecimento de programas de educação especial, por período máximo de seis meses, em unidades hospitalares, quando o aluno com deficiência estiver internado.

D
restringe o acesso aos cursos regulares voltados à formação profissional às pessoas com deficiência e que têm até 16 anos de idade.

E
recomenda que os assuntos relativos às pessoas com deficiência sejam incluídos na Política Nacional para Integração da Pessoa Portadora de Deficiência, por meio de planos, programas e projetos sujeitos a prazos e objetivos determinados.
";2012;CESPE;TJ-RO ; CESPE - 2012 - TJ-RO - Analista Judiciário - Assistência Social
1;Ano: 2014 Banca: CETRO Órgão: IF-PR Prova: CETRO - 2014 - IF-PR - Assistente Social;"Quanto aos objetivos e de acordo com a Política Nacional para Integração da Pessoa Portadora de Deficiência, marque V para verdadeiro ou F para falso e, em seguida, assinale a alternativa que apresenta a sequência correta.

( ) Desenvolvimento de programas setoriais destinados ao atendimento das necessidades especiais da pessoa portadora de deficiência.

( ) Formação de recursos humanos para atendimento da pessoa portadora de deficiência.

( ) O acesso, o ingresso e a permanência da pessoa portadora de deficiência em todos os serviços oferecidos à comunidade.

( ) Integração das ações dos órgãos e das entidades públicas e privadas nas áreas de saúde, educação, trabalho, transporte, assistência social, edificação pública, previdência social, habitação, cultura, desporto e lazer, visando à prevenção das deficiências, à eliminação de suas múltiplas causas e à inclusão social.";"Alternativas
A
V/ V/ V/ V
B
F/ F/ V/ V
C
F/ V/ F/ V
D
V/ F/ V/ F
E
F/ F/ F/ V";2014;CETRO;IF-PR ; CETRO - 2014 - IF-PR - Assistente Social
2;Ano: 2014 Banca: FCC Órgão: TJ-AP Prova: FCC - 2014 - TJ-AP - Analista Judiciário - Área Apoio Especializado - Serviço Social;O assistente social do Tribunal de Justiça, ao atender uma família, tendo entre um de seus membros uma criança com deficiência que não recebe atendimento na rede pública de saúde, deve;"Alternativas
A
oferecer todas as orientações necessárias que subsidiem para busca do seu direito, pois a legislação assegura atendimento integral à saúde da criança e do adolescente, por intermédio do Sistema Único de Saúde, garantido o acesso universal e igualitário às ações e serviços para promoção, proteção e recuperação da saúde, e atendimento especializado à criança e ao adolescente portadores de deficiência.
B
encaminhar a família para o Centro de Referência de Assistência Social − CRAS, considerando que, para tanto, é necessário que haja uma declaração de que essa criança é, de fato, uma pessoa com deficiência nos termos da Lei no 8.742/1993.
C
agendar junto ao Instituto Nacional do Seguro Social − INSS, uma perícia para avaliação da criança, pois, para que se enquadre na condição de prioridade no atendimento da política de saúde há necessidade de que a mesma seja avaliada pelas normas da Classificação Internacional de Funcionalidade − CIF, que é fornecida pela perícia médica do INSS.
D
solicitar junto ao Ministério Público, especificamente à Promotoria dos Direitos Constitucionais, uma senha para que a família seja atendida pelo corpo técnico vinculado à essa instância, que se configura como a única autorizada a prover os direitos sociais relacionados às prioridades previstas na Lei no 11.185/2005.
E
informar que não há ação de garantia de prioridade para o caso específico que se coloca, pois a saúde é uma política pública de acesso universal e isso inclui: crianças e adolescentes, idosos, pessoas com deficiências e, no caso específico da saúde, a prioridade se dá pelo nível de gravidade.";2014;FCC;TJ-AP ; FCC - 2014 - TJ-AP - Analista Judiciário - Área Apoio Especializado - Serviço Social
3;Ano: 2015 Banca: CESPE / CEBRASPE Órgão: DEPEN Prova: CESPE / CEBRASPE - 2015 - DEPEN - Técnico de Enfermagem;"Com base nas disposições da Política Nacional de Atenção Integral à Saúde das Pessoas Privadas de Liberdade no Sistema Prisional, julgue o item que se segue.


A adaptação das unidades prisionais para atender às pessoas presas com deficiência, idosas e com doenças crônicas é de competência dos municípios e do Distrito Federal, que devem fazê-lo por intermédio da respectiva secretaria. 


";"Alternativas
Certo
Errado";2015;CESPE;DEPEN ; CESPE / CEBRASPE - 2015 - DEPEN - Técnico de Enfermagem
4;Ano: 2014 Banca: CESPE / CEBRASPE Órgão: SUFRAMA Prova: CESPE - 2014 - SUFRAMA - Assistente Social;"Julgue o seguinte item, relativo à legislação específica direcionada aos idosos e pessoas com deficiência.

O Estatuto do Idoso e a Política Nacional de Saúde da Pessoa Idosa estabelecem o compartilhamento de responsabilidade entre Estado, comunidade, sociedade e família nos cuidados da saúde desse segmento populacional.


";"Alternativas
Certo
Errado";2014;CESPE;SUFRAMA ; CESPE - 2014 - SUFRAMA - Assistente Social
5;Ano: 2017 Banca: CESPE / CEBRASPE Órgão: TRE-PE Provas: CESPE - 2017 - TRE-PE - Conhecimentos Gerais - Cargos 1, 2, 4 e 5 ;Considerando o disposto na Lei n.º 13.146/2015 — Estatuto da Pessoa com Deficiência (EPD) —, assinale a opção correta.;"Alternativas
A
É assegurado à pessoa com deficiência o direito de votar e de ser votada, salvo na hipótese de curatela.
B
O EPD revogou a Lei n.º 7.853/1989, que dispunha sobre o apoio às pessoas com deficiência.
C
A deficiência não afeta a plena capacidade civil da pessoa, salvo a condição de adotante em processo de adoção.
D
Os planos e seguros privados de saúde podem cobrar valores diferenciados das pessoas com deficiência em razão da sua deficiência.
E
Com a edição do EPD a incapacidade absoluta prevista no Código Civil restringe-se aos menores de dezesseis anos de idade.";2017;CESPE;TRE-PE ; CESPE - 2017 - TRE-PE - Conhecimentos Gerais - Cargos 1, 2, 4 e 5 
6;Ano: 2018 Banca: CESPE / CEBRASPE Órgão: STM Prova: CESPE - 2018 - STM - Analista Judiciário - Serviço Social;"À luz do Decreto n.º 3.298/1999, que institui a Política Nacional para Integração da Pessoa Portadora de Deficiência, julgue o item subsequente.




Consta no decreto a previsão da garantia de atendimento domiciliar de saúde para todos os tipos de deficiência, desde que a pessoa não esteja internada.
";"Alternativas
Certo
Errado";2018;CESPE;STM ; CESPE - 2018 - STM - Analista Judiciário - Serviço Social
7;Ano: 2019 Banca: VUNESP Órgão: Prefeitura de Itapevi - SP Prova: VUNESP - 2019 - Prefeitura de Itapevi - SP - Terapeuta Ocupacional;"De acordo com a Política Nacional de Saúde da Pessoa Portadora de Deficiência (2008), a prática da ____________ parte do princípio de que, para inserir todas as pessoas, a sociedade deve ser modificada de modo a atender às necessidades de todos os seus membros e a não admitir preconceitos, discriminações, barreiras sociais, culturais e pessoais.




Assinale a alternativa que preenche corretamente a lacuna.";"Alternativas
A
inclusão social
B
integração social
C
restauração funcional
D
reinserção social
E
participação ocupacional";2019;VUNESP;Prefeitura de Itapevi - SP ; VUNESP - 2019 - Prefeitura de Itapevi - SP - Terapeuta Ocupacional
8;Ano: 2019 Banca: VUNESP Órgão: ESEF - SP Prova: VUNESP - 2019 - ESEF - SP - Procurador Jurídico;Compete privativamente à União;"Alternativas
A
estabelecer e implantar política de educação para a segurança do trânsito.
B
cuidar da saúde e da assistência pública, da proteção e garantia das pessoas portadoras de deficiência.
C
legislar sobre os meios de acesso à cultura, à educação, à ciência, à tecnologia, à pesquisa e à inovação.
D
legislar sobre diretrizes e bases da educação nacional.
E
legislar sobre educação, cultura, ensino, desporto, ciência, tecnologia, pesquisa, desenvolvimento e inovação.";2019;VUNESP;ESEF - SP ; VUNESP - 2019 - ESEF - SP - Procurador Jurídico
9;Ano: 2015 Banca: INSTITUTO AOCP Órgão: Prefeitura de Angra dos Reis - RJ Prova: INSTITUTO AOCP - 2015 - Prefeitura de Angra dos Reis - RJ - Fonoaudiólogo;“Reabilitar a pessoa portadora de deficiência na sua capacidade funcional e no desempenho humano, de modo a contribuir para a sua inclusão plena em todas as esferas da vida social, e proteger a saúde deste segmento populacional, bem como prevenir agravos que determinem o aparecimento de deficiências”. O enunciado refere-se à;"Alternativas
A
Política Nacional de Saúde Auditiva.
B
Política Nacional de Aleitamento Materno.
C
Política Nacional de Humanização da Atenção e da Gestão em Saúde.
D
Política Nacional de Saúde do Trabalhador.
E
Política Nacional de Saúde da Pessoa Portadora de Deficiência.";2015;INSTITUTO;Prefeitura de Angra dos Reis - RJ ; INSTITUTO AOCP - 2015 - Prefeitura de Angra dos Reis - RJ - Fonoaudiólogo
