;enunciado;options;ano;banca;orgao;prova
0;Larion é coordenador de entidade assistencial que acolhe crianças e adolescentes em situação de risco. A legislação estabelece que, como pessoas humanas em desenvolvimento, crianças e adolescentes têm direito à dignidade. Nos termos da Lei nº 8.069/90, a proteção da inviolabilidade da integridade física, psíquica e moral da criança e do adolescente caracteriza o direito ao:;[];2023;SELECON;IF-RJ ; SELECON - 2023 - IF-RJ - NUtricionista 
1;Boris é educador e coordena instituição de acolhimento para crianças com carências materiais. Com o intuito de realizar os seus objetivos, organiza diversas atividades física que são orientadas para exercitar aspectos físicos e psicológicos das pessoas. Nos termos da Lei nº 8.069/90, está compreendido no direito à liberdade o de:;[];2023;SELECON;IF-RJ ; SELECON - 2023 - IF-RJ - Técnico de Laboratório/Informática 
2;Juliana, ao receber sua nota do 2º trimestre em Biologia, não ficou contente, pois acha que a professora não levou em consideração seus conhecimentos nas provas e nos trabalhos realizados em grupo, dos quais participou com muita motivação. Então, foi conversar com a assistente de alunos Laura sobre isso. Laura aconselhou a aluna a procurar a professora para conversar sobre a sua nota e possível alteração, pois, de acordo com o ECA: ;[];2023;FUNDATEC;IF Farroupilha - RS ; FUNDATEC - 2023 - IF Farroupilha - RS - Assistente de Alunos
3;Dona Maria tem um mercado próximo da escola em que Joana, de quinze anos, estuda. Ela vende vários produtos e itens de consumo. Ela sabe que alguns desses produtos não podem ser vendidos para as crianças ou adolescentes que, assim como Joana, quase todos os dias param para comprar algo para levar para a escola. De acordo com o ECA, quais dos produtos abaixo Dona Maria NÃO pode vender para crianças ou adolescentes?;[];2023;FUNDATEC;IF Farroupilha - RS ; FUNDATEC - 2023 - IF Farroupilha - RS - Assistente de Alunos
4;Patrícia, assistente de alunos da escola XYZ, informa à professora Cátia que a aluna B apresenta marcas roxas sobre a pele, similares às de castigo físico e maus-tratos. No mesmo instante, as duas procuram a diretora Vitória, informando o caso e indagando a qual órgão deveria ser comunicado o relato para averiguações. Segundo o Estatuto da Criança e do Adolescente (ECA), essa comunicação deverá ser feita com urgência à(ao): ;[];2023;FUNDATEC;IF Farroupilha - RS ; FUNDATEC - 2023 - IF Farroupilha - RS - Assistente de Alunos
5;Um grupo de conselheiros tutelares estava conversando sobre alguns casos emblemáticos e um deles lembrou sobre a queixa de um adolescente, este que procurou o conselho para dizer que teve seus direitos violados por seu pai, quando pegou o seu diário pessoal e o leu, expondo o seu conteúdo para a família. Conforme a Lei 8.069/90, qual seria a interpretação correta sobre este fato?;[];2023;IDESG;Prefeitura de Vila Valério - ES ; IDESG - 2023 - Prefeitura de Vila Valério - ES - Educador Social
6;O que é o ECA (Estatuto da Criança e do Adolescente)? ;[];2023;IDESG;Prefeitura de Vila Valério - ES ; IDESG - 2023 - Prefeitura de Vila Valério - ES - Cuidador Social
7;"De acordo com o direito à liberdade da criança e do adolescente, proposto na Lei nº 8.069/1990 - ECA, analisar os itens abaixo:
I. Direito à opinião e expressão. II. Direito de brincar, praticar esportes e ter lazer. III. Obrigatoriedade de não participar ou se envolver em assuntos que envolvem a natureza política e social, dada a incapacidade de opinar sobre tais assuntos. IV. Direito do infante em ser penalizado ou advertido sempre que descumprir a regras advindas de superiores (pais, professores ou diretores escolares).
Estão CORRETOS:";[];2023;OBJETIVA;Prefeitura de Diamante D`Oeste - PR ; OBJETIVA - 2023 - Prefeitura de Diamante D`Oeste - PR - Agente Comunitário de Saúde - Área Rural
8;Em conformidade com a Lei nº 8.069/1990 — ECA, em relação aos acompanhantes da gestante e da parturiente durante o período do pré-natal, do trabalho de parto e do pós-parto imediato, é CORRETO afirmar que elas têm direito a:;[];2023;OBJETIVA;Prefeitura de Horizontina - RS ; OBJETIVA - 2023 - Prefeitura de Horizontina - RS - Nutricionista 
9;A partir do estatuto da criança e do adolescente, assinale a alternativa CORRETA.;[];2023;FAUEL;Prefeitura de Piên - PR ; FAUEL - 2023 - Prefeitura de Piên - PR - Educador Social
