;index;variable;value
0;-1;0;"Conforme o Código de Ética do profissional de Serviço Social, um dos direitos do/a Assistente Social é: - Alternativas
A
Utilizar seu número de registro no Conselho Regional no exercício da Profissão
B
Participar de programas de socorro à população em situação de calamidade pública, no atendimento e defesa de seus interesses e necessidades.
C
Elaborar, coordenar, executar e avaliar planos, programas e projetos que sejam do âmbito de atuação do Serviço Social com participação da sociedade civil.
D
Garantia e defesa de suas atribuições e prerrogativas, estabelecidas na Lei de Regulamentação da Profissão e dos princípios firmados neste Código."
63;-1;1;"Considerando as disposições do Código de Ética do Assistente Social, assinale o item CORRETO: - Alternativas
A
Utilizar o número de registro no Conselho Regional no exercício da Profissão é uma atribuição privativa do assistente social.
B
Participação na elaboração e gerenciamento das políticas sociais, na formulação e implementação de  programas sociais é um direito do assistente social.
C
Inviolabilidade do local de trabalho, arquivos e documentação, com garantia do sigilo profissional constitui uma competência do assistente social.
D
Participação em programas de socorro à população em situação de calamidade pública, no atendimento e defesa  de seus interesses e necessidades é um direito do assistente social."
126;-1;2;"Considerando o Código de Etica Profissional do Serviço Social (1993), sobre os direitos e deveres dos Assistentes Sociais em sua relação com os usuários, com as instituições empregadoras e outras, com os assistentes sociais e com outros profissionais, analise as afirmativas a seguir.




I. É dever do assistente social ser solidário com outros profissionais, sem, todavia, eximir-se de denunciar atos que contrariem os postulados éticos contidos nesse Código.

II. É dever do assistente social denunciar falhas nos regulamentos, normas e programas da instituição em que trabalha, quando eles estiverem ferindo os princípios e diretrizes desse Código, mobilizando, inclusive, o Conselho Regional, caso se faça necessário.

III. É dever do assistente social integrar comissões interdisciplinares de ética nos locais de trabalho do profissional, tanto no que se refere à avaliação da conduta profissional, como em relação às decisões quanto às políticas institucionais.

IV. É direito do assistente social dispor de condições de trabalho condignas, seja em entidade pública ou privada, de forma a garantir a qualidade do exercício profissional.

V. É direito do assistente social ter livre acesso à população usuária.

VI. É direito do assistente social contribuir para a alteração da correlação de forças institucionais, apoiando as legítimas demandas de interesse da população usuária.




Está(ão) correta(s) a(s) afirmativa(s): - Alternativas
A
I, II e III, apenas.
B
IV, V, VI, apenas.
C
II, IV, e V, apenas.
D
I, II, IV e V, apenas."
1;0;0;"De acordo com o Código de Ética do e da Assistente Social, são princípios fundamentais do/a assistente social: - Alternativas
A
Reconhecimento da liberdade como valor ético central e das demandas políticas a ela inerentes − autonomia, emancipação e plena expansão dos indivíduos sociais; Defesa intransigente dos direitos humanos e recusa do arbítrio e do autoritarismo;
B
Empenho na eliminação de todas as formas de preconceito, incentivando o respeito à diversidade, à participação de grupos socialmente discriminados e à discussão das diferenças; participação na elaboração e gerenciamento das políticas sociais, e na formulação e implementação de programas sociais; 
C
Reconhecimento da participação social como valor ético central e das demandas políticas a ela inerentes − autonomia, emancipação e plena expansão dos indivíduos sociais; Defesa do aprofundamento da democracia, enquanto socialização da participação política e da riqueza socialmente produzida;
D
Posicionamento em favor da liberdade, que assegure universalidade de acesso aos bens e serviços relativos aos programas e políticas sociais, bem como sua gestão democrática; Compromisso com a qualidade dos serviços prestados à população e com o aprimoramento intelectual, na perspectiva da competência profissional."
64;0;1;"De acordo com o Código de Ética do Assistente Social, são princípios fundamentais da atuação profissional, exceto: - Alternativas
A
Reconhecimento da liberdade como valor ético central e das demandas políticas a ela inerentes – autonomia, emancipação e plena expansão dos indivíduos sociais.
B
Defesa intransigente dos direitos humanos e do arbítrio e autoritarismo.
C
Defesa do aprofundamento da democracia, enquanto socialização da participação política e da riqueza socialmente produzida.
D
Posicionamento em favor da equidade e justiça social, que assegure universalidade de acesso aos bens e serviços relativos aos programas e políticas sociais, bem como sua gestão democrática."
127;0;2;"No que se refere aos princípios fundamentais do Código de Ética Profissional do Assistente Social, de 1993, assinale a alternativa INCORRETA. - Alternativas
A
Reconhecimento da liberdade como valor ético central e das demandas políticas a ela inerentes – autonomia, emancipação e plena expansão dos indivíduos sociais.
B
Defesa intransigente dos direitos humanos e estímulo ao arbítrio e ao autoritarismo. 
C
Ampliação e consolidação da cidadania, considerada tarefa primordial de toda sociedade, com vistas à garantia dos direitos civis, sociais e políticos das classes trabalhadoras.
D
Defesa do aprofundamento da democracia, enquanto socialização da participação política e da riqueza socialmente produzida.
E
Posicionamento em favor da equidade e da justiça social, para assegurar universalidade de acesso aos bens e serviços relativos aos programas e políticas sociais, bem como sua gestão democrática."
2;1;0;"Sobre o Projeto Ético Político do Serviço Social, assinale (V) para afirmativa verdadeira e (F) para falsa.




( ) No Serviço Social brasileiro, a construção do Projeto Ético Político se iniciou na transição da década de 1970 à de 1980, vinculado à denúncia e recusa do conservadorismo profissional.

( ) A dimensão política do Projeto Ético Político, se posiciona a favor da equidade e da justiça social, na perspectiva da universalização do acesso a bens e a serviços relativos às políticas e programas sociais; a ampliação e a consolidação da cidadania são explicitamente postas como garantias de direitos civis, políticos e sociais da classes trabalhadoras.

( ) O Projeto Profissional se vincula a um projeto societário que propõe a construção de uma nova ordem social, sem exploração/dominação de classe, etnia e gênero.


( ) O Projeto Ético Político, fundamentado teórica e metodologicamente, conquistou hegemonia no Serviço Social, no Brasil, na década de 90 do século XX.




Marque a sequência correta: - Alternativas
A
F, F, V, V
B
F, V, F, F
C
F, V, V, F
D
V, V, V, V
E
V, V, V, F"
65;1;1;"Joaquina Barata Teixeira e Marcelo Braz (2009), no texto “O projeto ético-político do Serviço Social”, trazem considerações sobre a construção desse projeto profissional, no Brasil. A partir das análises dos autores pode-se afirmar que: - Alternativas
A
o projeto ético‐político do Serviço Social brasileiro está vinculado a um projeto societário conservador, que propõe a construção de uma nova ordem social.
B
o projeto ético‐político do Serviço Social brasileiro tem como valores centrais a liberdade, a autonomia, a democracia, a justiça social e a cidadania, como norteadores da prática profissional, porém com a ausência de elementos que o materialize na realidade.
C
por seu caráter ético e político, não tem influência sobre a produção de conhecimentos no interior do Serviço Social brasileiro.
D
são elementos constitutivos do projeto ético‐político do Serviço Social brasileiro a explicitação de princípios e valores ético‐políticos; a matriz teórico‐metodológica; a crítica radical à sociedade capitalista; e, por último, as lutas e os posicionamentos políticos acumulados pela categoria através de suas formas coletivas de organização política."
128;1;2;"“É no trânsito dos anos oitenta aos noventa do século XX que o projeto ético-político do Serviço Social no Brasil se configurou em sua estrutura básica. (…) Pode-se afirmar que este projeto ético-político, fundamentado teórica e metodologicamente, conquistou hegemonia no Serviço Social, no Brasil, na década de noventa do século XX.”

(Netto, José Paulo. A construção do projeto ético-político do Serviço Social. In: Serviço Social e Saúde: Formação e Trabalho Profissional. São Paulo: Cortez. 1999).

Sobre o projeto ético-político do Serviço Social, analise as afirmativas abaixo:

I – O projeto ético-político do Serviço Social tem em seu núcleo o reconhecimento da liberdade como valor central – a liberdade concebida historicamente, como possibilidade de escolha entre alternativas concretas; daí um compromisso com a autonomia, a emancipação e a plena expansão dos indivíduos sociais.

II - O projeto ético-político do Serviço Social se vincula a um projeto societário que propõe a manutenção da atual ordem social, sem exploração/dominação de classe, etnia e gênero.

III - O projeto ético-político do Serviço Social tem, como dimensão política, o posicionamento a favor da equidade e da justiça social, na perspectiva da universalização do acesso a bens e a serviços relativos às políticas e programas sociais; a ampliação e a consolidação da cidadania são explicitamente postas como garantia dos direitos civis, políticos e sociais das classes trabalhadoras.

IV - O projeto ético-político do Serviço Social prioriza uma nova relação com os usuários dos serviços oferecidos pelos assistentes sociais, por meio do compromisso com a qualidade dos serviços prestados à população.

Está correto o que se afirma em:
 - Alternativas
A
I, II e III
B
II, III e IV
C
I, III e IV
D
I, II, III e IV"
3;2;0;"A respeito do projeto ético-político do serviço brasileiro, marque a afirmação VERDADEIRA.  - Alternativas
A
Constituem o projeto ético do serviço social: a produção de conhecimentos no interior do Serviço Social, as instâncias político organizativas da profissão e a dimensão jurídico política da profissão.
B
O projeto ético e político do serviço social foi construído corporativamente, voltado à defesa dos interesses dos assistentes sociais. 
C

Tem compromisso com a autonomia, a emancipação e a plena expansão dos indivíduos sociais, na medida em que está vinculado a um projeto societário que privilegia a classe dominante. 

D
Não há dúvidas de que o projeto ético‐político do Serviço Social brasileiro não está vinculado a um projeto de transformação da sociedade.
E
O projeto ético-político do serviço social tem em seu núcleo o reconhecimento da justiça social como valor ético central."
66;2;1;"Sobre o projeto ético-político que norteia a prática profissional do/da Assistente Social, é CORRETO afirmar:
 - Alternativas
A
O projeto ético-político expressa a vinculação da categoria a um projeto de manutenção da ordem social vigente.
B
A qualidade do atendimento aos usuários é reconhecido como o valor ético central do projeto ético-político.
C
Os Conselhos Regionais e Conselho Federal de Serviço Social, ao contrário da Associação Brasileira de Ensino e Pesquisa em Serviço Social, são instâncias político-organizativas consideradas componentes do projeto ético-político.

D
A defesa intransigente dos direitos humanos é o valor ético central do projeto ético-político.
E
A produção do conhecimento em Serviço Social é reconhecida como um dos componentes do projeto ético-político.
"
129;2;2;"José Paulo Netto no texto: “A Construção do Projeto Ético-Político do Serviço Social” publicado em 2006 cita uma série de considerações sobre o projeto ético-politico do Serviço Social. Com base no pensamento do autor, analise as afirmativas abaixo, as quais mencionam o projeto ético-político do Serviço Social. I. O projeto ético-político do Serviço Social tem em seu núcleo o reconhecimento da liberdade como valor central. II. O projeto ético-político do Serviço Social também é um processo, em contínuo desdobramento. III. O projeto ético-político do Serviço Social possui uma estrutura básica que é inflexível. IV. O projeto ético-político do Serviço Social não guarda relação com o compromisso com a competência, que só pode ter como base o aperfeiçoamento intelectual do assistente social. V. O projeto ético-político do Serviço Social se vincula a um projeto societário que propõe a construção de uma nova ordem social. Estão corretas as afirmativas: - Alternativas
A
I, II e III
B
II, III e IV
C
I, II e V
D
III, IV e V
E
II, III e V"
