;info;enunciado;options;ano;banca;orgao;prova;articles_mentioned_enunciado;articles_mentioned_options;all_articles_mentioned;articles_numbers;paragraphs_mentioned;chapters_mentioned;titles_mentioned;incisos_mentioned;job;is_social_work;has_articles
0;Ano: 2023 Banca: OBJETIVA Órgão: Prefeitura de Lavras do Sul - RS Prova: OBJETIVA - 2023 - Prefeitura de Lavras do Sul - RS - Secretária(o) de Escola;"Em conformidade com a Lei nº 13.146/2015 — Estatuto da Pessoa com Deficiência, no que tange ao direito à saúde, marcar C para as afirmativas Certas, E para as Erradas e, após, assinalar a alternativa que apresenta a sequência CORRETA:




(_) À pessoa com deficiência será assegurado o direito de votar e de ser votada.

(_) É assegurado à pessoa com deficiência que não possua meios para prover sua subsistência nem de tê-la provida por sua família o benefício mensal de cinco salários mínimos.

(_) A pessoa com deficiência segurada do Regime Geral de Previdência Social (RGPS) não tem direito à aposentadoria. ";"Alternativas
A
C - C - E. 
B
E - E - C. 
C
C - E - E. 
D
E - C - E.";2023;OBJETIVA;Prefeitura de Lavras do Sul - RS ; OBJETIVA - 2023 - Prefeitura de Lavras do Sul - RS - Secretária(o) de Escola;;;;;;;;;Secretária(o) de Escola;0.0;0.0
1;Ano: 2023 Banca: OBJETIVA Órgão: Prefeitura de Lavras do Sul - RS Prova: OBJETIVA - 2023 - Prefeitura de Lavras do Sul - RS - Agente Comunitário de Saúde;"Em conformidade com a Lei nº 13.146/2015 — Estatuto da Pessoa com Deficiência, no que tange ao direito à saúde, marcar C para as afirmativas Certas, E para as Erradas e, após, assinalar a alternativa que apresenta a sequência CORRETA:




(_) À pessoa com deficiência será assegurado o direito de votar e de ser votada.

(_) É assegurado à pessoa com deficiência que não possua meios para prover sua subsistência nem de tê-la provida por sua família o benefício mensal de cinco salários mínimos.

(_) A pessoa com deficiência segurada do Regime Geral de Previdência Social (RGPS) não tem direito à aposentadoria. ";"Alternativas
A
C - C - E. 
B
E - E - C. 
C
C - E - E.
D
E - C - E.";2023;OBJETIVA;Prefeitura de Lavras do Sul - RS ; OBJETIVA - 2023 - Prefeitura de Lavras do Sul - RS - Agente Comunitário de Saúde;;;;;;;;;Agente Comunitário de Saúde;0.0;0.0
2;Ano: 2023 Banca: UFPR Órgão: IF-PR Prova: UFPR - 2023 - IF-PR - Assistente de Aluno;A Lei Brasileira de Inclusão da Pessoa com Deficiência (Estatuto da Pessoa com Deficiência – Lei n.º 13.146/2015) destina-se a assegurar e a promover, em condições de igualdade, o exercício dos direitos e das liberdades fundamentais por pessoa com deficiência, visando à sua inclusão social e ao exercício da sua cidadania. De acordo com a lei, a condição de igualdade em relação às demais pessoas deve se dar: ;"Alternativas
A
retirando-se as barreiras que impedem o acesso a transportes e prédios. 
B
sem nenhuma espécie de discriminação, distinção, restrição ou exclusão. 
C
prioritariamente no usufruto de benefícios decorrentes de ação afirmativa. 
D
no acesso ao uso de tecnologias assistivas para acessar os programas e as políticas. 
E
na preferência da matrícula nas instituições escolares públicas.  ";2023;UFPR;IF-PR ; UFPR - 2023 - IF-PR - Assistente de Aluno;;;;;;;;;Assistente de Aluno;0.0;0.0
3;Ano: 2023 Banca: FGV Órgão: TJ-RN Prova: FGV - 2023 - TJ-RN - Analista Judiciário - Apoio especializado – Serviço Social;De acordo com o Estatuto da Pessoa com Deficiência, em caso de internação ou de ficar em observação, o direito a acompanhante:;"Alternativas
A
 dependerá das condições objetivas da instituição em que a pessoa estiver sendo atendida;
B
obedece a legislação no que concerne à faixa etária, sendo permitida somente para crianças e idosos;
C
vincula-se à gravidade da patologia apresentada, e será ou não recomendado pelo médico assistente;
D
deve ser garantido pela instituição de saúde, a partir da alocação e permanência de profissionais especializados;
E
é assegurado, devendo a instituição de saúde proporcionar condições adequadas para sua permanência em tempo integral.";2023;FGV;TJ-RN ; FGV - 2023 - TJ-RN - Analista Judiciário - Apoio especializado – Serviço Social;;;;;;;;;Analista Judiciário Apoio especializado – Serviço Social;1.0;0.0
4;Ano: 2023 Banca: OBJETIVA Órgão: Prefeitura de Sagrada Família - RS Prova: OBJETIVA - 2023 - Prefeitura de Sagrada Família - RS - Farmacêutico;"Em conformidade com a Lei nº 13.146/2015 - Estatuto da Pessoa com Deficiência, analisar a sentença abaixo:
É assegurada atenção integral à saúde da pessoa com deficiência em todos os níveis de complexidade, por intermédio do Sistema Único de Saúde, garantido acesso universal e igualitário (1ª parte). Aos profissionais que prestam assistência à pessoa com deficiência, especialmente em serviços de habilitação e de reabilitação, deve ser garantida apenas a capacitação inicial (2ª parte). As ações e os serviços de saúde pública destinados à pessoa com deficiência devem assegurar atenção sexual e reprodutiva, incluindo o direito à fertilização assistida (3ª parte).
A sentença está: 
";"Alternativas
A
Totalmente correta.
B
Correta somente em suas 1ª e 2ª partes.
C
Correta somente em suas 1ª e 3ª partes.
D
Correta somente em suas 2ª e 3ª partes.
E
Totalmente incorreta.";2023;OBJETIVA;Prefeitura de Sagrada Família - RS ; OBJETIVA - 2023 - Prefeitura de Sagrada Família - RS - Farmacêutico;;;;;;;;;Farmacêutico;0.0;0.0
5;Ano: 2023 Banca: OBJETIVA Órgão: Prefeitura de Sagrada Família - RS Prova: OBJETIVA - 2023 - Prefeitura de Sagrada Família - RS - Monitor de Ensino;"De acordo com a Lei nº 13.146/2015 - Estatuto da Pessoa com Deficiência, incumbe ao Poder Público assegurar, criar, desenvolver, implementar, incentivar, acompanhar e avaliar:
I. A oferta de profissionais de apoio escolar, custeada pelo usuário. II. A articulação intersetorial na implementação de políticas públicas. III. A formação e a disponibilização de professores para o atendimento educacional especializado, de tradutores e intérpretes da Libras, de guias intérpretes e de profissionais de apoio.
Está(ão) CORRETO(S):
";"Alternativas
A
Somente os itens I e II.

B
Somente os itens I e III.
C
Somente os itens II e III.
D
Nenhum dos itens.
E
Todos os itens.";2023;OBJETIVA;Prefeitura de Sagrada Família - RS ; OBJETIVA - 2023 - Prefeitura de Sagrada Família - RS - Monitor de Ensino;;;;;;;;;Monitor de Ensino;0.0;0.0
6;Ano: 2023 Banca: FUNDATEC Órgão: IF Farroupilha - RS Prova: FUNDATEC - 2023 - IF Farroupilha - RS - Assistente de Alunos;"Segundo o Decreto nº 5.296/2004, deficiência __________ é o funcionamento intelectual significativamente __________ à média, com manifestação __________ dos dezoito anos e limitações associadas a duas ou mais áreas de habilidades adaptativas.
Assinale a alternativa que preenche, correta e respectivamente, as lacunas do trecho acima.";"Alternativas
A
visual – superior – depois
B
mental – inferior – antes
C
física – inferior – depois
D
mental – superior – depois
E
física – inferior – antes";2023;FUNDATEC;IF Farroupilha - RS ; FUNDATEC - 2023 - IF Farroupilha - RS - Assistente de Alunos;;;;;;;;;Assistente de Alunos;0.0;0.0
7;Ano: 2023 Banca: FUNDATEC Órgão: IF Farroupilha - RS Prova: FUNDATEC - 2023 - IF Farroupilha - RS - Assistente de Alunos;A Lei nº 10.098/2000 estabelece normas gerais e critérios básicos para a promoção da acessibilidade das pessoas com deficiência ou com mobilidade reduzida. De acordo com a Lei, caso um aluno com deficiência não consiga ter acesso ao primeiro andar da escola por não haver elevador adaptado, o tipo de barreira encontrada é:;"Alternativas
A
Urbanística.
B
De transportes.
C
Nas comunicações.
D
Nas informações.
E
Arquitetônica.";2023;FUNDATEC;IF Farroupilha - RS ; FUNDATEC - 2023 - IF Farroupilha - RS - Assistente de Alunos;;;;;;;;;Assistente de Alunos;0.0;0.0
8;Ano: 2023 Banca: OBJETIVA Órgão: Prefeitura de Diamante D`Oeste - PR Prova: OBJETIVA - 2023 - Prefeitura de Diamante D`Oeste - PR - Agente Comunitário de Saúde - Área Rural;Calçadas sem rebaixamentos, desniveladas e com degraus. Esse tipo de barreira impede que as pessoas com deficiência usufruam do direito de se locomover livremente, com autonomia e segurança, obstaculizando, por vezes, o exercício de outros direitos, além de privá-las das relações vivenciadas nesses lugares. Segundo a Lei nº 13.146/2015 - Estatuto da Pessoa com Deficiência, esse tipo de barreira é classificado como:;"Alternativas
A
Barreira atitudinal.
B
Barreira assistiva.
C
Barreira urbanística.
D
Barreira universal.
E
Barreira social.";2023;OBJETIVA;Prefeitura de Diamante D`Oeste - PR ; OBJETIVA - 2023 - Prefeitura de Diamante D`Oeste - PR - Agente Comunitário de Saúde - Área Rural;;;;;;;;;Agente Comunitário de Saúde Área Rural;0.0;0.0
9;Ano: 2023 Banca: FUNDATEC Órgão: Prefeitura de Porto Alegre - RS Provas: FUNDATEC - 2023 - Prefeitura de Porto Alegre - RS - Professor - Anos Inciais ;"Segundo o Art. 9º da Lei Brasileira de Inclusão, nº 13.146/2015, a pessoa com deficiência tem direito a receber atendimento prioritário, sobretudo com a finalidade de:
I. Proteção e socorro em quaisquer circunstâncias. II. Atendimento em todas as instituições e serviços de atendimento ao público. III. Acesso a informações e disponibilização de recursos de comunicação acessíveis.
Quais estão corretas? ";"Alternativas
A
Apenas I.
B
Apenas II
C
Apenas I e III.
D
Apenas II e III.
E
I, II e III.";2023;FUNDATEC;Prefeitura de Porto Alegre - RS ; FUNDATEC - 2023 - Prefeitura de Porto Alegre - RS - Professor - Anos Inciais ;['art 9 da lei brasileira de', 'art 9'];;['art 9 da lei brasileira de', 'art 9'];['9'];;;;;Professor Anos Inciais;0.0;1.0
