;index;variable;value
0;-1;0;"Leia as afirmativas a seguir:

I. O Excel não permite a inclusão de gráficos criados com base nos dados de uma planilha. II. O idoso tem direito à garantia de acesso à rede de serviços de saúde e de assistência social locais. Marque a alternativa CORRETA:

Marque a alternativa CORRETA: - Alternativas
A
As duas afirmativas são verdadeiras.
B
A afirmativa I é verdadeira, e a II é falsa.
C
A afirmativa II é verdadeira, e a I é falsa.
D
As duas afirmativas são falsas."
5;-1;1;"Leia as afirmativas a seguir:

I. No Brasil, o idoso não tem direito à opinião.

II. Todo ser humano tem o direito de ser, em todos os lugares, reconhecido como pessoa perante a lei.

Marque a alternativa CORRETA: - Alternativas
A
As duas afirmativas são verdadeiras.
B
A afirmativa I é verdadeira, e a II é falsa.
C
A afirmativa II é verdadeira, e a I é falsa.
D
As duas afirmativas são falsas."
10;-1;2;"Leia as afirmativas a seguir:

I. No Brasil, o idoso não tem direito à crença religiosa.

II. No Brasil, o idoso é impedido de buscar orientação em situações vulnerabilidade.

Marque a alternativa CORRETA: - Alternativas
A
As duas afirmativas são verdadeiras.
B
A afirmativa I é verdadeira, e a II é falsa.
C
A afirmativa II é verdadeira, e a I é falsa.
D
As duas afirmativas são falsas."
1;0;0;"A respeito do que dispõe o Estatuto do Idoso (Lei nº 10.741/2003), analise as assertivas e assinale a alternativa correta.




I. O idoso goza de todos os direitos fundamentais inerentes à pessoa humana, sem prejuízo da proteção integral de que trata esta Lei, assegurando-se-lhe, por lei ou por outros meios, todas as oportunidades e facilidades, para preservação de sua saúde física e mental e seu aperfeiçoamento moral, intelectual, espiritual e social, em condições de liberdade e dignidade.

II. É obrigação da família, da comunidade, da sociedade e do Poder Público assegurar ao idoso, com absoluta prioridade, a efetivação do direito à vida, à saúde, à alimentação, à educação, à cultura, ao esporte, ao lazer, ao trabalho, à cidadania, à liberdade, à dignidade, ao respeito e à convivência familiar e comunitária.

III. Nenhum idoso será objeto de qualquer tipo de negligência, discriminação, violência, crueldade ou opressão, e todo atentado aos seus direitos, por ação ou omissão, será punido na forma da lei.

IV. É dever de todos prevenir a ameaça ou violação aos direitos do idoso. - Alternativas
A
Apenas I está correta.
B
Apenas II, III e IV estão corretas.
C
Todas estão incorretas.
D
Todas estão corretas."
6;0;1;"Assinale a alternativa INCORRETA acerca das informações extraídas da Lei nº 10.741/2003 (Estatuto do Idoso).  - Alternativas
A
É instituído o Estatuto do Idoso, destinado a regular os direitos assegurados às pessoas com idade igual ou superior a 60 (sessenta) anos.
B
O idoso goza de todos os direitos fundamentais inerentes à pessoa humana, sem prejuízo da proteção integral de que trata esta Lei, assegurando-se-lhe, por lei ou por outros meios, todas as oportunidades e facilidades, para preservação de sua saúde física e mental.
C
É obrigação da família, da comunidade, da sociedade e do Poder Público assegurar ao idoso, com absoluta prioridade, a efetivação do direito à vida, à saúde, à alimentação, à educação, à cultura, ao esporte, ao lazer, ao trabalho, à cidadania, à liberdade, à dignidade, ao respeito e à convivência familiar e comunitária.
D
Dentre os idosos, é assegurada prioridade especial aos maiores de sessenta e cinco, atendendo-se às suas necessidades sempre preferencialmente em relação aos demais idosos, contudo, às mulheres idosas. 
E
Todo cidadão tem o dever de comunicar à autoridade competente qualquer forma de violação a esta Lei que tenha testemunhado ou de que tenha conhecimento."
11;0;2;"Tendo em vista os direitos fundamentais elencados na Lei nº 10.741, de 1º de outubro de 2003, Estatuto do Idoso, assinale a alternativa incorreta.  - Alternativas
A
Se o idoso ou seus familiares não possuírem condições econômicas de prover o seu sustento, impõe-se ao Poder Público esse provimento, no âmbito da Assistência Social. 
B
Em todo atendimento de saúde, os maiores de 80 anos de idade terão preferência especial sobre os demais idosos, exceto em caso de emergência.
C
Todas as entidades de longa permanência, ou casa-lar, são obrigadas a firmar contrato de prestação de serviços com a pessoa idosa abrigada.
D
Aos idosos, a partir de 60 anos de idade, que não possuam meios para prover sua subsistência, nem de tê-la provida por sua família, é assegurado o benefício mensal de um salário-mínimo, nos termos da Lei Orgânica da Assistência Social."
2;1;0;"O Estatuto do Idoso, instituído pela Lei nº 10.741/2003, é instrumento de trabalho do assistente social na garantia dos direitos dos idosos. Assinale a alternativa correta quanto ao objetivo do Estatuto do Idoso. - Alternativas
A
As diferenças econômicas, sociais, regionais e, particularmente, as contradições entre o meio rural e o urbano do Brasil deverão ser observadas pelos poderes públicos e pela sociedade em geral, na aplicação dessa lei.
B
Constitui-se como uma das diretrizes da política nacional do idoso a capacitação e reciclagem dos recursos humanos nas áreas de geriatria e gerontologia e na prestação de serviços.
C
Promover a capacitação de recursos para atendimento ao idoso na área da educação, promoção e assistência social, esporte e lazer.
D
Regular os direitos assegurados às pessoas com idade igual ou superior a 60 (sessenta) anos.
E
Assegurar os direitos sociais da pessoa com mais de 65 anos, criando condições para promover sua autonomia, integração e participação efetiva na sociedade."
7;1;1;"Partindo da reflexão que aponta que “o cidadão é velho não apenas porque seu organismo está em processo de declínio biológico, mas, sobretudo porque assim é decretado” ,temos que considerar que envelhecer não é apenas um processo biológico. É preciso olhar para esta etapa da vida a partir da relação do indivíduo com seu próprio corpo, com o tempo, com o envolvimento cultural, social dentre outros aspectos. Sendo que na atualidade todos coadunam para a preservação da vida, da longevidade com qualidade.

No Brasil, buscamos assegurar este processo através de legislação especifica como o Estatuto do Idoso, Lei Federal 10.741 de 2003, que reforça todos os aspectos da preservação da vida pessoa idosa.

Partindo da reflexão acima analise as afirmativas abaixo:




I.Em todo atendimento de saúde, os maiores de oitenta anos terão preferência especial sobre os demais idosos, exceto em caso de emergência, de acordo com a Lei 13.466/17.

II.As instituições de saúde devem atender aos critérios mínimos para o atendimento às necessidades do idoso, promovendo o treinamento e a capacitação dos profissionais, assim como orientação a cuidadores familiares e grupos de autoajuda.

III.A assistência social aos idosos será prestada, de forma articulada, conforme os princípios e diretrizes previstos na Lei Orgânica da Assistência Social, na Política Nacional do Idoso, no Sistema Único de Saúde e demais normas pertinentes.

IV.O Estatuto do Idoso em seu artigo 19 prevê que em caso de suspeita ou confirmação de violência praticada contra idosos, deve ser feita a notificação compulsória pelo serviço de saúde, público ou privado, às autoridades competentes, que pode ser, autoridade policial, Ministério Público, Conselho Municipal do Idoso, Conselho Estadual do Idoso e Conselho Nacional do Idoso.




Assinale a alternativa CORRETA:
 - Alternativas
A
I, II, III e IV.
B
I, II, III apenas.
C
III e IV apenas.
D
I e II apenas."
12;1;2;"Partindo da reflexão que aponta que “o cidadão é velho não apenas porque seu organismo está em processo de declínio biológico, mas, sobretudo porque assim é decretado” ,temos que considerar que envelhecer não é apenas um processo biológico. É preciso olhar para esta etapa da vida a partir da relação do indivíduo com seu próprio corpo, com o tempo, com o envolvimento cultural, social dentre outros aspectos. Sendo que na atualidade todos coadunam para a preservação da vida, da longevidade com qualidade.
No Brasil, buscamos assegurar este processo através de legislação especifica como o Estatuto do Idoso, Lei Federal 10.741 de 2003, que reforça todos os aspectos da preservação da vida pessoa idosa. Partindo da reflexão acima analise as afirmativas abaixo:
I. Em todo atendimento de saúde, os maiores de oitenta anos terão preferência especial sobre os demais idosos, exceto em caso de emergência, de acordo com a Lei 13.466/17. II. As instituições de saúde devem atender aos critérios mínimos para o atendimento às necessidades do idoso, promovendo o treinamento e a capacitação dos profissionais, assim como orientação a cuidadores familiares e grupos de autoajuda. III. A assistência social aos idosos será prestada, de forma articulada, conforme os princípios e diretrizes previstos na Lei Orgânica da Assistência Social, na Política Nacional do Idoso, no Sistema Único de Saúde e demais normas pertinentes. IV. O Estatuto do Idoso em seu artigo 19 prevê que em caso de suspeita ou confirmação de violência praticada contra idosos, deve ser feita a notificação compulsória pelo serviço de saúde, público ou privado, às autoridades competentes, que pode ser, autoridade policial, Ministério Público, Conselho Municipal do Idoso, Conselho Estadual do Idoso e Conselho Nacional do Idoso.
Assinale a alternativa CORRETA: - Alternativas
A
I, II, III e IV.
B
I, II, III apenas.
C
III e IV apenas.
D
I e II apenas."
3;2;0;"Quanto ao direito ao transporte garantido no Estatuto da Pessoa Idosa, assinale a alternativa CORRETA.
 - Alternativas
A

Aos maiores de 60 anos fica assegurada a gratuidade dos transportes coletivos públicos urbanos e semiurbanos.


B

Nos veículos de transporte coletivo, públicos urbanos e semiurbanos, serão reservados 20% dos assentos para as pessoas idosas.


C

Para ter acesso à gratuidade nos transportes coletivos, públicos urbanos e semiurbanos, basta que a pessoa idosa apresente qualquer documento pessoal que faça prova de sua idade.


D

No sistema de transporte coletivo interestadual observar-se-á a reserva de 2 vagas gratuitas por veículo para pessoas idosas com renda igual ou inferior a 1 (um) salário mínimo.
"
