;info;enunciado;options;ano;banca;orgao;prova;articles_mentioned_enunciado;articles_mentioned_options;all_articles_mentioned;articles_numbers;paragraphs_mentioned;chapters_mentioned;titles_mentioned;incisos_mentioned;job;is_social_work;has_articles
0;Ano: 2022 Banca: CESPE / CEBRASPE Órgão: SEE-PE Prova: CESPE / CEBRASPE - 2022 - SEE-PE - Analista em Gestão Educacional - Serviço Social;"Julgue o próximo item, referentes às Diretrizes Curriculares para os Cursos de Serviço Social.




Os componentes curriculares do curso de serviço social são determinantes para a efetivação do estágio supervisionado e o desenvolvimento do trabalho de conclusão de curso. 
";"Alternativas
Certo
Errado";2022;CESPE;SEE-PE ; CESPE / CEBRASPE - 2022 - SEE-PE - Analista em Gestão Educacional - Serviço Social;;;;;;;;;Analista em Gestão Educacional Serviço Social;1.0;0.0
1;Ano: 2022 Banca: CESPE / CEBRASPE Órgão: SEE-PE Prova: CESPE / CEBRASPE - 2022 - SEE-PE - Analista em Gestão Educacional - Serviço Social;"Julgue o próximo item, no que tange ao estudo social, à perícia social, ao relatório social, ao laudo social e ao parecer social. 




São indissociáveis os objetivos da avaliação profissional para a emissão de relatório e laudo, o projeto ético-político do serviço social e a direção teórico-metodológica do agir adotada no processo. 
";"Alternativas
Certo
Errado";2022;CESPE;SEE-PE ; CESPE / CEBRASPE - 2022 - SEE-PE - Analista em Gestão Educacional - Serviço Social;;;;;;;;;Analista em Gestão Educacional Serviço Social;1.0;0.0
2;Ano: 2022 Banca: CESPE / CEBRASPE Órgão: SEE-PE Prova: CESPE / CEBRASPE - 2022 - SEE-PE - Analista em Gestão Educacional - Serviço Social;"Considerando concepções e debates acerca de instrumentos e técnicas no serviço social, julgue o item subsequente. 




A observância das condicionalidades delineadas pelo espaço socioinstitucional e a análise crítica para além do manuseio elementar dos instrumentos e técnicas possibilitam a apreensão da articulação indissociável entre a teoria e a prática e favorecem o processo de formação para garantir um perfil de assistentes sociais em consonância com o projeto ético-político da categoria. 
";"Alternativas
Certo
Errado";2022;CESPE;SEE-PE ; CESPE / CEBRASPE - 2022 - SEE-PE - Analista em Gestão Educacional - Serviço Social;;;;;;;;;Analista em Gestão Educacional Serviço Social;1.0;0.0
3;Ano: 2022 Banca: CESPE / CEBRASPE Órgão: SEE-PE Prova: CESPE / CEBRASPE - 2022 - SEE-PE - Analista em Gestão Educacional - Serviço Social;"Com relação à atuação do assistente social em equipe interdisciplinar, julgue o item que se segue.  




A atuação interdisciplinar implica desenvolver uma prática político-profissional capaz de dialogar acerca de diferentes abordagens, vivenciar embates sobre pontos de vistas e perspectivas teóricas e metodológicas diversas e deliberar com base em posturas éticas e na interface com os princípios e valores estabelecidos nos códigos de ética profissionais das categorias envolvidas na equipe interdisciplinar. 
";"Alternativas
Certo
Errado";2022;CESPE;SEE-PE ; CESPE / CEBRASPE - 2022 - SEE-PE - Analista em Gestão Educacional - Serviço Social;;;;;;;;;Analista em Gestão Educacional Serviço Social;1.0;0.0
4;Ano: 2022 Banca: CESPE / CEBRASPE Órgão: SEE-PE Prova: CESPE / CEBRASPE - 2022 - SEE-PE - Analista em Gestão Educacional - Serviço Social;"À luz da Lei de Regulamentação da Profissão de Assistente Social (Lei n.º 8.662/1993), julgue o item seguinte.




A carteira de identificação profissional expedida pelos conselhos regionais de serviço social (CRESS) servirá de prova para fins de exercício profissional e não terá validade de carteira de identidade pessoal.
";"Alternativas
Certo
Errado";2022;CESPE;SEE-PE ; CESPE / CEBRASPE - 2022 - SEE-PE - Analista em Gestão Educacional - Serviço Social;;;;;;;;;Analista em Gestão Educacional Serviço Social;1.0;0.0
5;Ano: 2022 Banca: CESPE / CEBRASPE Órgão: SEE-PE Prova: CESPE / CEBRASPE - 2022 - SEE-PE - Analista em Gestão Educacional - Serviço Social;"À luz da Lei de Regulamentação da Profissão de Assistente Social (Lei n.º 8.662/1993), julgue o item seguinte.




A jornada de trabalho semanal do assistente social é de quarenta horas. 
";"Alternativas
Certo
Errado";2022;CESPE;SEE-PE ; CESPE / CEBRASPE - 2022 - SEE-PE - Analista em Gestão Educacional - Serviço Social;;;;;;;;;Analista em Gestão Educacional Serviço Social;1.0;0.0
6;Ano: 2022 Banca: CESPE / CEBRASPE Órgão: SEE-PE Prova: CESPE / CEBRASPE - 2022 - SEE-PE - Analista em Gestão Educacional - Serviço Social;"À luz da Lei de Regulamentação da Profissão de Assistente Social (Lei n.º 8.662/1993), julgue o item seguinte.




Somente os estudantes de serviço social, sob supervisão direta de assistente social em pleno gozo de seus direitos profissionais, poderão realizar estágio de serviço social.
";"Alternativas
Certo
Errado";2022;CESPE;SEE-PE ; CESPE / CEBRASPE - 2022 - SEE-PE - Analista em Gestão Educacional - Serviço Social;;;;;;;;;Analista em Gestão Educacional Serviço Social;1.0;0.0
7;Ano: 2022 Banca: CESPE / CEBRASPE Órgão: SEE-PE Prova: CESPE / CEBRASPE - 2022 - SEE-PE - Analista em Gestão Educacional - Serviço Social;"Com base no Código de Ética Profissional do(a) Assistente Social, julgue o item subsequente. 




A punibilidade do assistente social por falta sujeita a processo ético e disciplinar não tem prazo de prescrição a partir da verificação do fato que a ensejou.
";"Alternativas
Certo
Errado";2022;CESPE;SEE-PE ; CESPE / CEBRASPE - 2022 - SEE-PE - Analista em Gestão Educacional - Serviço Social;;;;;;;;;Analista em Gestão Educacional Serviço Social;1.0;0.0
8;Ano: 2022 Banca: CESPE / CEBRASPE Órgão: SEE-PE Prova: CESPE / CEBRASPE - 2022 - SEE-PE - Analista em Gestão Educacional - Serviço Social;"Com base no Código de Ética Profissional do(a) Assistente Social, julgue o item subsequente. 




O assistente social tem o direito de dispor de condições de trabalho condignas, seja em entidade pública, seja em entidade privada, de forma a garantir-lhe qualidade do exercício profissional. 
";"Alternativas
Certo
Errado";2022;CESPE;SEE-PE ; CESPE / CEBRASPE - 2022 - SEE-PE - Analista em Gestão Educacional - Serviço Social;;;;;;;;;Analista em Gestão Educacional Serviço Social;1.0;0.0
9;Ano: 2022 Banca: CESPE / CEBRASPE Órgão: SEE-PE Prova: CESPE / CEBRASPE - 2022 - SEE-PE - Analista em Gestão Educacional - Serviço Social;"Com base no Código de Ética Profissional do(a) Assistente Social, julgue o item subsequente. 




O assistente social deve denunciar falhas em regulamento, norma ou programa da instituição em que trabalha, quando estes ferirem princípios e diretrizes do código de ética em questão, mobilizando, caso se faça necessário, o CRESS. 
";"Alternativas
Certo
Errado";2022;CESPE;SEE-PE ; CESPE / CEBRASPE - 2022 - SEE-PE - Analista em Gestão Educacional - Serviço Social;;;;;;;;;Analista em Gestão Educacional Serviço Social;1.0;0.0
10;Ano: 2010 Banca: CESPE / CEBRASPE Órgão: Banco da Amazônia Prova: CESPE - 2010 - Banco da Amazônia - Técnico Científico - Serviço Social;No caso de sua demissão ou exoneração, o assistente social deve repassar todo o material técnico - exceto o sigiloso - ao profissional que irá substituí-lo.;"Alternativas
Certo
Errado";2010;CESPE;Banco da Amazônia ; CESPE - 2010 - Banco da Amazônia - Técnico Científico - Serviço Social;;;;;;;;;Técnico Científico Serviço Social;1.0;0.0
11;Ano: 2010 Banca: CESPE / CEBRASPE Órgão: Banco da Amazônia Prova: CESPE - 2010 - Banco da Amazônia - Técnico Científico - Serviço Social;O referido código, por ter sido elaborado em momento de estagnação do capitalismo, expressa, por meio dos princípios fundamentais, valores como o controle e o imediatismo das ações.;"Alternativas
Certo
Errado";2010;CESPE;Banco da Amazônia ; CESPE - 2010 - Banco da Amazônia - Técnico Científico - Serviço Social;;;;;;;;;Técnico Científico Serviço Social;1.0;0.0
12;Ano: 2010 Banca: CESPE / CEBRASPE Órgão: Banco da Amazônia Prova: CESPE - 2010 - Banco da Amazônia - Técnico Científico - Serviço Social;Esse código de ética preconiza a garantia dos direitos sociais, a universalidade de acesso aos bens e serviços e a sua gestão democrática. Tais princípios remetem ao enfrentamento das contradições postas à profissão a partir de uma visão crítica fundamentada das derivações ético-políticas do agir profissional.;"Alternativas
Certo
Errado";2010;CESPE;Banco da Amazônia ; CESPE - 2010 - Banco da Amazônia - Técnico Científico - Serviço Social;;;;;;;;;Técnico Científico Serviço Social;1.0;0.0
13;Ano: 2010 Banca: CESPE / CEBRASPE Órgão: Banco da Amazônia Prova: CESPE - 2010 - Banco da Amazônia - Técnico Científico - Serviço Social;Nesse código, considera-se a crítica radical à ordem social vigente, a da sociedade do capital, como um dos elementos constitutivos do projeto ético-político profissional.;"Alternativas
Certo
Errado";2010;CESPE;Banco da Amazônia ; CESPE - 2010 - Banco da Amazônia - Técnico Científico - Serviço Social;;;;;;;;;Técnico Científico Serviço Social;1.0;0.0
14;Ano: 2010 Banca: CESPE / CEBRASPE Órgão: Banco da Amazônia Prova: CESPE - 2010 - Banco da Amazônia - Técnico Científico - Serviço Social;As instâncias político-organizativas da profissão de assistente social, que envolvem fóruns de deliberação e entidades profissionais da área, constituem importantes componentes na materialização do projeto ético-político profissional.;"Alternativas
Certo
Errado";2010;CESPE;Banco da Amazônia ; CESPE - 2010 - Banco da Amazônia - Técnico Científico - Serviço Social;;;;;;;;;Técnico Científico Serviço Social;1.0;0.0
15;Ano: 2009 Banca: FCC Órgão: MPE-SE Prova: FCC - 2009 - MPE-SE - Analista do Ministério Público – Especialidade Serviço Social;"No âmbito das relações com a justiça, segundo o código de Ética do Assistente Social, é VEDADO ao Assistente Social
";"Alternativas
A
denunciar ao Conselho Regional de Serviço Social, por meio de comunicação fundamentada, qualquer forma de exercício irregular da Profissão, infrações, princípios e diretrizes do Código e da Legislação profissional.

B
apresentar à justiça, quando convocado na qualidade de perito ou testemunha, as conclusões de seu laudo técnico ou depoimento sem estrapolar o âmbito da competência profissional e violar os princípios éticos contidos no código.

C
comparecer perante a autoridade competente, quando intimado a prestar depoimento, para declarar que está obrigado a guardar sigilo profissional nos termos do Código e da Legislação em vigor.

D
depor como testemunha sobre situação sigilosa do usuário de que tenha conhecimento no exercício profissional, mesmo quando autorizado.

E
participar em sociedades científicas e em entidades representativas e de organização da categoria, que tenham por finalidade a produção do conhecimento, a defesa e a fiscalização do exercício profissional.";2009;FCC;MPE-SE ; FCC - 2009 - MPE-SE - Analista do Ministério Público – Especialidade Serviço Social;;;;;;;;;Analista do Ministério Público – Especialidade Serviço Social;1.0;0.0
16;Ano: 2009 Banca: FCC Órgão: MPE-SE Prova: FCC - 2009 - MPE-SE - Analista do Ministério Público – Especialidade Serviço Social;"O Conselho Federal de Serviço Social ? CFESS, na sua Resolução nº 493/06, dispõe que o local de atendimento destinado ao Assistente Social deve ser dotado de espaço suficiente para abordagens individuais ou coletivas, conforme características dos serviços prestados, e possuir ESSENCIALMENTE,
";"Alternativas
A
conforto acústico adequado ao atendimento breve com portas fechadas.

B
recursos que garantam a privacidade do usuário naquilo que for revelado durante o processo de intervenção profissional.

C
local adequado para colocação de arquivos para guarda de material.

D
iluminação adequada ao trabalho diurno, conforme a organização empresarial.

E
grandes áreas verdes, conforto térmico e ser próximo à instituição.";2009;FCC;MPE-SE ; FCC - 2009 - MPE-SE - Analista do Ministério Público – Especialidade Serviço Social;;;;;;;;;Analista do Ministério Público – Especialidade Serviço Social;1.0;0.0
17;Ano: 2009 Banca: FCC Órgão: MPE-SE Prova: FCC - 2009 - MPE-SE - Analista do Ministério Público – Especialidade Serviço Social;"O compromisso ético requerido em um processo de perícia social corresponde ao atendimento dos princípios e das normas para o exercício profissional contidos no Código de Ética do Assistente Social. Quanto aos princípios fundamentais do código de ética deve-se destacar aqueles relacionados
";"Alternativas
A
à posição desfavorável à ampliação da cidadania.

B
à discriminação por questões de inserção de classe social.

C
ao posicionamento contra à equidade.

D
ao não-posicionamento a favor da justiça social.

E
à defesa dos diretos humanos.";2009;FCC;MPE-SE ; FCC - 2009 - MPE-SE - Analista do Ministério Público – Especialidade Serviço Social;;;;;;;;;Analista do Ministério Público – Especialidade Serviço Social;1.0;0.0
18;Ano: 2009 Banca: FCC Órgão: TJ-AP Prova: FCC - 2009 - TJ-AP - Analista Judiciário - Assistência Social;Os assistentes sociais têm sua profissão regida por um código de ética adotado em 1993, fundamentado em pressupostos históricos, teóricos e políticos que;"Alternativas
A
representa um instrumento que determina parâmetros para o exercício profissional, por meio de sanções e normas, consubstanciando a identidade profissional frente à sociedade.
B
se posiciona de forma clara e aprofundada na perspectiva neotomista e fundamenta-se na lógica teórico-metodológica do positivismo, pois este sustenta o sistema de normatização.
C
tem como uma de suas funções precípuas a denúncia, cabendo ao assistente social, sobretudo, denunciar a instituição na qual atua.
D
representa um instrumento que determina parâmetros para o exercício profissional, centrando seus fundamentos na perspectiva teórica acrítica e ahistórica, na medida em que esta linha facilita a leitura da realidade social.
E
propõe que a postura profissional deve fiar-se pelo ajustamento, com o objetivo de apaziguar os conflitos.";2009;FCC;TJ-AP ; FCC - 2009 - TJ-AP - Analista Judiciário - Assistência Social;;;;;;;;;Analista Judiciário Assistência Social;1.0;0.0
19;Ano: 2009 Banca: FCC Órgão: TJ-AP Prova: FCC - 2009 - TJ-AP - Analista Judiciário - Assistência Social;A Lei nº 8.662/93 que regulamenta a profissão do Assistente Social prevê como atribuição privativa:;"Alternativas
A
elaborar, supervisionar, orientar, coordenar, planejar, programar, implantar, controlar, dirigir, executar, analisar ou avaliar estudos, trabalhos, pesquisas, planos, programas e projetos atinentes à realidade social.
B
participar da elaboração, supervisão, orientação, coordenação, planejamento, programação, implantação, direção, controle, execução, análise ou avaliação de qualquer estudo, trabalho, pesquisa, plano, programa ou projeto global, regional ou setorial, atinente à realidade social.
C
assessorar e prestar consultoria a empresas, órgãos da administração pública direta ou indireta, entidades e associações, relativamente à realidade social.
D
realização de vistoria, perícias técnicas, laudos periciais, informações e pareceres sobre a matéria de serviço social.
E
planejar, executar e avaliar pesquisas, que possam contribuir para a análise da realidade social, mediante prévio registro no órgão competente do Ministério da Previdência Social.";2009;FCC;TJ-AP ; FCC - 2009 - TJ-AP - Analista Judiciário - Assistência Social;;;;;;;;;Analista Judiciário Assistência Social;1.0;0.0
20;Ano: 2009 Banca: FCC Órgão: TJ-AP Prova: FCC - 2009 - TJ-AP - Analista Judiciário - Assistência Social;Cabe ao assistente social, no exercício de sua profissão, atentar para as orientações referentes ao sigilo profissional. A Resolução do Conselho Federal no 273/93, no que concerne especificamente ao trabalho em equipe determina que;"Alternativas
A
o sigilo não poderá ser revelado em nenhuma circunstância.
B
na perspectiva de proteger o usuário em tudo aquilo que o assistente social tome conhecimento, como decorrência do exercício da atividade profissional, só poderão ser prestadas informações à equipe multidisciplinar dentro dos limites estritamente necessários.
C
no exercício profissional, no âmbito do judiciário, podem e devem ser prestadas todas as informações sem restrições de sigilo.
D
no exercício do profissional, no âmbito do judiciário, só poderão ser prestadas as informações concernentes ao caso nas situações em que houver requisito formal do excelentíssimo senhor juiz.
E
é permitido ao assistente social, sem restrições, revelar o sigilo profissional, pois as informações podem constituir-se em fonte de poder e favorecer a participação, na medida em que o Código de Ética em vigor tem como um de seus pressupostos a democratização da sociedade brasileira.";2009;FCC;TJ-AP ; FCC - 2009 - TJ-AP - Analista Judiciário - Assistência Social;;;;;;;;;Analista Judiciário Assistência Social;1.0;0.0
21;Ano: 2010 Banca: FCC Órgão: TJ-PI Prova: FCC - 2010 - TJ-PI - Analista Judiciário - Assistência Social;"No projeto ético-político atual do Serviço Social brasileiro explicita-se:
";"Alternativas
A
postura teórica conservadora, relacionada ao pressuposto filosófico cujo horizonte é a manutenção da ordem.

B
a afirmação da base filosófica positivista, norteada pela ética da neutralidade, e afirmação do perfil técnico como agente executivo.

C
a prática profissional no âmbito da dimensão a-política, dada pela inserção sociotécnica do Serviço Social.

D
o seu vínculo a um projeto societário que propõe a construção de uma nova ordem social, sem dominação e/ou exploração de classe, etnia e gênero.

E
a auto-imagem de uma profissão, elegendo valores e prescrevendo normas para o comportamento humano- filosófico do profissional para a afirmação do status quo vigente.";2010;FCC;TJ-PI ; FCC - 2010 - TJ-PI - Analista Judiciário - Assistência Social;;;;;;;;;Analista Judiciário Assistência Social;1.0;0.0
22;Ano: 2010 Banca: FCC Órgão: TJ-PI Prova: FCC - 2010 - TJ-PI - Analista Judiciário - Assistência Social;"Na regulamentação da profissão, constituem como competências do assistente social:

I. encaminhar providências e prestar orientações psicoterapêuticas a indivíduos, grupos e à população.

II. orientar indivíduos e grupos de diferentes segmentos sociais no sentido de identificar recursos e de fazer uso dos mesmos no atendimento e na defesa de seus direitos.

III. realizar estudos socioeconômicos com os usuários para fins de benefícios e serviços sociais junto a órgãos da administração direta e indireta, empresas privadas e outras entidades.

Está correto o que se afirma em:
";"Alternativas
A
I apenas.

B
I e II apenas.

C
I e III apenas.

D
II e III apenas.

E
I, II e III.";2010;FCC;TJ-PI ; FCC - 2010 - TJ-PI - Analista Judiciário - Assistência Social;;;;;;;;;Analista Judiciário Assistência Social;1.0;0.0
23;Ano: 2010 Banca: FCC Órgão: TJ-PI Prova: FCC - 2010 - TJ-PI - Analista Judiciário - Assistência Social;"Ao ser chamado para compor a equipe técnica, junto ao Tribunal de Justiça, o analista judiciário/assistente social deve orientar-se pelo projeto ético-político que define para a profissão:

I. contribuir para o fortalecimento de processos emancipatórios, nos quais há a formação de uma consciência crítica dos sujeitos frente à apreensão da realidade.

II. facilitar os processos democráticos garantidores de direitos e de relações horizontais entre profissionais e usuários.

III. projetar a emancipação e a transformação social.

Está correto o que se afirma em:
";"Alternativas
A
I apenas.

B
I e II apenas.

C
I e III apenas.

D
II e III apenas.

E
I, II e III.";2010;FCC;TJ-PI ; FCC - 2010 - TJ-PI - Analista Judiciário - Assistência Social;;;;;;;;;Analista Judiciário Assistência Social;1.0;0.0
24;Ano: 2010 Banca: CESPE / CEBRASPE Órgão: DPU Prova: CESPE - 2010 - DPU - Assistente Social;"Acerca do projeto ético-político do serviço social que fundamenta o exercício profissional dos assistentes sociais, assinale a opção correta.
";"Alternativas
A
A construção do projeto profissional a partir das determinações sócio-históricas desvincula-se da reconceituação do serviço social.
B
Os projetos profissionais, por comportarem valores e elementos da autoimagem profissional, são totalmente desvinculados dos projetos societários.
C
No projeto ético-político hegemônico, estão presentes concepções sobre o direito à diferença e às formações identitárias, bem como sua relação intrínseca com as lutas igualitárias.
D
Os projetos ético-políticos profissionais limitam-se a normatizações morais.
E
A competência requisitada impõe o uso de instrumental, sem recorrer a mediações no processo de intervenção.";2010;CESPE;DPU ; CESPE - 2010 - DPU - Assistente Social;;;;;;;;;Assistente Social;1.0;0.0
