;index;variable;value
0;-1;0;"São princípios presentes no Código de Ética do Assistente Social que devem dar sustentação à sua prática profissional:

1. Reconhecimento da liberdade como valor ético central e das demandas políticas a ela inerentes - autonomia, emancipação e plena expansão dos indivíduos sociais; Defesa intransigente dos direitos humanos e recusa do arbítrio e do autoritarismo.

2. Contribuir para a viabilização da participação efetiva da população usuária nas decisões institucionais; Dispor de condições de trabalho condignas, seja em entidade pública ou privada, de forma a garantir a qualidade do exercício profissional.

3. Apoiar e/ou participar dos movimentos sociais e organizações populares vinculados à luta pela consolidação e ampliação da democracia e dos direitos de cidadania; Denunciar ao Conselho Regional de Serviço Social, através de comunicação fundamentada, qualquer forma de exercício irregular da Profissão, infrações a princípios e diretrizes deste Código e da legislação profissional.

4. Empenho na eliminação de todas as formas de preconceito, incentivando o respeito à diversidade, à participação de grupos socialmente discriminados e à discussão das diferenças; Garantia do pluralismo, através do respeito às correntes profissionais democráticas existentes e suas expressões teóricas e compromisso com o constante aprimoramento intelectual.

5. Opção por um projeto profissional vinculado ao processo de construção de uma nova ordem societária, sem dominação, exploração de classe, etnia e gênero; Exercício do Serviço Social sem ser discriminado, nem discriminar, por questões de inserção de classe social, gênero, etnia, religião, nacionalidade, orientação sexual, identidade de gênero, idade e condição física.

Assinale a alternativa que indica todas as afirmativas corretas.
 - Alternativas
A
São corretas apenas as afirmativas 1 e 2.
B
São corretas apenas as afirmativas 1 e 4.
C
São corretas apenas as afirmativas 2 e 3.
D
São corretas apenas as afirmativas 1, 4 e 5.
E
São corretas apenas as afirmativas 2, 3 e 4."
51;-1;1;"Assinale a alternativa correta em relação ao Código de Ética do/a assistente social e à Lei nº 8.662/1993 de regulamentação da profissão. - Alternativas
A
É vedado ao/à assistente social a recusa do arbítrio e do autoritarismo.
B
Trata-se de um princípio fundamental a articulação com os movimentos de outras categorias profissionais que não partilhem dos princípios deste Código e nem com a luta geral dos/as trabalhadores/as.
C
Compete ao/à assistente social, em sua prática profissional, atuar como Tribunal Superior de Ética Profissional, firmando jurisprudência na observância nos casos omissos.
D
Constitui atribuição privativa do/a assistente social planejar, organizar e administrar programas e projetos em Unidade de Serviço Social.
E
Constitui atribuição privativa do/a assistente social elaborar, implementar, executar e avaliar políticas sociais junto a órgãos da administração pública, direta ou indireta, empresas, entidades e organizações populares."
102;-1;2;"Conforme a Lei no 8.662/1993, que dispõe sobre a profissão de Assistente Social, constitui-se como competência do profissional:

I. planejar, executar e avaliar pesquisas que possam contribuir para a análise da realidade social e para subsidiar ações profissionais;
II. prestar assessoria e apoio aos movimentos sociais em matéria relacionada às políticas sociais, no exercício e na defesa dos direitos civis, políticos e sociais da coletividade;
III. realizar estudos socioeconômicos com os usuários para fins de benefícios e serviços sociais junto a órgãos da administração pública direta e indireta, empresas privadas e outras entidades.

Está correto o que consta em

 - Alternativas
A
I, apenas.
B
II, apenas.
C
III, apenas.
D
I e II, apenas.
E
I, II e III."
1;0;0;"Considerando o Código de Ética do Assistente Social, no que refere ao art. 2° do Titulo II, constituem direitos do assistente social: - Alternativas
A
Garantia e defesa de suas atribuições e prerrogativas estabelecidas na Lei de Regulamentação da Profissão e dos princípios afirmados neste Código; inviolabilidade do local de trabalho e respectivos arquivos e documentação garantindo o sigilo profissional e desagravo público por ofensa que atinja a sua honra profissional.
B
Desempenhar suas atividades profissionais, com eficiência e responsabilidade, observando a legislação em vigor; participar de programas de socorro à população em situação de calamidade pública, no atendimento e defesa de seus interesses e necessidades e utilizar seu número de registro no Conselho Regional no exercício da Profissão.
C
Programar, administrar, executar e repassar os serviços sociais assegurados institucionalmente.
D
Ser solidário com outros profissionais, sem, todavia, eximir-se de denunciar atos que contrariem os postulados éticos contidos neste Código e repassar ao seu substituto as informações necessárias à continuidade do trabalho.
E
Contribuir para a viabilidade da participação efetiva da população usuária nas decisões institucionais e democratizaras informações e o acesso aos programas disponíveis no espaço institucional, como um dos mecanismos indispensáveis à participação dos usuários."
52;0;1;"De acordo com o Código de Ética do(a) Assistente Social e com a Lei nº 8.662/1993, de Regulamentação da Profissão, são deveres do(a) Assistente Social nas suas relações com os(as) usuários(as):
  I. Contribuir para a viabilização da participação efetiva da população usuária nas decisões institucionais.  II. Garantir a plena informação e discussão sobre as possibilidades e consequências das situações apresentadas, respeitando democraticamente as decisões dos(as) usuários(as), mesmo que sejam contrárias aos valores e às crenças individuais dos(as) profissionais, resguardados os princípios do Código de Ética do(a) Assistente Social. III. Participar de programas de socorro à população em situação de calamidade pública, no atendimento e na defesa de seus interesses e necessidades. IV. Democratizar as informações e o acesso aos programas disponíveis no espaço institucional, como um dos mecanismos indispensáveis à participação dos(as) usuários(as).

Quais estão corretos?  - Alternativas
A
Apenas I e II. 
B
Apenas II e III.
C
Apenas III e IV.
D
Apenas I, II e IV.
E
Apenas II, III e IV."
103;0;2;"Segundo o Código de Ética da Profissão, analise as afirmativas a seguir e assinale (V) para as VERDADEIRAS e (F) para as FALSAS.
( ) Constituem deveres do assistente social nas relações com as instituições empregadoras e outras: integrar comissões interdisciplinares de ética nos locais de trabalho do profissional, tanto no que se refere à avaliação da conduta profissional, como em relação às decisões quanto às políticas institucionais. ( ) Constituem direitos do assistente social nas relações com entidades da categoria e demais organizações da sociedade civil: participar em sociedades científicas e em entidades representativas e de organização da categoria que tenham por finalidade, respectivamente, a produção de conhecimento, a defesa e a fiscalização do exercício profissional. ( ) É vedado ao assistente social nas relações com assistentes sociais e outros profissionais: ser conivente com falhas éticas de acordo com os princípios desse Código e com erros técnicos praticados por assistente social e qualquer outro profissional. ( ) O sigilo protegerá, até certo ponto, o usuário em tudo aquilo de que o assistente social tome conhecimento no exercício das atividades profissionais e pessoais. ( ) São deveres do assistente social nas suas relações com os usuários: garantir a plena informação e discussão sobre as possibilidades e consequências das situações apresentadas, respeitando democraticamente as decisões dos usuários, mesmo que sejam contrárias aos valores e às crenças individuais dos profissionais, resguardados os princípios desse Código.
Marque a opção que apresenta a sequência CORRETA. - Alternativas
A
F – V – V – F – V.
B
V – F – V – F – V.
C
F – V – F – V – F.
D
V – F – F – V – F.
E
F – F – V – V – F."
2;1;0;"A respeito do projeto ético-político do serviço brasileiro, marque a afirmação VERDADEIRA.  - Alternativas
A
Constituem o projeto ético do serviço social: a produção de conhecimentos no interior do Serviço Social, as instâncias político organizativas da profissão e a dimensão jurídico política da profissão.
B
O projeto ético e político do serviço social foi construído corporativamente, voltado à defesa dos interesses dos assistentes sociais. 
C

Tem compromisso com a autonomia, a emancipação e a plena expansão dos indivíduos sociais, na medida em que está vinculado a um projeto societário que privilegia a classe dominante. 

D
Não há dúvidas de que o projeto ético‐político do Serviço Social brasileiro não está vinculado a um projeto de transformação da sociedade.
E
O projeto ético-político do serviço social tem em seu núcleo o reconhecimento da justiça social como valor ético central."
53;1;1;"José Paulo Netto no texto: “A Construção do Projeto Ético-Político do Serviço Social” publicado em 2006 cita uma série de considerações sobre o projeto ético-politico do Serviço Social. Com base no pensamento do autor, analise as afirmativas abaixo, as quais mencionam o projeto ético-político do Serviço Social. I. O projeto ético-político do Serviço Social tem em seu núcleo o reconhecimento da liberdade como valor central. II. O projeto ético-político do Serviço Social também é um processo, em contínuo desdobramento. III. O projeto ético-político do Serviço Social possui uma estrutura básica que é inflexível. IV. O projeto ético-político do Serviço Social não guarda relação com o compromisso com a competência, que só pode ter como base o aperfeiçoamento intelectual do assistente social. V. O projeto ético-político do Serviço Social se vincula a um projeto societário que propõe a construção de uma nova ordem social. Estão corretas as afirmativas: - Alternativas
A
I, II e III
B
II, III e IV
C
I, II e V
D
III, IV e V
E
II, III e V"
104;1;2;"Sobre o projeto ético-político que norteia a prática profissional do/da Assistente Social, é CORRETO afirmar:
 - Alternativas
A
O projeto ético-político expressa a vinculação da categoria a um projeto de manutenção da ordem social vigente.
B
A qualidade do atendimento aos usuários é reconhecido como o valor ético central do projeto ético-político.
C
Os Conselhos Regionais e Conselho Federal de Serviço Social, ao contrário da Associação Brasileira de Ensino e Pesquisa em Serviço Social, são instâncias político-organizativas consideradas componentes do projeto ético-político.

D
A defesa intransigente dos direitos humanos é o valor ético central do projeto ético-político.
E
A produção do conhecimento em Serviço Social é reconhecida como um dos componentes do projeto ético-político.
"
3;2;0;"O Projeto Ético-Político do Serviço Social, materializado nos instrumentos normativos que regulamentam e norteiam a profissão, tem fundamentação histórica e teórico-metodológica na teoria marxista e tem valores e princípios éticos humanísticos.

Sobre o Projeto Ético-Político do Serviço Social no Brasil, é CORRETO afirmar que: - Alternativas
A
O projeto ético-político do Serviço Social está vinculado a uma perspectiva de conservação da ordem social vigente.
B
O projeto ético-político expressa o reconhecimento da universalização do acesso aos bens e serviços sociais como valor ético central da prática profissional.
C
O projeto ético-político do Serviço Social expressa a autoimagem da profissão, seus valores, sua função social, sua dimensão teórico-metodológica, dentre outros aspectos da práxis profissional.
D
O projeto ético-político do Serviço Social pauta as bases da prática profissional apenas no âmbito das instituições sociais públicas, dada a responsabilidade do Estado em assegurar os direitos sociais.
E
O projeto ético-político pressupõe a construção de uma sociedade que possibilite o acesso aos bens e serviços sociais de acordo com as competências e capacidades individuais e coletivas."
