;Topic;Count;Name;Representation;Representative_Docs;topic_title
0;-1;1123;-1_ética_ético_sociais_profissão;['ética', 'ético', 'sociais', 'profissão', 'competências', 'profissionais', 'competência', 'atribuições', 'sociedade', 'regulamentação'];"['São princípios presentes no Código de Ética do Assistente Social que devem dar sustentação à sua prática profissional:\n\n1. Reconhecimento da liberdade como valor ético central e das demandas políticas a ela inerentes - autonomia, emancipação e plena expansão dos indivíduos sociais; Defesa intransigente dos direitos humanos e recusa do arbítrio e do autoritarismo.\n\n2. Contribuir para a viabilização da participação efetiva da população usuária nas decisões institucionais; Dispor de condições de trabalho condignas, seja em entidade pública ou privada, de forma a garantir a qualidade do exercício profissional.\n\n3. Apoiar e/ou participar dos movimentos sociais e organizações populares vinculados à luta pela consolidação e ampliação da democracia e dos direitos de cidadania; Denunciar ao Conselho Regional de Serviço Social, através de comunicação fundamentada, qualquer forma de exercício irregular da Profissão, infrações a princípios e diretrizes deste Código e da legislação profissional.\n\n4. Empenho na eliminação de todas as formas de preconceito, incentivando o respeito à diversidade, à participação de grupos socialmente discriminados e à discussão das diferenças; Garantia do pluralismo, através do respeito às correntes profissionais democráticas existentes e suas expressões teóricas e compromisso com o constante aprimoramento intelectual.\n\n5. Opção por um projeto profissional vinculado ao processo de construção de uma nova ordem societária, sem dominação, exploração de classe, etnia e gênero; Exercício do Serviço Social sem ser discriminado, nem discriminar, por questões de inserção de classe social, gênero, etnia, religião, nacionalidade, orientação sexual, identidade de gênero, idade e condição física.\n\nAssinale a alternativa que indica todas as afirmativas corretas.\n - Alternativas\nA\nSão corretas apenas as afirmativas 1 e 2.\nB\nSão corretas apenas as afirmativas 1 e 4.\nC\nSão corretas apenas as afirmativas 2 e 3.\nD\nSão corretas apenas as afirmativas 1, 4 e 5.\nE\nSão corretas apenas as afirmativas 2, 3 e 4.', 'Assinale a alternativa correta em relação ao Código de Ética do/a assistente social e à Lei nº 8.662/1993 de regulamentação da profissão. - Alternativas\nA\nÉ vedado ao/à assistente social a recusa do arbítrio e do autoritarismo.\nB\nTrata-se de um princípio fundamental a articulação com os movimentos de outras categorias profissionais que não partilhem dos princípios deste Código e nem com a luta geral dos/as trabalhadores/as.\nC\nCompete ao/à assistente social, em sua prática profissional, atuar como Tribunal Superior de Ética Profissional, firmando jurisprudência na observância nos casos omissos.\nD\nConstitui atribuição privativa do/a assistente social planejar, organizar e administrar programas e projetos em Unidade de Serviço Social.\nE\nConstitui atribuição privativa do/a assistente social elaborar, implementar, executar e avaliar políticas sociais junto a órgãos da administração pública, direta ou indireta, empresas, entidades e organizações populares.', 'Conforme a Lei no 8.662/1993, que dispõe sobre a profissão de Assistente Social, constitui-se como competência do profissional:\n\nI. planejar, executar e avaliar pesquisas que possam contribuir para a análise da realidade social e para subsidiar ações profissionais;\nII. prestar assessoria e apoio aos movimentos sociais em matéria relacionada às políticas sociais, no exercício e na defesa dos direitos civis, políticos e sociais da coletividade;\nIII. realizar estudos socioeconômicos com os usuários para fins de benefícios e serviços sociais junto a órgãos da administração pública direta e indireta, empresas privadas e outras entidades.\n\nEstá correto o que consta em\n\n - Alternativas\nA\nI, apenas.\nB\nII, apenas.\nC\nIII, apenas.\nD\nI e II, apenas.\nE\nI, II e III.']";Outros
1;0;294;0_ética_responsabilidade_responsabilidades_sociais;['ética', 'responsabilidade', 'responsabilidades', 'sociais', 'institucionais', 'direitos', 'atribuições', 'social', 'instituições', 'assistente'];"['Considerando o Código de Ética do Assistente Social, no que refere ao art. 2° do Titulo II, constituem direitos do assistente social: - Alternativas\nA\nGarantia e defesa de suas atribuições e prerrogativas estabelecidas na Lei de Regulamentação da Profissão e dos princípios afirmados neste Código; inviolabilidade do local de trabalho e respectivos arquivos e documentação garantindo o sigilo profissional e desagravo público por ofensa que atinja a sua honra profissional.\nB\nDesempenhar suas atividades profissionais, com eficiência e responsabilidade, observando a legislação em vigor; participar de programas de socorro à população em situação de calamidade pública, no atendimento e defesa de seus interesses e necessidades e utilizar seu número de registro no Conselho Regional no exercício da Profissão.\nC\nProgramar, administrar, executar e repassar os serviços sociais assegurados institucionalmente.\nD\nSer solidário com outros profissionais, sem, todavia, eximir-se de denunciar atos que contrariem os postulados éticos contidos neste Código e repassar ao seu substituto as informações necessárias à continuidade do trabalho.\nE\nContribuir para a viabilidade da participação efetiva da população usuária nas decisões institucionais e democratizaras informações e o acesso aos programas disponíveis no espaço institucional, como um dos mecanismos indispensáveis à participação dos usuários.', 'De acordo com o Código de Ética do(a) Assistente Social e com a Lei nº 8.662/1993, de Regulamentação da Profissão, são deveres do(a) Assistente Social nas suas relações com os(as) usuários(as):\n\xa0 I. Contribuir para a viabilização da participação efetiva da população usuária nas decisões institucionais. \xa0II. Garantir a plena informação e discussão sobre as possibilidades e consequências das situações apresentadas, respeitando democraticamente as decisões dos(as) usuários(as), mesmo que sejam contrárias aos valores e às crenças individuais dos(as) profissionais, resguardados os princípios do Código de Ética do(a) Assistente Social. III. Participar de programas de socorro à população em situação de calamidade pública, no atendimento e na defesa de seus interesses e necessidades. IV. Democratizar as informações e o acesso aos programas disponíveis no espaço institucional, como um dos mecanismos indispensáveis à participação dos(as) usuários(as).\n\nQuais estão corretos?\xa0 - Alternativas\nA\nApenas I e II.\xa0\nB\nApenas II e III.\nC\nApenas III e IV.\nD\nApenas I, II e IV.\nE\nApenas II, III e IV.', 'Segundo o Código de Ética da Profissão, analise as afirmativas a seguir e assinale (V) para as VERDADEIRAS e (F) para as FALSAS.\n( ) Constituem deveres do assistente social nas relações com as instituições empregadoras e outras: integrar comissões interdisciplinares de ética nos locais de trabalho do profissional, tanto no que se refere à avaliação da conduta profissional, como em relação às decisões quanto às políticas institucionais. ( ) Constituem direitos do assistente social nas relações com entidades da categoria e demais organizações da sociedade civil: participar em sociedades científicas e em entidades representativas e de organização da categoria que tenham por finalidade, respectivamente, a produção de conhecimento, a defesa e a fiscalização do exercício profissional. ( ) É vedado ao assistente social nas relações com assistentes sociais e outros profissionais: ser conivente com falhas éticas de acordo com os princípios desse Código e com erros técnicos praticados por assistente social e qualquer outro profissional. ( ) O sigilo protegerá, até certo ponto, o usuário em tudo aquilo de que o assistente social tome conhecimento no exercício das atividades profissionais e pessoais. ( ) São deveres do assistente social nas suas relações com os usuários: garantir a plena informação e discussão sobre as possibilidades e consequências das situações apresentadas, respeitando democraticamente as decisões dos usuários, mesmo que sejam contrárias aos valores e às crenças individuais dos profissionais, resguardados os princípios desse Código.\nMarque a opção que apresenta a sequência CORRETA. - Alternativas\nA\nF – V – V – F – V.\nB\nV – F – V – F – V.\nC\nF – V – F – V – F.\nD\nV – F – F – V – F.\nE\nF – F – V – V – F.']";Ética e Responsabilidade Social do Assistente
2;1;166;1_ético_societário_ética_societários;['ético', 'societário', 'ética', 'societários', 'sociais', 'sociedade', 'social', 'política', 'político', 'conservadorismo'];['A respeito do projeto ético-político do serviço brasileiro, marque a afirmação VERDADEIRA.\xa0 - Alternativas\nA\nConstituem o projeto ético do serviço social: a produção de conhecimentos no interior do Serviço Social, as instâncias político organizativas da profissão e a dimensão jurídico política da profissão.\nB\nO projeto ético e político do serviço social foi construído corporativamente, voltado à defesa dos interesses dos assistentes sociais.\xa0\nC\n\nTem compromisso com a autonomia, a emancipação e a plena expansão dos indivíduos sociais, na medida em que está vinculado a um projeto societário que privilegia a classe dominante.\xa0\n\nD\nNão há dúvidas de que o projeto ético‐político do Serviço Social brasileiro não está vinculado a um projeto de transformação da sociedade.\nE\nO projeto ético-político do serviço social tem em seu núcleo o reconhecimento da justiça social como valor ético central.', 'José Paulo Netto no texto: “A Construção do Projeto Ético-Político do Serviço Social” publicado em 2006 cita uma série de considerações sobre o projeto ético-politico do Serviço Social. Com base no pensamento do autor, analise as afirmativas abaixo, as quais mencionam o projeto ético-político do Serviço Social. I. O projeto ético-político do Serviço Social tem em seu núcleo o reconhecimento da liberdade como valor central. II. O projeto ético-político do Serviço Social também é um processo, em contínuo desdobramento. III. O projeto ético-político do Serviço Social possui uma estrutura básica que é inflexível. IV. O projeto ético-político do Serviço Social não guarda relação com o compromisso com a competência, que só pode ter como base o aperfeiçoamento intelectual do assistente social. V. O projeto ético-político do Serviço Social se vincula a um projeto societário que propõe a construção de uma nova ordem social. Estão corretas as afirmativas: - Alternativas\nA\nI, II e III\nB\nII, III e IV\nC\nI, II e V\nD\nIII, IV e V\nE\nII, III e V', 'Sobre o projeto ético-político que norteia a prática profissional do/da Assistente Social, é CORRETO afirmar:\n - Alternativas\nA\nO projeto ético-político expressa a vinculação da categoria a um projeto de manutenção da ordem social vigente.\nB\nA qualidade do atendimento aos usuários é reconhecido como o valor ético central do projeto ético-político.\nC\nOs Conselhos Regionais e Conselho Federal de Serviço Social, ao contrário da Associação Brasileira de Ensino e Pesquisa em Serviço Social, são instâncias político-organizativas consideradas componentes do projeto ético-político.\n\nD\nA defesa intransigente dos direitos humanos é o valor ético central do projeto ético-político.\nE\nA produção do conhecimento em Serviço Social é reconhecida como um dos componentes do projeto ético-político.\n'];Ética Societária e Política Social
3;2;158;2_sociais_políticas_sociedade_brasil;['sociais', 'políticas', 'sociedade', 'brasil', 'política', 'brasileiro', 'político', 'brasileiros', 'brasileira', 'social'];"['O Projeto Ético-Político do Serviço Social, materializado nos instrumentos normativos que regulamentam e norteiam a profissão, tem fundamentação histórica e teórico-metodológica na teoria marxista e tem valores e princípios éticos humanísticos.\n\nSobre o Projeto Ético-Político do Serviço Social no Brasil, é CORRETO afirmar que: - Alternativas\nA\nO projeto ético-político do Serviço Social está vinculado a uma perspectiva de conservação da ordem social vigente.\nB\nO projeto ético-político expressa o reconhecimento da universalização do acesso aos bens e serviços sociais como valor ético central da prática profissional.\nC\nO projeto ético-político do Serviço Social expressa a autoimagem da profissão, seus valores, sua função social, sua dimensão teórico-metodológica, dentre outros aspectos da práxis profissional.\nD\nO projeto ético-político do Serviço Social pauta as bases da prática profissional apenas no âmbito das instituições sociais públicas, dada a responsabilidade do Estado em assegurar os direitos sociais.\nE\nO projeto ético-político pressupõe a construção de uma sociedade que possibilite o acesso aos bens e serviços sociais de acordo com as competências e capacidades individuais e coletivas.', 'Sobre o Projeto Ético Político do Serviço Social, assinale (V) para afirmativa verdadeira e (F) para falsa.\n\n\n\n\n( ) No Serviço Social brasileiro, a construção do Projeto Ético Político se iniciou na transição da década de 1970 à de 1980, vinculado à denúncia e recusa do conservadorismo profissional.\n\n( ) A dimensão política do Projeto Ético Político, se posiciona a favor da equidade e da justiça social, na perspectiva da universalização do acesso a bens e a serviços relativos às políticas e programas sociais; a ampliação e a consolidação da cidadania são explicitamente postas como garantias de direitos civis, políticos e sociais da classes trabalhadoras.\n\n( ) O Projeto Profissional se vincula a um projeto societário que propõe a construção de uma nova ordem social, sem exploração/dominação de classe, etnia e gênero.\n\n\n( ) O Projeto Ético Político, fundamentado teórica e metodologicamente, conquistou hegemonia no Serviço Social, no Brasil, na década de 90 do século XX.\n\n\n\n\nMarque a sequência correta: - Alternativas\nA\nF, F, V, V\nB\nF, V, F, F\nC\nF, V, V, F\nD\nV, V, V, V\nE\nV, V, V, F', '“É no trânsito dos anos oitenta aos noventa do século XX que o projeto ético-político do Serviço Social no Brasil se configurou em sua estrutura básica. (…) Pode-se afirmar que este projeto ético-político, fundamentado teórica e metodologicamente, conquistou hegemonia no Serviço Social, no Brasil, na década de noventa do século XX.”\n\n(Netto, José Paulo. A construção do projeto ético-político do Serviço Social. In: Serviço Social e Saúde: Formação e Trabalho Profissional. São Paulo: Cortez. 1999).\n\nSobre o projeto ético-político do Serviço Social, analise as afirmativas abaixo:\n\nI – O projeto ético-político do Serviço Social tem em seu núcleo o reconhecimento da liberdade como valor central – a liberdade concebida historicamente, como possibilidade de escolha entre alternativas concretas; daí um compromisso com a autonomia, a emancipação e a plena expansão dos indivíduos sociais.\n\nII - O projeto ético-político do Serviço Social se vincula a um projeto societário que propõe a manutenção da atual ordem social, sem exploração/dominação de classe, etnia e gênero.\n\nIII - O projeto ético-político do Serviço Social tem, como dimensão política, o posicionamento a favor da equidade e da justiça social, na perspectiva da universalização do acesso a bens e a serviços relativos às políticas e programas sociais; a ampliação e a consolidação da cidadania são explicitamente postas como garantia dos direitos civis, políticos e sociais das classes trabalhadoras.\n\nIV - O projeto ético-político do Serviço Social prioriza uma nova relação com os usuários dos serviços oferecidos pelos assistentes sociais, por meio do compromisso com a qualidade dos serviços prestados à população.\n\nEstá correto o que se afirma em:\n - Alternativas\nA\nI, II e III\nB\nII, III e IV\nC\nI, III e IV\nD\nI, II, III e IV']";Políticas Sociais e a Sociedade Brasileira
4;3;134;3_éticas_ético_éticos_ética;['éticas', 'ético', 'éticos', 'ética', 'moralidade', 'moral', 'morais', 'consciência', 'sociedade', 'capitalista'];"['A ética deve ser considerada como mediação entre a singularidade e a genericidade, entre os valores universais e sua objetivação. A ética é práxis: supõe uma prática concreta e uma reflexão ética crítica.\n\n\n\n\nI- Os valores contidos no Código de Ética da/o Assistente Social são orientadores das opções, escolhas e posicionamentos políticos profissionais. Para que se concretizem, é preciso que ganhem efetividade na transformação da realidade.\n\nII- A materialidade do projeto ético político profissional se dá através de três dimensões independentes: produção de conhecimentos no interior do Serviço Social; a dimensão político organizativa da categoria; e a dimensão jurídico-política da profissão.\n\nIII– O Código de 1993 afirma a centralidade do trabalho na constituição do homem enquanto ser social. Esta concepção ética está articulada a valores políticos, como a liberdade, a justiça social, a democracia e ao conjunto de direitos humanos e sociais.\n\nIV- Para a autora, a ética se põe como uma ação prática dotada de uma moralidade que extrapola o dever-ser, instituindo-se no espaço do vir a ser.\n\n\n\n\nÉ correto o que se afirma em: - Alternativas\nA\nI, III e IV, apenas\nB\nI e IV, apenas.\nC\nII e III, apenas.\nD\nI, II, III e IV.\nE\nII, III e IV, apenas.', 'A ética profissional é uma dimensão do Serviço Social, cujas determinações são mediadas pelo conjunto de necessidades e possibilidades, de demandas e respostas que legitimam a profissão na divisão social do trabalho na sociedade capitalista. Avalie as alternativas que seguem, sobre a ética profissional, suas determinações históricas e particularidades e assinale a alternativa INCORRETA: - Alternativas\nA\nA ética profissional se objetiva como ação moral através da prática profissional.\nB\nA moral profissional diz respeito à relação entre a ação profissional do indivíduo singular, os sujeitos nela envolvidos e o produto concreto da intervenção profissional.\nC\nA formação profissional, onde se adquire um dado conhecimento, capaz de fundamentar as escolhas éticas é o único referencial profissional.\nD\nDesde sua origem, o Serviço Social se configura como uma profissão fortemente influenciada pelo conservadorismo moral e político.\nE\nO Código de Ética Profissional de 1993 afirma a centralidade do trabalho na constituição do homem.', 'A dimensão ética informa um dos pilares do Serviço Social brasileiro. Com referência numa abordagem histórico-crítica, entende-se que as determinações dessa dimensão “[...] são mediadas pelo conjunto de necessidades e possibilidades, de demandas e respostas que legitimam a profissão na divisão social do trabalho da sociedade capitalista, marcando a sua origem e a sua trajetória histórica” (BARROCO, 2009, p. 12).\n\nSobre os fundamentos da ética profissional, analise as assertivas abaixo:\n\nI. A ética profissional se objetiva como ação moral , através da prática profissional, como normatização de deveres e valores , através do Código de Ética Profissional, como teorização ética, através das filosofias e teorias que fundamentam sua intervenção e reflexão e como ação ético - política .\n\nII. A moral profissional diz respeito à relação entre a ação profissional do indivíduo singular (derivada de comportamento prático objetivador de decisões, escolhas, juízos e ações de valor moral), os sujeitos nela envolvidos e o produto concreto da intervenção profissional.\n\nIII. O que afere materialidade à consciência ética dos profissional é o pertencimento a um projeto profissional que possa responder aos seus ideais, projeções profissionais e societárias, enquanto profissionais, cidadãos e categoria organizada.\n\nIV. A ética também se objetiva através do Código de Ética, entendido enquanto um conjunto de valores e princípios, normas morais, direitos, deveres e sanções. Normativa instrutora do comportamento individual dos profissionais, dirigido à regulamentação de suas relações éticas com a instituição de trabalho, com outros profissionais, com a população usuária e com o conjunto das entidades da categoria profissional.\n\nAssinale a sequência correta:\n - Alternativas\nA\nV-V-V-V\nB\nF-V-V-F\nC\nV-V-V-F\nD\nF-F-F-V\nE\nF-V-F-F']";Ética e Moralidade na Sociedade Capitalista
5;4;92;4_ético_ética_autoritarismo_liberdade;['ético', 'ética', 'autoritarismo', 'liberdade', 'equidade', 'emancipação', 'socialização', 'democracia', 'sociais', 'autonomia'];"['De acordo com o Código de Ética do e da Assistente Social, são princípios fundamentais do/a assistente social: - Alternativas\nA\nReconhecimento da liberdade como valor ético central e das demandas políticas a ela inerentes − autonomia, emancipação e plena expansão dos indivíduos sociais; Defesa intransigente dos direitos humanos e recusa do arbítrio e do autoritarismo;\nB\nEmpenho na eliminação de todas as formas de preconceito, incentivando o respeito à diversidade, à participação de grupos socialmente discriminados e à discussão das diferenças; participação na elaboração e gerenciamento das políticas sociais, e na formulação e implementação de programas sociais;\xa0\nC\nReconhecimento da participação social como valor ético central e das demandas políticas a ela inerentes − autonomia, emancipação e plena\xa0expansão dos indivíduos sociais; Defesa do aprofundamento da democracia, enquanto socialização da participação política e da riqueza socialmente produzida;\nD\nPosicionamento em favor da liberdade, que assegure universalidade de acesso aos bens e serviços relativos aos programas e políticas sociais, bem como sua gestão democrática; Compromisso com a qualidade dos serviços prestados à população e com o aprimoramento intelectual, na perspectiva da competência profissional.', 'Assinale a alternativa INCORRETA em relação aos princípios fundamentais do Código de Ética de 1993. - Alternativas\nA\nReconhecimento do pluralismo como valor ético central e das demandas políticas a ela inerentes – autonomia, compromisso com a qualidade dos serviços prestados, emancipação e plena expansão dos indivíduos sociais.\nB\nDefesa intransigente dos direitos humanos e recusa do arbítrio e do autoritarismo.\xa0\nC\nAmpliação e consolidação da cidadania, considerada tarefa primordial de toda sociedade, com vistas à garantia dos direitos civis sociais e políticos das classes trabalhadoras.\nD\nDefesa do aprofundamento da democracia, enquanto socialização da participação política e da riqueza socialmente produzida.\nE\nPosicionamento em favor da equidade e justiça social, que assegure universalidade de acesso aos bens e serviços relativos aos programas e políticas sociais, bem como sua gestão democrática.', 'No que se refere aos princípios fundamentais do Código de Ética Profissional do Assistente Social, de 1993, assinale a alternativa INCORRETA. - Alternativas\nA\nReconhecimento da liberdade como valor ético central e das demandas políticas a ela inerentes – autonomia, emancipação e plena expansão dos indivíduos sociais.\nB\nDefesa intransigente dos direitos humanos e estímulo ao arbítrio e ao autoritarismo.\xa0\nC\nAmpliação e consolidação da cidadania, considerada tarefa primordial de toda sociedade, com vistas à garantia dos direitos civis, sociais e políticos das classes trabalhadoras.\nD\nDefesa do aprofundamento da democracia, enquanto socialização da participação política e da riqueza socialmente produzida.\nE\nPosicionamento em favor da equidade e da justiça social, para assegurar universalidade de acesso aos bens e serviços relativos aos programas e políticas sociais, bem como sua gestão democrática.']";Ética e Autoritarismo na Democracia
6;5;83;5_supervisão_supervisionado_supervisores_supervisor;['supervisão', 'supervisionado', 'supervisores', 'supervisor', 'responsabilidade', 'assistente', 'atribuição', 'instituição', 'pedagógico', 'profissional'];['A supervisão direta de estágio em Serviço Social é uma atividade privativa dos Assistentes Sociais. Considerando a necessidade de regulamentar a supervisão direta de estágio no Serviço Social, o Conselho Federal de Serviço Social aprovou a Resolução CFESS nº 533, de 29 de setembro de 2008, definindo que: - Alternativas\nA\ncabe ao supervisor de campo estabelecer o início do estágio e a inserção do estudante no campo de estágio.\nB\no número de estagiários a serem supervisionados tem como limite máximo 3 (três) estagiários por Assistente Social supervisor de campo, independentemente da carga horária de trabalho do supervisor de campo.\nC\nCabe ao supervisor acadêmico verificar se o estudante estagiário está devidamente matriculado no semestre correspondente ao estágio curricular obrigatório.\nD\nÉ dever do supervisor de campo e do supervisor acadêmico atestar ou reconhecer as horas de estágio realizadas pelo estagiário, bem como emitir avaliação e nota.', 'A partir da regulamentação do estágio supervisionado em serviço social, assinale a alternativa INCORRETA: - Alternativas\nA\nA responsabilidade ética e técnica da supervisão direta é do supervisor de campo, já que o supervisor acadêmico é responsável pela supervisão indireta.\nB\nO supervisor acadêmico cumpre o papel de orientar o estagiário e avaliar seu aprendizado, visando a qualificação do aluno durante o processo de formação e aprendizagem das dimensões técnico-operativas, teórico-metodológicas e ético-política da profissão.\nC\nAo supervisor de campo cabe a inserção, acompanhamento, orientação e avaliação do estudante no campo de estágio em conformidade com o plano de estágio.\nD\nTanto o supervisor de campo quanto o acadêmico devem planejar conjuntamente as atividades inerentes ao estágio, estabelecer o cronograma de supervisão sistemática e presencial, que deverá constar no plano de estágio.', 'De acordo com a Resolução nº 533 (CFESS, 2008), que regulamenta a supervisão direta de estágio no Serviço Social, analise as assertivas abaixo:\n\nI. Ao supervisor de campo cabe a inserção, acompanhamento, orientação e avaliação do estudante no campo de estágio, já ao supervisor acadêmico cumpre o papel de orientar o estagiário e avaliar seu aprendizado. II. Compete aos Conselhos Regionais de Serviço Social a fiscalização do exercício profissional do assistente social supervisor nos referidos campos de estágio. III. A supervisão direta de estágio em Serviço Social é competência do(a) assistente social, em pleno gozo dos seus direitos profissionais, devidamente inscrito no CRESS de sua área de ação, sendo denominado supervisor acadêmico o(a) assistente social da instituição e supervisor de campo o(a) assistente social professor da instituição de ensino.\n\nQuais estão corretas? - Alternativas\nA\nApenas I.\nB\nApenas II.\nC\nApenas I e II.\nD\nApenas II e III.\nE\nI, II e III.'];Supervisão e Responsabilidade Profissional do Assistente
7;6;82;6_protegerá_ética_assistente_autoridade;['protegerá', 'ética', 'assistente', 'autoridade', 'admissível', 'profissional', 'interesses', 'revelar', 'constitui', 'multidisciplinar'];['Assinale a alternativa INCORRETA acerca do sigilo profissional do Assistente Social de acordo com o Código de Ética Profissional atual (de 1993).\n - Alternativas\nA\nÉ dever do Assistente Social revelar sigilo profissional.\n\nB\nEm trabalho multidisciplinar, só poderão ser prestadas informações dentro dos limites do estritamente necessário.\n\nC\nA quebra do sigilo só é admissível quando se tratarem de situações cuja gravidade possa trazer prejuízo aos interesses do(a) usuário(a), de terceiros(as) e da coletividade.\n\nD\nO sigilo protegerá o(a) usuário(a) em tudo aquilo de que o(a) assistente social tome conhecimento.\n\nE\nConstitui direito do(a) Assistente Social manter o sigilo profissional.\n', 'Sobre o que dispõe o Código de Ética Profissional do Assistente Social a respeito do Sigilo Profissional, assinale a alternativa incorreta. - Alternativas\nA\nConstitui direito do assistente social manter o sigilo profissional.\nB\nO sigilo protegerá o usuário em tudo aquilo de que o assistente social tome conhecimento, como decorrência do exercício da atividade profissional.\nC\nEm trabalho multidisciplinar só poderão ser prestadas informações dentro dos limites do estritamente necessário.\nD\nA quebra do sigilo nunca será admissível, ainda que se tratarem de situações cuja gravidade possa, envolvendo ou não fato delituoso, trazer prejuízo aos interesses do usuário, de terceiros/as e da coletividade.', 'Sobre o Sigilo Profissional, conforme o Código de Ética Profissional do/a Assistente Social/1993, pode-se afirmar, EXCETO: - Alternativas\nA\nConstitui direito do/a assistente social manter o sigilo profissional.\nB\nNo trabalho multidisciplinar, só poderão ser prestadas informações dentro dos limites do estritamente necessário.\nC\nA quebra do sigilo só é admissível quando se tratarem de situações cuja gravidade possa, envolvendo ou não fato delituoso, trazer prejuízo aos interesses do/a usuário/a, de terceiros/as e da coletividade.\nD\nÉ direito do/a Assistente Social depor como testemunha à Justiça sobre situação sigilosa do/a usuário/a de que tenha conhecimento no exercício profissional.\nE\nO sigilo protegerá o/a usuário/a em tudo aquilo de que o/a assistente social tome conhecimento, como decorrência do exercício da atividade profissional.'];Ética e Proteção dos Interesses Profissionais
8;7;81;7_penalizado_penalidades_punibilidade_penalidade;['penalizado', 'penalidades', 'punibilidade', 'penalidade', 'infrações', 'interdição', 'multas', 'infração', 'disciplinar', 'advertência'];"['Assinale a alternativa que aponta CORRETAMENTE todas as penalidades relativas às infrações disciplinares, previstas no Código de Ética do(a) Assistente Social.\xa0 - Alternativas\nA\nMulta; advertência reservada; suspensão do exercício profissional; cassação do registro profissional.\nB\nMulta; advertência reservada; advertência pública; suspensão do exercício profissional; proibição de obter registro profissional por dois anos.\nC\nMulta; advertência reservada; advertência pública; suspensão do exercício profissional por um ano; cassação do registro profissional.\nD\nMulta; advertência reservada; advertência pública; suspensão do exercício profissional; cassação do registro profissional.\nE\nMulta; advertência reservada; advertência pública; proibição de realizar registro profissional por três anos.', 'As infrações ao Código de Ética do Assistente Social acarretarão penalidades, desde a multa à cassação do exercício profissional. Assinale a alternativa que descreva as penalidades conforme gradação estabelecida - Alternativas\nA\nmulta; advertência pública; suspensão do exercício profissional; advertência reservada; cassação do registro profissional.\nB\nmulta; advertência reservada; advertência pública; cassação do registro profissional; suspensão do exercício profissional.\nC\nadvertência reservada; advertência pública; multa; suspensão do exercício profissional; cassação do registro profissional.\nD\nmulta; advertência reservada; advertência pública; suspensão do exercício profissional; cassação do registro profissional.\nE\nadvertência pública; multa; advertência reservada; suspensão do exercício profissional; cassação do registro profissional.', 'Sobre as infrações disciplinares e as penalidades previstas no Código de Ética do Assistente Social em vigência, assinale a afirmativa INCORRETA. - Alternativas\nA\nAs infrações ao Código de Ética acarretam penalidades, desde a multa à cassação do exercício profissional.\nB\nA pena de suspensão acarreta ao assistente social a interdição do exercício profissional em todo o território nacional, pelo prazo de trinta a três anos.\nC\nA participação, no exercício da profissão, de práticas que caracterizem a censura, o cerceamento da liberdade, o policiamento dos comportamentos é considerada uma violação grave.\nD\nDentre as penalidades aplicáveis o Código de Ética estabelece a multa, a advertência reservada, a advertência pública, a suspensão do exercício profissional e a cassação do registro profissional.']";Penalidades e Infrações na Conduta Profissional
9;8;67;8_assistente_atendimento_assistentes_sociais;['assistente', 'atendimento', 'assistentes', 'sociais', 'situação', 'ética', 'serviço', 'atribuições', 'profissional', 'serviços'];['“Durante um plantão social em um hospital da redede saúde, o Assistente Social atende um usuário que, tendo percorrido vários estabelecimentos com encaminhamento para realização de exame de alta resolução, buscava, mais uma vez, informações para acessar esse serviço. O Assistente Social afirmou que nada poderia fazer, uma vez que lhe cabia apenas atender os usuários daquele hospital, e sugeriu que o usuário buscasse um posto de saúde para maiores esclarecimentos”.\n\nConsiderando a situação acima descrita e com base nos subsídios para a atuação profissional na saúde, assinale a opção que apresenta, para este caso específico, a conduta profissional correta. - Alternativas\nA\nO Assistente Social realizou coerentemente o seu atendimento, uma vez que a orientação no plantão social é exclusiva para os pacientes internados\nB\nO Assistente Social infringiu o Código de Ética profissional, pois não poderia orientar o usuário em uma área que não é de sua competência técnica.\nC\nO Assistente Social incorreu em erro ao não encaminhar o usuário ao setor médico do hospital para receber esse tipo de orientação.\nD\nO Assistente Social baseou a sua conduta profissional nas diretrizes de atendimento social do Sistema Único de Saúde.\nE\nO Assistente Social não utilizou o plantão social como espaço para a viabilização dos direitos sociais.', 'Com base na lei que dispõe sobre a profissão de assistente social, no código de ética profissional do assistente social e nos instrumentos legais de garantia de direitos, julgue o item, em que são apresentadas situações hipotéticas a respeito da atuação da assistente social Marta em equipes multiprofissionais de um hospital geral.\nConsidere que Marta participe de um grupo do serviço de pneumologia do hospital, que tem, entre outros objetivos, a função de discutir estratégias para mudanças no estilo de vida e para melhora do estado de saúde dos usuários. Desde o início de sua participação, Marta vem gravando as reuniões como parte de uma pesquisa. Nessa situação, para evitar que os membros do grupo fiquem inibidos, ela não lhes deve comunicar esse procedimento.\n - Alternativas\nCerto\nErrado', 'Com base na lei que dispõe sobre a profissão de assistente social, no código de ética profissional do assistente social e nos instrumentos legais de garantia de direitos, julgue o item, em que são apresentadas situações hipotéticas a respeito da atuação da assistente social Marta em equipes multiprofissionais de um hospital geral.\nMarta, no desempenho de suas funções, não deve intervir na prestação de serviços realizados por outro assistente social, mesmo quando se tratar de uma urgência, pois tal atitude fere os princípios da ética profissional.\n - Alternativas\nCerto\nErrado'];Atribuições e Ética no Atendimento Social
