;info;enunciado;options;ano;banca;orgao;prova;articles_mentioned_enunciado;articles_mentioned_options;all_articles_mentioned;articles_numbers;paragraphs_mentioned;chapters_mentioned;titles_mentioned;incisos_mentioned;job;is_social_work;has_articles
0;Ano: 2008 Banca: FCC Órgão: MPE-PE Prova: FCC - 2008 - MPE-PE - Promotor de Justiça;A Lei Maria da Penha, Lei no 11.340/2006,;"Alternativas
A
visa a coibir apenas a violência física e sexual contra a mulher, no âmbito doméstico e familiar.
B
admite a renúncia à representação da ofendida perante o juiz, ouvido o Ministério Público, antes ou após o recebimento da denúncia.
C
permite a aplicação, nos casos de violência doméstica e familiar contra a mulher, de penas de cesta básica ou outras de caráter pecuniário.
D
dispõe que o Ministério Público intervirá somente nas causas criminais decorrentes da violência doméstica e familiar contra a mulher.
E
dispõe que caberá ao Ministério Público, entre outras atribuições, requisitar força policial e serviços públicos de saúde, de educação, de assistência social e de segurança, nos casos de violência doméstica e familiar contra a mulher.";2008;FCC;MPE-PE ; FCC - 2008 - MPE-PE - Promotor de Justiça;;;;;;;;;Promotor de Justiça;0.0;0.0
3;Ano: 2008 Banca: CESPE / CEBRASPE Órgão: TJ-DFT Prova: CESPE - 2008 - TJ-DFT - Analista Judiciário - Área Judiciária;Nos casos de violência doméstica contra a mulher, o juiz pode determinar o comparecimento obrigatório do agressor a programas de recuperação e reeducação.;"Alternativas
Certo
Errado";2008;CESPE;TJ-DFT ; CESPE - 2008 - TJ-DFT - Analista Judiciário - Área Judiciária;;;;;;;;;Analista Judiciário Área Judiciária;0.0;0.0
6;Ano: 2009 Banca: FCC Órgão: TJ-SE Prova: FCC - 2009 - TJ-SE - Analista Judiciário - Psicologia;A Lei no 11.340/06 que cria mecanismos para coibir a violência doméstica e familiar contra a mulher prevê que;"Alternativas
A
será considerado autor apenas o indivíduo que coabita com a vítima.
B
será considerado autor não apenas aquele que coabita com a vítima, mas que tenha relação doméstica e familiar.
C
a vítima declare antecipadamente quais são seus parentes residentes no município sob pena de ser acusada de desajuste emocional.
D
será considerado autor apenas o indivíduo que tenha com a vítima um grau de parentesco.
E
a vítima não pode denunciar como sendo violência doméstica a agressão que ocorreu fora do âmbito de sua residência.";2009;FCC;TJ-SE ; FCC - 2009 - TJ-SE - Analista Judiciário - Psicologia;;;;;;;;;Analista Judiciário Psicologia;0.0;0.0
9;Ano: 2010 Banca: FCC Órgão: DPE-SP Prova: FCC - 2010 - DPE-SP - Agente de Defensoria - Psicólogo;A Lei nº 11.340, de 7 de agosto de 2006, conhecida por Lei Maria da Penha, cria mecanismos para coibir e prevenir a violência doméstica e familiar contra a mulher, sendo que no Título II, Capítulo II, Art. 7º (que trata das formas de violência doméstica e familiar contra a mulher), a violência que inclui, entre outros fatores, qualquer conduta que cause à mulher dano emocional e diminuição da autoestima ou que lhe prejudique e perturbe o pleno desenvolvimento, é entendida como uma violência;"Alternativas
A
psicológica.
B
global.
C
física.
D
moral.
E
sexual.";2010;FCC;DPE-SP ; FCC - 2010 - DPE-SP - Agente de Defensoria - Psicólogo;['art 7 ', 'art 7'];;['art 7 ', 'art 7'];['7'];;['capítulo ii'];['título ii'];;Agente de Defensoria Psicólogo;0.0;1.0
12;Ano: 2008 Banca: CESPE / CEBRASPE Órgão: TJ-DFT Prova: CESPE - 2008 - TJ-DFT - Analista Judiciário - Serviço Social;No atendimento a vítimas de violência, deve-se adotar o que preconiza a Lei Maria da Penha: para agilizar o processo de denúncia, cabe à vítima entregar pessoalmente a intimação ao agressor.;"Alternativas
Certo
Errado";2008;CESPE;TJ-DFT ; CESPE - 2008 - TJ-DFT - Analista Judiciário - Serviço Social;;;;;;;;;Analista Judiciário Serviço Social;1.0;0.0
15;Ano: 2008 Banca: CESPE / CEBRASPE Órgão: TJ-DFT Prova: CESPE - 2008 - TJ-DFT - Analista Judiciário - Área Judiciária - Execução de Mandados;Nos casos de violência doméstica contra a mulher, o juiz pode determinar o comparecimento obrigatório do agressor a programas de recuperação e reeducação.;"Alternativas
Certo
Errado";2008;CESPE;TJ-DFT ; CESPE - 2008 - TJ-DFT - Analista Judiciário - Área Judiciária - Execução de Mandados;;;;;;;;;Analista Judiciário Área Judiciária Execução de Mandados;0.0;0.0
18;Ano: 2008 Banca: CESPE / CEBRASPE Órgão: STJ Prova: CESPE - 2008 - STJ - Analista Judiciário - Área Judiciária;A possibilidade real de o acusado de prática de crime contra a mulher no âmbito doméstico e familiar cumprir ameaças de morte dirigidas a sua ex-esposa basta como fundamento para a sua segregação, sobretudo ante a disciplina protetiva da Lei Maria da Penha, que visa a proteção da saúde mental e física da mulher.;"Alternativas
Certo
Errado";2008;CESPE;STJ ; CESPE - 2008 - STJ - Analista Judiciário - Área Judiciária;;;;;;;;;Analista Judiciário Área Judiciária;0.0;0.0
21;Ano: 2010 Banca: FCC Órgão: TJ-PI Prova: FCC - 2010 - TJ-PI - Analista Judiciário - Assistência Social;"A Lei Maria da Penha cria mecanismos para coibir a violência doméstica e familiar contra as mulheres e dispõe de medida protetiva de urgência que estabelece
";"Alternativas
A
a notificação da ofendida dos atos processuais relativos ao agressor e a responsabilidade da ofendida em entregar a intimação de notificação ao agressor.

B
a sua concessão de imediato, mediante realização de audiência das partes e de manifestação do Ministério Público.

C
o prazo de quarenta e oito horas, ao juiz, após recebido o expediente com o pedido da ofendida, conhecer e decidir sobre as medidas protetivas de urgência.

D
a sua concessão ocorrer mediante solicitação exclusiva do Ministério Público.

E
a irrevogabilidade da prisão preventiva do agressor antes do término do processo.";2010;FCC;TJ-PI ; FCC - 2010 - TJ-PI - Analista Judiciário - Assistência Social;;;;;;;;;Analista Judiciário Assistência Social;1.0;0.0
24;Ano: 2010 Banca: FCC Órgão: TJ-PI Prova: FCC - 2010 - TJ-PI - Analista Judiciário - Assistência Social;"O assistente social junto ao Tribunal de Justiça foi convidado a participar de um grupo que tem como missão propor um plano de ação de combate à violência doméstica. A proposição deste plano deve contemplar a elaboração de objetivos claros, que considere
";"Alternativas
A
prioritariamente as necessidades emergentes, pois análises com consistência considerando espaços mais amplos não são adequados para planos desta natureza.

B
os propósitos de forma clara, os questionamentos que permitem identificar a intencionalidade da ação e a análise da probabilidade de êxito em relação aos fatores sociais do espaço em que opera.

C
a adequação da situação posta aos ideários dos propositores do projeto, submetido às intencionalidades políticas dos legisladores locais.

D
o posicionamento de todos os participantes, pois raramente existem pensamentos divergentes entre profissionais, na medida em que não há alternativas conflitantes e nem ambiguidades neste campo de atuação.

E
os avanços teóricos na área, mas desconsiderar a capacidade de exequibilidade, pois objetivos constituem- se de caráter prospectivo e portanto nem sempre são possíveis de serem cumpridos.";2010;FCC;TJ-PI ; FCC - 2010 - TJ-PI - Analista Judiciário - Assistência Social;;;;;;;;;Analista Judiciário Assistência Social;1.0;0.0
27;Ano: 2010 Banca: FCC Órgão: SJDHDS - BA Prova: FCC - 2010 - SJCDH-BA - Agente Penitenciário;"Dentre as formas de violência doméstica e familiar contra a mulher, expressamente previstas na Lei nº 11.340/06, NÃO figura a violência
";"Alternativas
A
psicológica.
B
patrimonial.
C
moral.
D
endêmica.
E
sexual.";2010;FCC;SJDHDS - BA ; FCC - 2010 - SJCDH-BA - Agente Penitenciário;;;;;;;;;Agente Penitenciário;0.0;0.0
