;index;variable;value
0;-1;0;"Segundo a Lei Maria da Penha no Artigo 8° “A política pública que visa coibir a violência doméstica e familiar contra a mulher far-se-á por meio de um conjunto articulado de ações da União, dos Estados, do Distrito Federal e dos Municípios e de ações não-governamentais, tendo por diretrizes, EXCETO - Alternativas
A
a integração operacional do Poder Judiciário, do Ministério Público e da Defensoria Pública com as áreas de segurança pública, assistência social, saúde, educação, trabalho e habitação.
B
o respeito dos valores éticos e sociais da pessoa e da família, de forma a estimular os papéis estereotipados para divulgar o tema “violência doméstica e familiar"" pelos meios de comunicação.
C
a celebração de convênios, protocolos, ajustes, termos ou outros instrumentos de promoção de parceria entre órgãos governamentais ou entre estes e entidades não-governamentais, tendo por objetivo a implementação de programas de erradicação da violência doméstica e familiar contra a mulher.
D
a promoção e a realização de campanhas educativas de prevenção da violência doméstica e familiar contra a mulher, voltadas ao público escolar e à sociedade em geral, e a difusão desta Lei e dos instrumentos de proteção aos direitos humanos das mulheres.
E
a implementação de atendimento policial especializado para as mulheres, em particular nas Delegacias de Atendimento à Mulher."
7;-1;1;"Segundo a Lei nº 11.340/2006 (Lei Maria da Penha), no que concerne ao Título III – Da Assistência à Mulher em Situação de Violência Doméstica e Familiar, Capítulo I – Das Medidas Integradas de Prevenção, a política pública que visa a coibir a violência doméstica e familiar contra a mulher far-se-á por meio de um conjunto articulado de ações da União, dos Estados, do Distrito Federal e dos Municípios e de ações não governamentais, tendo por diretrizes, entre outras, a




I. integração operacional do Poder Judiciário, do Ministério Público e da Defensoria Pública com as áreas de segurança pública, assistência social, saúde, educação, trabalho e habitação.

II. promoção de estudos e pesquisas, estatísticas e outras informações relevantes, com a perspectiva de gênero e de raça ou etnia, concernentes às causas, às consequências e à frequência da violência doméstica e familiar contra a mulher, para a sistematização de dados, a serem unificados nacionalmente, e a avaliação periódica dos resultados das medidas adotadas.

III. implementação de atendimento policial especializado para as mulheres, em particular nas Delegacias de Atendimento à Mulher.

IV. promoção e a realização de campanhas educativas de prevenção da violência doméstica e familiar contra a mulher, voltadas ao público escolar e à sociedade em geral, e a difusão desta Lei e dos instrumentos de proteção aos direitos humanos das mulheres.




É correto o que está contido em
 - Alternativas
A
I e II, apenas.
B
I, II, III e IV.
C
III e IV, apenas.
D
I, II e III."
14;-1;2;"A Lei n. 11.340, de 7 de agosto de 2006, cria mecanismos para coibir e prevenir a violência doméstica e familiar contra a mulher, nos termos do § 8o do art. 226 da Constituição Federal, da Convenção sobre a Eliminação de Todas as Formas de Violência contra a Mulher, da Convenção Interamericana para Prevenir, Punir e Erradicar a Violência contra a Mulher e de outros tratados internacionais ratificados pela República Federativa do Brasil; dispõe sobre a criação dos Juizados de Violência Doméstica e Familiar contra a Mulher; e estabelece medidas de assistência e proteção às mulheres em situação de violência doméstica e familiar. Tendo em vista a caracterização descrita acima, assinale a assertiva que corresponde CORRETAMENTE aos objetivos da presente Lei.
 - Alternativas
A
Serão asseguradas às mulheres que comprovem fazer parte da parcela da sociedade em situação de vulnerabilidade socioeconômica as condições para o exercício efetivo dos direitos à vida, à segurança, à saúde, à alimentação, à educação, à cultura, à moradia, ao acesso à justiça, ao esporte, ao lazer, ao trabalho, à cidadania, à liberdade, à dignidade, ao respeito e à convivência familiar e comunitária;

B
Não é necessariamente de competência do poder público desenvolver políticas que visem garantir os direitos humanos das mulheres, no âmbito das relações domésticas e familiares, no sentido de resguardá-las das formas de negligência, discriminação, exploração, violência, crueldade e opressão;

C
A violência contra a mulher está no âmbito privado, nesse sentido cabe à família criar as condições necessárias para o efetivo exercício dos direitos da mulher;

D
A promoção e a realização de campanhas educativas de prevenção à violência doméstica e familiar contra a mulher se volta somente ao público escolar;

E
Toda mulher, independentemente de classe, raça, etnia, orientação sexual, renda, cultura, nível educacional, idade e religião, goza dos direitos fundamentais inerentes à pessoa humana, sendo-lhe asseguradas as oportunidades e as facilidades para viver sem violência, preservar sua saúde física e mental e seu aperfeiçoamento moral, intelectual e social.
"
1;0;0;"Para os efeitos da Lei 11.340/2006 – Lei Maria da Penha –, configura violência doméstica e familiar contra a mulher qualquer ação ou omissão baseada no gênero que lhe cause morte, lesão, sofrimento físico, sexual ou psicológico e dano moral ou patrimonial




I. no âmbito da unidade doméstica, compreendida como o espaço de convívio permanente de pessoas, desde que com vínculo familiar.

II. no âmbito da família, compreendida como a comunidade formada por indivíduos que são ou se consideram aparentados, unidos por laços naturais, por afinidade ou por vontade expressa.

III. em qualquer relação íntima de afeto, na qual o agressor conviva ou tenha convivido com a ofendida, independentemente de coabitação.




Está correto o contido em - Alternativas
A
I e II, apenas.
B
I e III, apenas.
C
II e III, apenas.
D
I, II e III."
8;0;1;"A Lei nº 11.340 de 07 de agosto de 2006 e também conhecida como Lei Maria da Penha define a violência doméstica e familiar contra a mulher como qualquer ação ou omissão baseada no gênero que lhe cause morte, lesão, sofrimento físico, sexual ou psicológico e dano moral ou patrimonial. A legislação em questão, conforme o artigo 5º., define ainda como violência que acontece no âmbito da unidade doméstica aquela que acontece no espaço ______.
Assinale a alternativa que preencha corretamente a lacuna.  - Alternativas
A
em que se manifeste qualquer conduta que ofenda a integridade ou a saúde corporal da mulher
B
de qualquer conduta que configure calúnia, difamação ou injúria 
C
de uma relação íntima de afeto, na qual o agressor conviva ou tenha convivido com a ofendida, independentemente de coabitação 

D
 de convívio permanente de pessoas, com ou sem vínculo familiar, inclusive as esporadicamente agregadas
E
da comunidade formada por indivíduos que são ou se consideram aparentados, unidos por laços naturais, por afinidade ou por vontade expressa"
15;0;2;"De acordo com a Lei Maria da Penha (Lei nº 11.340/2006), configura violência doméstica e familiar contra a mulher qualquer ação ou omissão baseada no gênero que lhe cause morte, lesão, sofrimento físico, sexual ou psicológico e dano moral ou patrimonial. Em relação às formas de violência doméstica e familiar contra a mulher, entre outras, analise as afirmativas.




I. Violência física: entendida como qualquer conduta que configure calúnia, difamação ou injúria.

II. Violência psicológica: entendida como qualquer conduta que lhe cause dano emocional e diminuição da autoestima ou que lhe prejudique e perturbe o pleno desenvolvimento ou que vise degradar ou controlar suas ações, comportamentos, crenças e decisões, mediante ameaça, constrangimento, humilhação, manipulação, isolamento, vigilância constante, perseguição contumaz, insulto, chantagem, ridicularização, exploração e limitação do direito de ir e vir ou qualquer outro meio que lhe cause prejuízo à saúde psicológica e à autodeterminação.

III. Violência sexual: entendida como qualquer conduta que a constranja a presenciar, a manter ou a participar de relação sexual não desejada, mediante intimidação, ameaça, coação ou uso da força; que a induza a comercializar ou a utilizar, de qualquer modo, a sua sexualidade, que a impeça de usar qualquer método contraceptivo ou que a force ao matrimônio, à gravidez, ao aborto ou à prostituição, mediante coação, chantagem, suborno ou manipulação; ou que limite ou anule o exercício de seus direitos sexuais e reprodutivos.

IV. Violência patrimonial: entendida como qualquer conduta que configure retenção, subtração, destruição parcial ou total de seus objetos, instrumentos de trabalho, documentos pessoais, bens, valores e direitos ou recursos econômicos, incluindo os destinados a satisfazer suas necessidades.

V. Violência moral: entendida como qualquer conduta que ofenda sua integridade ou saúde corporal.




Estão corretas apenas as afirmativas  
 - Alternativas
A
I, III e IV.
B
II, III e V.
C
II, III e IV.
D
I, II, III e V.
E
I, III, IV e V."
2;1;0;"A Lei nº 11.340 de 2006, conhecida como Lei Maria da Penha, traz, no artigo 12, que em todos os casos de violência doméstica e familiar contra a mulher, feito o registro da ocorrência, deverá a autoridade policial adotar, de imediato, o seguinte procedimento, sem prejuízo daqueles previstos no Código de Processo Penal: - Alternativas
A
fornecer transporte para a ofendida e seus dependentes para abrigo ou local seguro, quando houver risco de vida.
B
ouvir o agressor e as testemunhas.
C
remeter expediente apartado ao juiz com o pedido da ofendida, para a concessão de medidas protetivas do lar, domicílio ou local de convivência com a ofendida.
D
afastamento do lar, domicílio ou local de convivência com a ofendida.
E
prestação de alimentos provisionais ou provisórios."
9;1;1;"Com relação às medidas protetivas de urgência e equipe de atendimento multidisciplinar dos Juizados de Violência Doméstica e Familiar contra a Mulher, com base na Lei nº 11.340/06, é correto afirmar que - Alternativas
A
o juiz poderá determinar a suspensão das procurações conferidas pela ofendida ao agressor, para a proteção patrimonial dos bens da sociedade conjugal ou daqueles de propriedade particular da mulher, devendo a ofendida levar a decisão ao cartório para que se produza os efeitos.
B
é competência da equipe multidisciplinar o desenvolvimento de trabalhos de orientação voltados para a ofendida, bem como o fornecimento de subsídios e orientações ao Juiz e ao Ministério Público mediante laudos, desde que anteriores à audiência, sendo vedado o fornecimento de informações durante a sua realização.
C
poderá o juiz, a requerimento do Ministério Público ou a pedido da ofendida, conceder novas medidas protetivas de urgência ou rever aquelas já concedidas, se entender necessário à proteção da ofendida, de seus familiares e de seu patrimônio, ouvido o ofendido.
D
o juiz terá o prazo de 48 (quarenta e oito) horas, recebido o expediente com o pedido da ofendida, para decidir sobre as medidas protetivas de urgência, determinar o encaminhamento da ofendida ao órgão de assistência judiciária, quando for o caso, e comunicar ao Ministério Público para que adote as providências cabíveis."
16;1;2;"Segundo a Lei nº 11.340/2006 (Lei Maria da Penha), no que concerne ao Título IV – Dos Procedimentos, Capítulo II – Das Medidas Protetivas de Urgência, Seção I – Disposições Gerais, assinale a alternativa correta. - Alternativas
A
Recebido o expediente com o pedido da ofendida, caberá ao juiz, no prazo de 24 (vinte e quatro) horas: conhecer do expediente e do pedido e decidir sobre as medidas protetivas de urgência; determinar o encaminhamento da ofendida ao órgão de assistência judiciária, quando for o caso; comunicar ao Ministério Público para que adote as providências cabíveis.
B
As medidas protetivas de urgência poderão ser concedidas de imediato, independentemente de audiência das partes e de manifestação do Ministério Público, devendo este ser prontamente comunicado.
C
As medidas protetivas de urgência poderão ser concedidas pelo juiz, a requerimento do Ministério Público, exclusivamente.
D
É facultativo notificar a ofendida dos atos processuais relativos ao agressor, no que se refere ao ingresso e à saída da prisão."
3;2;0;"A lei Maria da Penha (Lei nº 11.340, de 7 de agosto de 2006) é um marco na garantia de direitos para as mulheres no Brasil, pois cria mecanismos para prevenir e coibir a violência doméstica e familiar contra a mulher, define medidas integradas de prevenção e de assistência à mulher em situação de violência doméstica e familiar, bem como medidas protetivas de urgência à mulher e contra o agressor, dentre outros. Sobre a Lei Maria da Penha (Lei nº 11.340/2006), analise os itens a seguir:

I- Configura violência doméstica e familiar contra a mulher qualquer ação ou omissão baseada no gênero que lhe cause morte, lesão, sofrimento físico, sexual ou psicológico e dano moral ou patrimonial, ocorridas apenas no âmbito da unidade doméstica.
II- A violência patrimonial contra mulher é entendida como qualquer conduta que configure retenção, subtração, destruição parcial ou total de seus objetos, instrumentos de trabalho, documentos pessoais, bens, valores e direitos ou recursos econômicos, incluindo os destinados a satisfazer suas necessidades.
III- Nos casos de violência doméstica e familiar contra a mulher, feito o registro da ocorrência, a autoridade policial deverá remeter, no prazo 5 (cinco) dias, expediente apartado ao juiz com o pedido da ofendida, para a concessão de medidas protetivas de urgência.

Está (ão) CORRETA(s):
 - Alternativas
A
II e III, apenas.
B
II, apenas.
C
III, apenas. 
D
I, apenas.
E
I, II e III. "
