;index;variable;value
0;-1;0;"O Conselho Nacional de Assistência Social - CNAS, por meio da Resolução nº 109, de 11 de novembro de 2009, regulamentou a Tipificação Nacional dos Serviços Socioassistenciais. Essa normativa possibilitou a padronização em todo o território nacional dos serviços de proteção social básica e especial. Sobre os conteúdos padronizados, avalie as alternativas a seguir e marque a CORRETA.




I. O Serviço de Proteção e Atendimento Integral à Família - Paif consiste no trabalho social com famílias, de caráter continuado, com a finalidade de fortalecer a função protetiva das famílias, prevenir a ruptura dos seus vínculos, promover seu acesso e usufruto a direitos e contribuir na melhoria de sua qualidade de vida, devendo ser ofertado exclusivamente nos Centros de Referência de Assistência Social – CRAS.

II. O Serviço de Convivência e Fortalecimento de Vínculos destina-se a adolescentes em cumprimento de medidas socioeducativas e suas famílias, devendo ser executado nos Centros Especializados de Assistência Social – CREAS.

III. O Serviço de Proteção e Atendimento Especializado a Famílias e Indivíduos – PAEFI destina-se ao acompanhamento de famílias com um ou mais de seus membros em situação de ameaça ou violação de direitos.

IV. A Abordagem Social é um serviço desenvolvido nos Centros de Referência de Assistência Social –CRAS, para a busca ativa, cujo objetivo é identificar e inserir famílias e indivíduos em situação e vulnerabilidade social nos serviços e benefícios socioassistenciais. - Alternativas
A
Somente a alternativa I está correta.
B
Somente as alternativas II e IV estão corretas.
C
Somente as alternativas III e IV estão corretas.
D
Todas as alternativas estão corretas.
E
Somente as alternativas I e III estão corretas."
53;-1;1;"A Lei Orgânica de Assistência Social estabelece que a organização da assistência social tem como base alguns princípios e diretrizes, assinale a alternativa que apresenta uma diretriz: - Alternativas
A
Descentralização político-administrativa para os Estados, o Distrito Federal e os Municípios, e comando único das ações na esfera de governo municipal.
B
Participação da população, por meio de organizações representativas, na formulação das políticas e no controle das ações em todos os níveis;
C
Primazia da responsabilidade do Estado na condução da política de saúde em cada esfera de governo.
D
Divulgação ampla dos benefícios, serviços, programas e projetos assistenciais, bem como dos recursos oferecidos pelo Poder Público e dos critérios para sua concessão."
106;-1;2;"Diante do avanço do ideário neoliberal e da retração do Estado na oferta das políticas sociais, faz‐se necessária a defesa intransigente dos direitos sociais previstos na lei. Para isso, é importante conhecer, com profundidade, as diretrizes que orientam as políticas sociais. De acordo com a Lei Orgânica da Assistência Social (LOAS), assinale a alternativa correta. - Alternativas
A
As ações ofertadas no âmbito do Sistema Único de Assistência Social (SUAS) têm por objetivo a proteção à família, à pessoa com deficiência e às pessoas em situação de vulnerabilidade social e, como base de organização, a matricialidade familiar.
B
A pessoa com deficiência e o idoso com 65 anos ou mais de idade que comprovem não possuir meios de prover a própria manutenção nem de tê‐la provida por sua família possuem o direito de receber o benefício de prestação continuada, desde que a renda mensal per capita seja inferior a 1/3 do salário‐mínimo.
C
A aprovação da Política Nacional de Assistência Social é de competência da Administração Pública, em suas diferentes esferas de poder: municipal; estadual; distrital; e nacional.
D
Os benefícios eventuais são prestados aos cidadãos e às famílias em virtude de nascimento, morte, situações de vulnerabilidade temporária e de calamidade pública.
E
A assistência social organiza‐se por meio da proteção social básica, da proteção social especial, da proteção social de elevada complexidade e da proteção social excepcional."
1;0;0;"A partir da Constituição Federal de 1988, regulamentada pela Lei nº 8.742, de 07 de dezembro de 1993, nominada Lei Orgânica da Assistência Social (LOAS), novos conceitos e modelos de assistência social passaram a vigorar no Brasil. Assim, a assistência social se coloca como direito de cidadania, para garantir o atendimento às necessidades básicas das pessoas fragilizadas pela pobreza e pela exclusão social a todos, que dela necessitarem, e sem contribuição prévia a provisão dessa proteção. A Política de Assistência Social vai permitir a padronização, melhoria e ampliação dos serviços de assistência no país, respeitando as diferenças locais. A partir do exposto, analise as assertivas a seguir.
I. A Lei Orgânica da Assistência Social (LOAS) dispõe sobre a organização da assistência social. É o instrumento legal que regulamenta o que está escrito na Constituição Federal, nos artigos 203 e 204, que definem e garantem os direitos à assistência social. Esta lei institui benefícios, serviços, programas e projetos destinados ao enfrentamento da exclusão social dos segmentos mais vulneráveis.
II. O núcleo ou foco principal dos serviços assistenciais, é constituído pelas famílias vulnerabilizadas pela pobreza e exclusão social: enfatiza-se o grupo familiar e a comunidade por serem espaços sociais naturais de proteção e inclusão social sendo que a ação se valoriza a partir da implementação de ações e serviços intersetoriais. Estas ações e serviços intersetoriais devem ter objetivos e desenvolver processos mais ambiciosos de proteção e alteração da qualidade de vida do grupo familiar e não apenas de um ou outro de seus membros.
III. A assistência social é dever do Estado e direito do cidadão e se constitui em política pública e, como tal, faz parte da seguridade social (juntamente com a saúde e pela previdência social). Neste modelo, prevalece a premissa de que se protege para promover, para fazer a pessoa crescer e ter autonomia; que deve ser ofertado o mínimo básico para que o indivíduo inicie um processo de promoção humana, de crescimento e de valorização do indivíduo.
IV. A centralidade de ação da política de assistência social é a família, vista como elo integrador das ações e como foco de programas específicos. Todos os programas que visam à inserção e à reinserção familiar são prioritários na política de assistência social.
V. O Estado brasileiro, isto é, o poder público, no âmbito federal, tem o dever de formular políticas e realizar ações e atividades que protejam e promovam aquela parcela da população que se encontra em situação de vulnerabilidade, permitindo a esta parcela alcançar uma situação de plena cidadania.
É correto apenas o que se afirma em:
 - Alternativas
A
I e II.
B
III e IV.
C
III, IV e V.
D
I, II, III e IV."
54;0;1;"0. Sobre as políticas públicas de assistência social, verifique as assertivas e assinale a INCORRETA. - Alternativas
A
A Constituição Federal de 1988 traz uma nova concepção para a Assistência Social brasileira. Incluída no âmbito da Seguridade Social e regulamentada pela Lei Orgânica da Assistência Social, como política social pública, a assistência social inicia seu trânsito para um campo novo: o campo dos direitos, da universalização dos acessos e da responsabilidade estatal.
B
A proteção social deve garantir as seguintes seguranças: segurança de sobrevivência (de rendimento e de autonomia); de acolhida; de convívio ou vivência familiar.
C
A assistência social, direito do cidadão e dever do Estado, é Política de Seguridade Social contributiva que provê os mínimos sociais, realizada através de um conjunto integrado de iniciativa pública e da sociedade, para garantir o atendimento às necessidades básicas.
D
A Lei Orgânica da Assistência Social cria uma nova matriz para a política de assistência social, inserindo-a no sistema do bem-estar social brasileiro concebido como campo do Seguridade Social, configurando o triângulo juntamente com a saúde e a previdência social."
107;0;2;"Com base no disposto na Política Nacional de Assistência Social (PNAS) acerca da Política Pública de Assistência Social, assinale a alternativa incorreta. - Alternativas
A
De acordo com o artigo primeiro da LOAS, “a Assistência Social, direito do cidadão e dever do Estado, é Política de Seguridade Social não contributiva, que provê os mínimos sociais, realizada por meio de um conjunto integrado de iniciativa pública e da sociedade, para garantir o atendimento às necessidades básicas”. 
B
A Constituição Federal de 1988 traz uma nova concepção para a Assistência Social brasileira. Incluída no âmbito da Seguridade Social e regulamentada pela Lei Orgânica da Assistência Social – LOAS em dezembro de 1993, como política social pública, a Assistência Social inicia seu trânsito para um campo novo: o campo dos direitos, da universalização dos acessos e da responsabilidade estatal. 
C
A LOAS cria uma nova matriz para a política de Assistência Social, inserindo-a no sistema do bem-estar social brasileiro concebido como campo da Seguridade Social, configurando o quarteto de políticas públicas de seguridade juntamente com a saúde, a educação e a segurança pública.
D
Marcada pelo caráter civilizatório presente na consagração de direitos sociais, a LOAS exige que as provisões assistenciais sejam prioritariamente pensadas no âmbito das garantias de cidadania sob vigilância do Estado, cabendo a este a universalização da cobertura e a garantia de direitos e acesso para serviços, programas e projetos sob sua responsabilidade."
2;1;0;"As proteções sociais, básica e especial, serão ofertadas precipuamente no Centro de Referência de Assistência Social (CRAS) e no Centro de Referência Especializado de Assistência Social (CREAS), respectivamente, e pelas entidades sem fins lucrativos de assistência social, sendo tipificados da seguinte forma: - Alternativas
A
Os recursos do cofinanciamento do SUAS, destinados à execução das ações continuadas de assistência social, não poderão ser aplicados no pagamento dos profissionais que integrarem as equipes de referência, responsáveis pela organização e oferta daquelas ações, conforme percentual apresentado pelo Ministério do Desenvolvimento Social e Combate à Fome e aprovado pelo CNAS.
B
As instalações dos CRAS e dos CREAS devem ser compatíveis com os serviços neles ofertados, com espaços para trabalhos em grupo e ambientes específicos para recepção e atendimento reservado das famílias e indivíduos, sem necessidade de acessibilidade às pessoas idosas e com deficiência.
C
Os CRAS e os CREAS são unidades conveniadas instituídas no âmbito do SUAS, que possuem interface com as demais políticas públicas e articulam, coordenam e ofertam os serviços, programas, projetos e benefícios da assistência social.
D
O CREAS é a unidade pública de abrangência e gestão municipal, estadual ou regional, destinada à prestação de serviços a indivíduos e famílias que se encontram em situação de risco pessoal ou social, por violação de direitos ou contingência, que demandam intervenções especializadas da proteção social especial.
E
O CRAS é a unidade pública estadual, de base territorial, localizada em áreas com maiores índices de vulnerabilidade e risco social, destinada à articulação dos serviços socioassistenciais no seu território de abrangência e à prestação de serviços, programas e projetos socioassistenciais de proteção social básica às famílias."
55;1;1;"Referente ao Cras e Creas é INCORRETO afirmar: - Alternativas
A
As proteções sociais, básica e especial, serão ofertadas precipuamente no Centro de Referência de Assistência Social (Cras) e no Centro de Referência Especializado de Assistência Social (Creas), respectivamente, e pelas entidades sem fins lucrativos de assistência social estabelecidas por lei.
B
O Cras é a unidade pública municipal ou estadual, de base territorial, localizada em áreas com maiores índices de vulnerabilidade e risco social, destinada à articulação dos serviços socioassistenciais no seu território de abrangência e à prestação de serviços, programas e projetos socioassistenciais de proteção social básica às famílias.
C
O Creas é a unidade pública de abrangência e gestão municipal, estadual ou regional, destinada à prestação de serviços a indivíduos e famílias que se encontram em situação de risco pessoal ou social, por violação de direitos ou contingência, que demandam intervenções especializadas da proteção social especial.
D
Os Cras e os Creas são unidades públicas estatais instituídas no âmbito do Suas, que possuem interface com as demais políticas públicas e articulam, coordenam e ofertam os serviços, programas, projetos e benefícios da assistência social.
E
As instalações dos Cras e dos Creas devem ser compatíveis com os serviços neles ofertados, com espaços para trabalhos em grupo e ambientes específicos para recepção e atendimento reservado das famílias e indivíduos, assegurada a acessibilidade às pessoas idosas e com deficiência."
108;1;2;"De acordo com a LOAS (Lei Orgânica da Assistência Social – Lei nº 8.742/93), o CRAS e o CREAS são unidades públicas estatais instituídas no âmbito do SUAS, que possuem interface com as demais políticas públicas e articulam, coordenam e ofertam os serviços, programas, projetos e benefícios da assistência social. Sobre o CRAS e o CREAS, analise.




I. As proteções sociais, básica e especial, serão ofertadas precipuamente no Centro de Referência de Assistência Social (CRAS) e no Centro de Referência Especializado de Assistência Social (CREAS), respectivamente, e pelas entidades sem fins lucrativos de assistência social tratadas na LOAS (Lei Orgânica da Assistência Social – Lei nº 8.742/93).

II. O CRAS é a unidade pública federal, de base territorial, localizada em áreas com índices de vulnerabilidade e risco social intermediários, destinada à articulação dos serviços socioassistenciais no seu território de abrangência e à prestação de serviços, programas e projetos socioassistenciais de proteção social especial às famílias.

III. O CREAS é a unidade pública de abrangência e gestão municipal, estadual ou regional, destinada à prestação de serviços a indivíduos e famílias que se encontram em situação de risco pessoal ou social, por violação de direitos ou contingência, que demandam intervenções básicas da proteção social básica.

IV. As instalações dos CRAS e dos CREAS devem ser compatíveis com os serviços neles ofertados, com espaços para trabalhos em grupo e ambientes específicos para recepção e atendimento reservado das famílias e indivíduos, assegurada a acessibilidade às pessoas idosas e com deficiência.




Estão corretas apenas as afirmativas - Alternativas
A
I e IV.
B
II e III.
C
I, II e III.
D
I, II e IV.
E
II, III e IV."
3;2;0;"A Lei Orgânica de Assistência Social (LOAS) estabelece como objetivos a proteção social, a vigilância socioassistencial e a defesa de direitos. Para a garantia de alcance de tais objetivos, a LOAS (art. 5º ) define como base de sua organização as seguintes diretrizes: descentralização político-administrativa para os Estados, o Distrito Federal e os Municípios, e comando único das ações em cada esfera de governo; participação da população, por meio de organizações representativas, na formulação das políticas e no controle das ações em todos os níveis; e na condução da política de assistência social em cada esfera de governo, a primazia da responsabilidade - Alternativas
A
do Estado.
B
das Entidades.
C
dos Conselhos.
D
dos Usuários.
E
da Comunidade."
