;info;enunciado;options;ano;banca;orgao;prova;articles_mentioned_enunciado;articles_mentioned_options;all_articles_mentioned;articles_numbers;paragraphs_mentioned;chapters_mentioned;titles_mentioned;incisos_mentioned;job;is_social_work;has_articles
0;Ano: 2022 Banca: CESPE / CEBRASPE Órgão: SEE-PE Prova: CESPE / CEBRASPE - 2022 - SEE-PE - Analista em Gestão Educacional - Serviço Social;"Julgue o próximo item, referentes às Diretrizes Curriculares para os Cursos de Serviço Social.




Os componentes curriculares do curso de serviço social são determinantes para a efetivação do estágio supervisionado e o desenvolvimento do trabalho de conclusão de curso. 
";"Alternativas
Certo
Errado";2022;CESPE;SEE-PE ; CESPE / CEBRASPE - 2022 - SEE-PE - Analista em Gestão Educacional - Serviço Social;;;;;;;;;Analista em Gestão Educacional Serviço Social;1.0;0.0
1;Ano: 2022 Banca: CESPE / CEBRASPE Órgão: SEE-PE Prova: CESPE / CEBRASPE - 2022 - SEE-PE - Analista em Gestão Educacional - Serviço Social;"Julgue o próximo item, no que tange ao estudo social, à perícia social, ao relatório social, ao laudo social e ao parecer social. 




São indissociáveis os objetivos da avaliação profissional para a emissão de relatório e laudo, o projeto ético-político do serviço social e a direção teórico-metodológica do agir adotada no processo. 
";"Alternativas
Certo
Errado";2022;CESPE;SEE-PE ; CESPE / CEBRASPE - 2022 - SEE-PE - Analista em Gestão Educacional - Serviço Social;;;;;;;;;Analista em Gestão Educacional Serviço Social;1.0;0.0
2;Ano: 2022 Banca: CESPE / CEBRASPE Órgão: SEE-PE Prova: CESPE / CEBRASPE - 2022 - SEE-PE - Analista em Gestão Educacional - Serviço Social;"Considerando concepções e debates acerca de instrumentos e técnicas no serviço social, julgue o item subsequente. 




A observância das condicionalidades delineadas pelo espaço socioinstitucional e a análise crítica para além do manuseio elementar dos instrumentos e técnicas possibilitam a apreensão da articulação indissociável entre a teoria e a prática e favorecem o processo de formação para garantir um perfil de assistentes sociais em consonância com o projeto ético-político da categoria. 
";"Alternativas
Certo
Errado";2022;CESPE;SEE-PE ; CESPE / CEBRASPE - 2022 - SEE-PE - Analista em Gestão Educacional - Serviço Social;;;;;;;;;Analista em Gestão Educacional Serviço Social;1.0;0.0
3;Ano: 2008 Banca: FCC Órgão: TRT - 18ª Região (GO) Prova: FCC - 2008 - TRT - 18ª Região (GO) - Analista Judiciário - Serviço Social;Há uma particularidade histórica na concepção e no modo de pesquisar no âmbito do exercício profissional do Assistente Social. A pesquisa é concebida como;"Alternativas
A
interlocução da teoria, desconsiderando a interação com os sujeitos.
B
simples trajetória de um método a ser seguido, com fins a serem alcançados e, posteriormente, ava- liados.
C
processo investigativo em que o documento final a ser produzido desconsidera o loco social em que foi realizada.
D
constitutiva de objetividade, desqualificando a subjetividade e o social.
E
mediação constitutiva da identidade e do exercício profissional do Assistente Social, inerente, portanto, ao projeto ético-político da profissão.";2008;FCC;TRT - 18ª Região (GO) ; FCC - 2008 - TRT - 18ª Região (GO) - Analista Judiciário - Serviço Social;;;;;;;;;Analista Judiciário Serviço Social;1.0;0.0
4;Ano: 2010 Banca: CESPE / CEBRASPE Órgão: Banco da Amazônia Prova: CESPE - 2010 - Banco da Amazônia - Técnico Científico - Serviço Social;Nesse código, considera-se a crítica radical à ordem social vigente, a da sociedade do capital, como um dos elementos constitutivos do projeto ético-político profissional.;"Alternativas
Certo
Errado";2010;CESPE;Banco da Amazônia ; CESPE - 2010 - Banco da Amazônia - Técnico Científico - Serviço Social;;;;;;;;;Técnico Científico Serviço Social;1.0;0.0
5;Ano: 2010 Banca: FCC Órgão: TJ-PI Prova: FCC - 2010 - TJ-PI - Analista Judiciário - Assistência Social;"O assistente social necessita planejar o seu trabalho e estar preparado para as inúmeras demandas que surgem no cotidiano, tanto em quantidade como em qualidade e forma. Para tanto, a partir dos pressupostos básicos do projeto ético-político, cabe a ele elaborar um projeto de trabalho que
";"Alternativas
A
vislumbre soluções focadas apenas na requisição da instituição, cujas demandas apresentadas já expressam as necessidades postas pelos usuários.

B
identifique o seu trabalho naquele espaço sócio-ocupacional, reconhecendo o projeto institucional como projeto profissional.

C
para além da formulação técnica e precisa, deve constituir instrumento potente de impacto sobre a realidade, e seu produto deve apontar a transformação dessa realidade.

D
siga os moldes de um manual a ser seguido, estabelecendo rigorosamente as etapas a serem cumpridas sem alterações no percurso da ação.

E
não seja publicizado, pois no decorrer de sua ação mudanças podem ocorrer desqualificando o fazer profissional.";2010;FCC;TJ-PI ; FCC - 2010 - TJ-PI - Analista Judiciário - Assistência Social;;;;;;;;;Analista Judiciário Assistência Social;1.0;0.0
6;Ano: 2010 Banca: CESPE / CEBRASPE Órgão: DPU Prova: CESPE - 2010 - DPU - Assistente Social;"Acerca do projeto ético-político do serviço social que fundamenta o exercício profissional dos assistentes sociais, assinale a opção correta.
";"Alternativas
A
A construção do projeto profissional a partir das determinações sócio-históricas desvincula-se da reconceituação do serviço social.
B
Os projetos profissionais, por comportarem valores e elementos da autoimagem profissional, são totalmente desvinculados dos projetos societários.
C
No projeto ético-político hegemônico, estão presentes concepções sobre o direito à diferença e às formações identitárias, bem como sua relação intrínseca com as lutas igualitárias.
D
Os projetos ético-políticos profissionais limitam-se a normatizações morais.
E
A competência requisitada impõe o uso de instrumental, sem recorrer a mediações no processo de intervenção.";2010;CESPE;DPU ; CESPE - 2010 - DPU - Assistente Social;;;;;;;;;Assistente Social;1.0;0.0
7;Ano: 2010 Banca: CESPE / CEBRASPE Órgão: MS Prova: CESPE - 2010 - MS - Assistente Social;A dimensão ética do projeto profissional pressupõe normatizações, como as expressas no código de ética das profissões.;"Alternativas
Certo
Errado";2010;CESPE;MS ; CESPE - 2010 - MS - Assistente Social;;;;;;;;;Assistente Social;1.0;0.0
8;Ano: 2010 Banca: CESPE / CEBRASPE Órgão: MS Prova: CESPE - 2010 - MS - Assistente Social;A dimensão política dos projetos profissionais deve-se ao fato de eles estarem articulados a projetos societários específicos, que envolvem apenas o conjunto dos profissionais de determinada categoria.;"Alternativas
Certo
Errado";2010;CESPE;MS ; CESPE - 2010 - MS - Assistente Social;;;;;;;;;Assistente Social;1.0;0.0
9;Ano: 2010 Banca: CESPE / CEBRASPE Órgão: MS Prova: CESPE - 2010 - MS - Assistente Social;O fato de o referido projeto vincular-se a um projeto societário, que propõe a construção de uma nova ordem social, exime a categoria profissional da necessidade de uma visão histórica processual da realidade capitalista.;"Alternativas
Certo
Errado";2010;CESPE;MS ; CESPE - 2010 - MS - Assistente Social;;;;;;;;;Assistente Social;1.0;0.0
10;Ano: 2010 Banca: CESPE / CEBRASPE Órgão: MS Prova: CESPE - 2010 - MS - Assistente Social;Ao adotar a liberdade como valor central, o projeto éticopolítico do serviço social assume o compromisso com a autonomia, a emancipação e a plena expansão dos indivíduos sociais.;"Alternativas
Certo
Errado";2010;CESPE;MS ; CESPE - 2010 - MS - Assistente Social;;;;;;;;;Assistente Social;1.0;0.0
11;Ano: 2010 Banca: CESPE / CEBRASPE Órgão: MS Prova: CESPE - 2010 - MS - Assistente Social;O assistente social deve compreender a supervisão profissional como assessoria, tendo em vista que ambas estão em consonância com o projeto ético-político hegemônico da profissão, visando adaptar o trabalho da equipe ou do profissional aos interesses institucionais.;"Alternativas
Certo
Errado";2010;CESPE;MS ; CESPE - 2010 - MS - Assistente Social;;;;;;;;;Assistente Social;1.0;0.0
12;Ano: 2010 Banca: CESPE / CEBRASPE Órgão: INCA Prova: CESPE - 2010 - INCA - Tecnologista Júnior - Assistência Social - Serviço Social;"A vinculação da ética profissional com os projetos societários define as estratégias a serem adotadas nos atendimentos das necessidades sociais, evidenciado na perspectiva ético-política hegemônica do serviço social nos dias atuais, ao adotar o paradigma da psicologização da questão social.
";"Alternativas
Certo
Errado";2010;CESPE;INCA ; CESPE - 2010 - INCA - Tecnologista Júnior - Assistência Social - Serviço Social;;;;;;;;;Tecnologista Júnior Assistência Social Serviço Social;1.0;0.0
13;Ano: 2011 Banca: CESPE / CEBRASPE Órgão: TJ-ES Prova: CESPE - 2011 - TJ-ES - Analista Judiciário - Serviço Social - Específicos;O acompanhamento e a orientação constituem estratégias de intervenção no âmbito do serviço social, pois são capazes de interferir na vida de indivíduos, grupos e famílias, e, se comprometidos com o atual projeto ético-político da profissão, contribuem para o fortalecimento da democracia, para o acesso a direitos e para a emancipação da população atendida pelo assistente social.;"Alternativas
Certo
Errado";2011;CESPE;TJ-ES ; CESPE - 2011 - TJ-ES - Analista Judiciário - Serviço Social - Específicos;;;;;;;;;Analista Judiciário Serviço Social Específicos;1.0;0.0
14;Ano: 2011 Banca: CESPE / CEBRASPE Órgão: Correios Prova: CESPE - 2011 - Correios - Analista de Correios - Assistente Social;"Acerca do atual projeto ético-político do serviço social, julgue os itens seguintes.

O projeto ético, político e profissional do serviço social implica prioritariamente compromisso com a competência tecnocrática, correspondendo ao permitido e ao autorizado pelas instâncias dos organismos empregadores.
";"Alternativas
Certo
Errado";2011;CESPE;Correios ; CESPE - 2011 - Correios - Analista de Correios - Assistente Social;;;;;;;;;Analista de Assistente Social;1.0;0.0
15;Ano: 2011 Banca: CESPE / CEBRASPE Órgão: Correios Prova: CESPE - 2011 - Correios - Analista de Correios - Assistente Social;"Acerca do atual projeto ético-político do serviço social, julgue os itens seguintes.

Os princípios éticos norteadores do projeto profissional do serviço social são instituídos no ideário da pós-modernidade e induz a uma ação profissional voltada aos procedimentos burocráticos basilares das relações capitalistas contemporâneas.
";"Alternativas
Certo
Errado";2011;CESPE;Correios ; CESPE - 2011 - Correios - Analista de Correios - Assistente Social;;;;;;;;;Analista de Assistente Social;1.0;0.0
16;Ano: 2011 Banca: CESPE / CEBRASPE Órgão: Correios Prova: CESPE - 2011 - Correios - Analista de Correios - Assistente Social;"Considerando as diferentes concepções de interdisciplinaridade, julgue os itens subsequentes.

No atual projeto ético-político do serviço social, constam recomendações ao assistente social inserido em equipe interdisciplinar nas empresas relativas à necessidade da dispensa de investigações teórico-práticas para a condução dos trabalhos, em razão de o espaço organizacional ser isento de confiabilidade.
";"Alternativas
Certo
Errado";2011;CESPE;Correios ; CESPE - 2011 - Correios - Analista de Correios - Assistente Social;;;;;;;;;Analista de Assistente Social;1.0;0.0
17;Ano: 2010 Banca: CESPE / CEBRASPE Órgão: ABIN Prova: CESPE - 2010 - ABIN - Oficial Técnico de Inteligência – Área de Serviço Social;"Julgue os itens que se seguem, relacionados aos valores, aos princípios e à ética profissional no serviço social.

O projeto ético-político do serviço social brasileiro norteia-se por escolhas teóricas, éticas e políticas que se pautam na expansão dos direitos sociais por meio da universalização dos bens e serviços.";"Alternativas
Certo
Errado";2010;CESPE;ABIN ; CESPE - 2010 - ABIN - Oficial Técnico de Inteligência – Área de Serviço Social;;;;;;;;;Oficial Técnico de Inteligência – Área de Serviço Social;1.0;0.0
18;Ano: 2010 Banca: CESPE / CEBRASPE Órgão: ABIN Prova: CESPE - 2010 - ABIN - Oficial Técnico de Inteligência – Área de Serviço Social;"Julgue os itens que se seguem, relacionados aos valores, aos princípios e à ética profissional no serviço social.

Os elementos éticos de um projeto profissional restringem-se a normatizações morais e à prescrição de direitos e deveres.";"Alternativas
Certo
Errado";2010;CESPE;ABIN ; CESPE - 2010 - ABIN - Oficial Técnico de Inteligência – Área de Serviço Social;;;;;;;;;Oficial Técnico de Inteligência – Área de Serviço Social;1.0;0.0
19;Ano: 2010 Banca: FUNCAB Órgão: IDAF-ES Prova: FUNCAB - 2010 - IDAF-ES - Assistente Social;"OServiço Social possui umprojeto profissional coletivo, denominado projeto ético-político, que foi construído pela categoria a partir das décadas de 1970–1980. Este projeto expressa o compromisso da categoria coma:
";"Alternativas
A
manutenção da ordem social instituída de forma hegemônica, que se consolida a partir do atual Código de Ética do Assistente Social, de 1986.
B
reestruturação produtiva e a reforma do Estado, de forma a consolidar as estruturas sociais e manter a coesão social de acordo comas Leis eResoluções do CFESS.
C
construção de uma nova ordem societária, mais justa, democrática e garantidora de direitos universais, expressa no Código de Ética Profissional vigente, de 1993
D
estruturação societária hegemônica emprol da conformação de uma sociedade mais harmônica, que se confirma através da Lei Orgânica da Assistência Social e do Código de Ética Profissional.
E
ajustamento psicossocial da população, que reafirme as ações instituídas e reestruturantes de acordo como Código de Ética profissional e a LOAS.";2010;FUNCAB;IDAF-ES ; FUNCAB - 2010 - IDAF-ES - Assistente Social;;;;;;;;;Assistente Social;1.0;0.0
20;Ano: 2011 Banca: CESPE / CEBRASPE Órgão: EBC Prova: CESPE - 2011 - EBC - Analista - Serviço Social;"O projeto profissional do serviço social caracteriza-se pela perspectiva corporativa, voltada para a autodefesa dos interesses específicos e imediatos da categoria profissional.
";"Alternativas
Certo
Errado";2011;CESPE;EBC ; CESPE - 2011 - EBC - Analista - Serviço Social;;;;;;;;;Analista Serviço Social;1.0;0.0
21;Ano: 2011 Banca: FCC Órgão: TRE-PE Prova: FCC - 2011 - TRE-PE - Analista Judiciário - Assistência Social;O assistente social, ao desenvolver sua prática profissional baseada no projeto ético-político, deverá pautar sua atuação;"Alternativas
A
reafirmando seus valores pessoais, que fazem parte de sua história e que deram base para sua formação profissional.
B
valorizando o pragmatismo, que deve ser o balizador para toda a práxis transformadora.
C
adotando uma postura investigativa desprovida de preconceitos.
D
detendo-se ao que já foi produzido nos estudos e pesquisas em geral, que já contém elementos exógenos suficientes para entender a realidade local.
E
adotando uma postura acrítica diante da conjuntura local, pois não cabe a ele alterá-la.";2011;FCC;TRE-PE ; FCC - 2011 - TRE-PE - Analista Judiciário - Assistência Social;;;;;;;;;Analista Judiciário Assistência Social;1.0;0.0
22;Ano: 2012 Banca: FCC Órgão: TJ-PE Prova: FCC - 2012 - TJ-PE - Analista Judiciário - Assistência Social;"O projeto ético-político do Serviço Social, quanto aos seus compromissos, compreende
";"Alternativas
A
o espaço democrático de construção coletiva que indica a coexistência de uma única concepção de pensamento crítico, que não permite o pluralismo de ideias no seu interior.
B
a vinculação a um projeto de transformação da sociedade, tendo em seu núcleo o reconhecimento da liberdade como valor ético central.
C
a produção de conhecimentos ligados aos pressupostos filosóficos cujo horizonte é a manutenção da ordem.
D
a direção social às ações profissionais que favorecem as posturas teóricas conservadoras.
E
o voluntarismo político-profissional para o qual basta a boa vontade e um ideal para se transformar a realidade.";2012;FCC;TJ-PE ; FCC - 2012 - TJ-PE - Analista Judiciário - Assistência Social;;;;;;;;;Analista Judiciário Assistência Social;1.0;0.0
23;Ano: 2012 Banca: FCC Órgão: TRT - 6ª Região (PE) Prova: FCC - 2012 - TRT - 6ª Região (PE) - Analista Judiciário - Serviço Social;"Nos anos 90, o serviço social caminhou de forma decisiva para a ruptura com sua matriz tradicional e construiu uma configuração marcada
";"Alternativas
A
pelo posicionamento a favor da neutralidade axiológica associada ao aprimoramento técnico, o que se constitui em um caminho mais curto para a eficiência, eficácia e efetividade social.
B
pela adoção de um projeto profissional vinculado a um projeto societário que se coloca notadamente contra a exploração e discriminação de qualquer natureza com a perspectiva de construção de uma nova sociedade.
C
pela influência sistêmica que permite a leitura organicista e integradora da realidade social.
D
pela adoção de uma tendência hegemônica construída sob os marcos da fenomenologia que concebe o conhecimento da realidade social em um trajeto dialético das partes para um todo
E
pelo redimensionamento do mundo do trabalho e a adoção do método compreensivo de inspiração weberiana.";2012;FCC;TRT - 6ª Região (PE) ; FCC - 2012 - TRT - 6ª Região (PE) - Analista Judiciário - Serviço Social;;;;;;;;;Analista Judiciário Serviço Social;1.0;0.0
24;Ano: 2012 Banca: FCC Órgão: TRT - 6ª Região (PE) Prova: FCC - 2012 - TRT - 6ª Região (PE) - Analista Judiciário - Serviço Social;"A atuação do assistente social no âmbito das instituições tem sido marcado pela dimensão interdisciplinar. Ao ser chamado para compor um grupo interdisciplinar que tem como responsabilidade a coordenação de processos de educação permanente, o profissional deve

I. compreender a educação permanente na perspectiva da gestão participativa e do projeto ético político profissional, melhorando o protagonismo dos sujeitos no cotidiano do trabalho.

II. compreender como uma estratégia que corrobora para as mudanças institucionais, incluindo o fluxo de informação e comunicação e, por conseguinte, as relações de trabalho.

III. concentrar-se na capacitação técnica para que haja mais eficiência no trabalho, sem, contudo, construir um arcabouço teórico que leve à indução teórico prática, pois cada dia mais a eficiência se mede pela capacidade de garantir a neutralidade instrumental.
";"Alternativas
A
Se estiver correto APENAS o que se afirma em I.
B
Se estiver correto APENAS o que se afirma em II.
C
Se estiver correto APENAS o que se afirma em III.
D
Se estiver correto APENAS o que se afirma em I e II.
E
Se estiver correto o que se afirma em I, II e III.";2012;FCC;TRT - 6ª Região (PE) ; FCC - 2012 - TRT - 6ª Região (PE) - Analista Judiciário - Serviço Social;;;;;;;;;Analista Judiciário Serviço Social;1.0;0.0
25;Ano: 2012 Banca: CESPE / CEBRASPE Órgão: MPE-PI Prova: CESPE - 2012 - MPE-PI - Analista Ministerial - Serviço Social;"O elemento constitutivo do projeto ético-político que se relaciona com a explicitação de princípios e valores ético-políticos materializa-se, entre outros aspectos, pela produção de conhecimentos no interior do serviço social.

";"Alternativas
Certo
Errado";2012;CESPE;MPE-PI ; CESPE - 2012 - MPE-PI - Analista Ministerial - Serviço Social;;;;;;;;;Analista Ministerial Serviço Social;1.0;0.0
26;Ano: 2012 Banca: CESPE / CEBRASPE Órgão: MPE-PI Prova: CESPE - 2012 - MPE-PI - Analista Ministerial - Serviço Social;"A atuação do assistente social em terapias individuais ou coletivas requer formação complementar e reconhecimento dos conselhos regionais de serviço social.

";"Alternativas
Certo
Errado";2012;CESPE;MPE-PI ; CESPE - 2012 - MPE-PI - Analista Ministerial - Serviço Social;;;;;;;;;Analista Ministerial Serviço Social;1.0;0.0
27;Ano: 2012 Banca: CESPE / CEBRASPE Órgão: MPE-PI Prova: CESPE - 2012 - MPE-PI - Analista Ministerial - Serviço Social;"O profissional que, no exercício de funções, atividades ou tarefas atribuídas ao assistente social, ocupe cargo de designação genérica está isento de registro no conselho regional de serviço social.

";"Alternativas
Certo
Errado";2012;CESPE;MPE-PI ; CESPE - 2012 - MPE-PI - Analista Ministerial - Serviço Social;;;;;;;;;Analista Ministerial Serviço Social;1.0;0.0
28;Ano: 2012 Banca: CESPE / CEBRASPE Órgão: MPE-PI Prova: CESPE - 2012 - MPE-PI - Analista Ministerial - Serviço Social;"A ética é um modo de ser prático-social que, para se objetivar, supõe a participação consciente e racional do indivíduo que dispõe de um grau relativo de liberdade, de autonomia, para avaliar, escolher, deliberar e projetar suas ações.

";"Alternativas
Certo
Errado";2012;CESPE;MPE-PI ; CESPE - 2012 - MPE-PI - Analista Ministerial - Serviço Social;;;;;;;;;Analista Ministerial Serviço Social;1.0;0.0
