;index;variable;value
0;-1;0;"O Serviço Social foi instituído na Previdência Social em 1944 e historicamente se consolida nesse espaço institucional como uma profissão comprometida com o atendimento de qualidade e defesa de direitos dos usuários. Muitas foram as mudanças implementadas no exercício profissional pela auto-organização dos assistentes sociais. Nas últimas décadas, segundo Prado e Duarte (2015), a gestão do INSS, “com o objetivo de diminuir os gastos públicos para favorecer cada vez mais o capital, provocou a alteração dos processos de trabalho, os quais se tornaram cada vez mais padronizados e controlados”. Apesar dessa conjuntura, os profissionais avançaram pela adoção do referencial teórico-metodológico crítico do Serviço Social. Assinale a alternativa que apresenta corretamente um efeito desse avanço. 
 - Alternativas
A
A atuação profissional passou a ser pensada como algo predeterminado, pois, ao se defrontar com a realidade, o profissional precisa ter o domínio técnico e instrumental suficiente para responder às mais variadas situações-problema que interferem no fazer profissional. 

B
O Serviço Social torna-se um processo pelo qual seus agentes, pela prática e autorrepresentação da autonomia dos seus valores ético-políticos e do respaldo legal de profissão regulamentada, se inserem em atividades interventivas cuja dinâmica, organização, recursos e objetivos são determinados sob seu controle.

C
No âmbito da Previdência Social, os assistentes sociais passam a referenciar o Serviço Social como prática profissional associada à eficiência e eficácia dos processos de trabalho realizados para o cumprimento das metas institucionais nas atividades de Avaliação Social do Benefício de Prestação Continuada (BPC), na Reabilitação Profissional, na Habilitação de Benefícios e na redução dos atendimentos diretos aos usuários. 

D
As atividades desempenhadas pelo Serviço Social na Previdência Social, a partir da adoção da Matriz Teórico-Metodológica do Serviço Social (BRASIL, 1994), concentram-se em reabilitação profissional e em projetos próprios de cada APS, objetivando cumprir as metas institucionais, impactar os indicadores da instituição e consequentemente a remuneração mensal dos trabalhadores.

E
O Serviço Social passa a ser compreendido como trabalho, ou seja, entende-se a ação profissional vinculada à sua realidade, considerando tanto os elementos internos – que correspondem ao desempenho profissional – quanto os externos – que se relacionam à realidade social na qual o profissional desempenha sua atividade e têm influência direta no exercício da profissão, superando a visão de prática profissional centrada em processos operacionais/técnicos, destituída da dimensão política.
"
13;-1;1;"A formulação de projetos que materializam o trabalho a ser desenvolvido pelos/as assistentes sociais é um dos grandes desafios vivenciados pela profissão ainda hoje. O/A assistente social deve identificar o que requer a intervenção profissional, bem como reconhecer de que forma essa intervenção irá responder às necessidades sociais que, transformadas em demandas, serão privilegiadas nos processos de trabalho nos quais a profissão é requerida. Considerando a formulação do projeto de intervenção profissional, considere as assertivas abaixo.




I. Há sempre uma margem de autonomia nos processos de trabalho em que os/as assistentes sociais estão envolvidos, o que lhes permite desenvolver atividades comprometidas com todos os interesses sociais presentes nos espaços sócio-ocupacionais.

II. É preciso destacar que, do ponto de vista jurídico-legal, os instrumentos fundamentais que dão o aporte para o projeto de intervenção profissional são: a Lei n° 8.662/1993, que regulamenta a profissão, o Código de Ética de 1993, que define as competências e os valores éticos norteadores do trabalho profissional, as Diretrizes Curriculares para o Curso de Serviço Social e todas as Legislações pertinentes às políticas de proteção social.

III. O trabalho do/da assistente social se coloca na tensão direta entre trabalho e capital, e caso esta relação não esteja clara, corre o risco de produzir um conhecimento e intervenção pragmáticos, descritivos, desconectados da sociedade e com as condições para a culpabilização individual de sujeitos, famílias e grupos sobre as mazelas produzidas pela sociedade capitalista.

IV. O projeto de trabalho deve compor as normas de regulação instituída, ser um elemento presente nas negociações, no espaço sócio-ocupacional.

V. Um elemento fundamental e essencial a todo projeto diz respeito à filiação teórica com a qual é construído o projeto de trabalho.




Está correto o que se afirma APENAS em  - Alternativas
A
I, II, III e IV.
B
I, III e IV.
C
II e IV.
D
II, III e V.
E
III, IV e V."
26;-1;2;"O Serviço Social é uma profissão essencialmente interventiva. Isso não significa, contudo, que o/a Assistente Social esgota sua intervenção profissional no pragmatismo. Nesse sentido, a formulação de projetos que materializarão o trabalho a ser desenvolvido se coloca como um desafio. Sobre a formulação de projeto de trabalho profissional, assinale o item incorreto: - Alternativas
A
Do ponto de vista jurídico-legal, os dois instrumentos fundamentais para elaboração de um projeto de trabalho profissional são a lei 8662/93 e o Código de Ética Profissional.
B
As propostas apresentadas pelo/a Assistente Social em seus projetos de trabalho devem se centrar apenas nas requisições institucionais.
C
O projeto profissional se configura tanto como instrumento para o trabalho do/a Assistente Social com outros/as profissionais, como pelo ponto de agregação da população demandatária.
D
A caracterização da instituição, dos/as usuários/as dos serviços disponibilizados pela instituição e a clarificação dos pressupostos teóricos que darão concretude ao trabalho do/a Assistente Social são elementos necessários para a elaboração do projeto de trabalho profissional.
E
O projeto ético-político profissional é materializado pela soma de todos os projetos de assistentes sociais, desenvolvidos nos distintos espaços sócio-ocupacionais em que se inserem esses/as profissionais."
1;0;0;"José Paulo Netto no texto: “A Construção do Projeto Ético-Político do Serviço Social” publicado em 2006 cita uma série de considerações sobre o projeto ético-politico do Serviço Social. Com base no pensamento do autor, analise as afirmativas abaixo, as quais mencionam o projeto ético-político do Serviço Social. I. O projeto ético-político do Serviço Social tem em seu núcleo o reconhecimento da liberdade como valor central. II. O projeto ético-político do Serviço Social também é um processo, em contínuo desdobramento. III. O projeto ético-político do Serviço Social possui uma estrutura básica que é inflexível. IV. O projeto ético-político do Serviço Social não guarda relação com o compromisso com a competência, que só pode ter como base o aperfeiçoamento intelectual do assistente social. V. O projeto ético-político do Serviço Social se vincula a um projeto societário que propõe a construção de uma nova ordem social. Estão corretas as afirmativas: - Alternativas
A
I, II e III
B
II, III e IV
C
I, II e V
D
III, IV e V
E
II, III e V"
14;0;1;"A respeito do Projeto Ético-Político do Serviço Social, assinale a alternativa correta. - Alternativas
A
O Projeto Ético-Político do Serviço Social é um processo em contínuos desdobramentos, flexível, contudo sem descaracterizar seus eixos fundamentais. Ele é comprometido com valores e princípios que têm em seu núcleo o reconhecimento da liberdade como possibilidade de escolher concretamente alternativas de vida, buscando o compromisso com a autonomia, a emancipação, a defesa da equidade, a socialização da política e da riqueza socialmente produzida e o pleno desenvolvimento de seus usuários.
B
É no bojo do processo de Reconceituação do Serviço Social que o pluralismo se institui e inicia a construção do que hoje chamamos de projeto ético-político da profissão.
C
A construção coletiva do projeto ético-político profissional aglutinou assistentes sociais de todos os segmentos e materializou-se no Código de Ética Profissional do Assistente Social, de 1993, na Lei Orgânica de Assistência Social (Loas), de 1993, e na proposta das Diretrizes Curriculares para a Formação Profissional em Serviço Social, de 1996.
D
A década de 1990 confere maturidade teórica ao Projeto Ético-Político Profissional do Serviço Social brasileiro que, no legado positivista e na tradição marxista, apresenta sua referência teórica contra-hegemônica.
E
O projeto ético-político de profissão é expressão de um momento histórico e fruto de um amplo movimento conservador da sociedade brasileira, com forte presença da Igreja, coroando esforços coletivos e a politização progressista da vanguarda da categoria."
27;0;2;"A respeito do projeto ético-político do serviço brasileiro, marque a afirmação VERDADEIRA.  - Alternativas
A
Constituem o projeto ético do serviço social: a produção de conhecimentos no interior do Serviço Social, as instâncias político organizativas da profissão e a dimensão jurídico política da profissão.
B
O projeto ético e político do serviço social foi construído corporativamente, voltado à defesa dos interesses dos assistentes sociais. 
C

Tem compromisso com a autonomia, a emancipação e a plena expansão dos indivíduos sociais, na medida em que está vinculado a um projeto societário que privilegia a classe dominante. 

D
Não há dúvidas de que o projeto ético‐político do Serviço Social brasileiro não está vinculado a um projeto de transformação da sociedade.
E
O projeto ético-político do serviço social tem em seu núcleo o reconhecimento da justiça social como valor ético central."
2;1;0;"Quanto às condições históricas latino-americanas e a suas relações com a formação profissional do serviço social brasileiro, assinale a alternativa incorreta. - Alternativas
A
O processo de colonização da América Latina encontra-se na origem histórica da questão social, que, ao adquirir características mais agudas e complexas ao longo da história do continente, impõe desafios ao serviço social nacional desde seu início.
B
O projeto de serviço social surgiu no Chile, nos anos 1920, e se expandiu na América Latina e no Caribe sob a égide das transformações capitalistas, com forte influência do pensamento europeu. Tal projeto, sob a mediação do Estado e da igreja católica, orientou os profissionais a atuar no sentido da construção de respostas adequadas aos interesses da classe dominante, no controle das relações sociais que subjugam e subalternizam a classe trabalhadora. 
C
A partir dos anos 1970, o projeto de formação profissional passou a apresentar avanços, com clara direção sociopolítica a processos emancipatórios. Nas décadas de 1980 e 1990, o projeto consolidou-se, por meio do alinhamento da profissão com a perspectiva histórica das classes subalternas, ancorado, principalmente, na matriz teórico-metodológica de tradição marxista. 
D
No período contemporâneo, diversos desafios se apresentam, a partir da orientação neoconservadora em âmbito mundial. Nesse contexto, faz-se necessário o fortalecimento do projeto de formação, sob o risco de ocorrerem retrocessos em conquistas teóricas, éticas e políticas que vêm orientando o projeto profissional de ruptura com o conservadorismo nas últimas décadas.
E
A experiência brasileira com as diretrizes curriculares aprovadas em 1996 indica uma forte incidência sobre o projeto de formação profissional orientado pelo projeto ético-político dos assistentes sociais. O processo de elaboração das diretrizes curriculares foi defendido e realizado pela Associação Brasileira de Ensino e Pesquisa em Serviço Social (ABEPSS), sem contar com a sustentação de outras entidades políticas da categoria, como, por exemplo, o Conselho Federal de Serviço Social e a Executiva Nacional de Estudantes de Serviço Social (Enesso)."
15;1;1;"O Projeto Ético-Político Profissional do Serviço Social brasileiro, fundamentado na teoria marxiana e na tradição marxista, é expresso através de instrumentos normativos, a saber: o Código de Ética Profissional de 1993, a Lei de Regulamentação da Profissão, as Diretrizes Curriculares dos Cursos de Serviço Social, dentre outros. É correto afirmar que: - Alternativas
A
O Projeto Ético-Político Profissional do Serviço Social brasileiro propõe a construção de uma agenda nacional entre os entes federativos.
B
A implementação do Projeto Ético-Político Profissional do Serviço Social brasileiro é opcional para os/as Assistentes Sociais que atuam na iniciativa privada.
C
A efetivação do Projeto Ético-Político Profissional do Serviço Social brasileiro depende unicamente da organização da categoria dos/as assistentes sociais.
D
O Projeto Ético-Político Profissional do Serviço Social brasileiro tem como foco a visibilidade da categoria profissional de Assistentes Sociais como profissionais qualificados para atuar na formulação e gestão das políticas públicas.
E
O Projeto Ético-Político Profissional do Serviço Social brasileiro implementado hoje é fruto do movimento de ruptura do conservadorismo e tradicionalismo do Serviço Social, também conhecido como Movimento de Reconceituação."
28;1;2;"“É no trânsito dos anos oitenta aos noventa do século XX que o projeto ético-político do Serviço Social no Brasil se configurou em sua estrutura básica. (…) Pode-se afirmar que este projeto ético-político, fundamentado teórica e metodologicamente, conquistou hegemonia no Serviço Social, no Brasil, na década de noventa do século XX.”

(Netto, José Paulo. A construção do projeto ético-político do Serviço Social. In: Serviço Social e Saúde: Formação e Trabalho Profissional. São Paulo: Cortez. 1999).

Sobre o projeto ético-político do Serviço Social, analise as afirmativas abaixo:

I – O projeto ético-político do Serviço Social tem em seu núcleo o reconhecimento da liberdade como valor central – a liberdade concebida historicamente, como possibilidade de escolha entre alternativas concretas; daí um compromisso com a autonomia, a emancipação e a plena expansão dos indivíduos sociais.

II - O projeto ético-político do Serviço Social se vincula a um projeto societário que propõe a manutenção da atual ordem social, sem exploração/dominação de classe, etnia e gênero.

III - O projeto ético-político do Serviço Social tem, como dimensão política, o posicionamento a favor da equidade e da justiça social, na perspectiva da universalização do acesso a bens e a serviços relativos às políticas e programas sociais; a ampliação e a consolidação da cidadania são explicitamente postas como garantia dos direitos civis, políticos e sociais das classes trabalhadoras.

IV - O projeto ético-político do Serviço Social prioriza uma nova relação com os usuários dos serviços oferecidos pelos assistentes sociais, por meio do compromisso com a qualidade dos serviços prestados à população.

Está correto o que se afirma em:
 - Alternativas
A
I, II e III
B
II, III e IV
C
I, III e IV
D
I, II, III e IV"
3;2;0;"Considerando o processo histórico do Serviço Social, a década de 80 foi marcada pela transformação da profissão resultando no fortalecimento da categoria, na regulamentação da profissão e em um novo Código de Ética. Em relação ao Código de Ética do Assistente Social de 1993 é correto afirmar: I. O Código de Ética de 1993 reafirma o protagonismo dos sujeitos sociais. II. O Código de Ética de 1993 defende um projeto profissional baseado na democracia, buscando a construção de uma nova ordem social. III. O Código de Ética de 1993 propõe o desenvolvimento de ações profissionais, baseadas exclusivamente no empirismo, vilipendiando a realidade das expressões sociais que se apresentam no cotidiano. IV. O Código de Ética de 1993, reafirma a ação do Assistente Social ao encontro dos direitos humanos, refutando a discriminação de gênero, classe social, etnia, nacionalidade, orientação sexual, religião, idade e condição física. - Alternativas
A
Apenas as alternativas I, III e IV estão corretas.
B
Apenas as alternativas I, II e III estão corretas.
C
Apenas as alternativas I e IV estão corretas.
D
Apenas as alternativas I, II e IV estão corretas."
