;index;variable;value
0;-1;0;"O Conselho Federal de Serviço Social (CFESS), Autarquia pública federal que, em conjunto com os Conselhos Regionais de Serviço Social (CRESS), tem como atribuição orientar, disciplinar, normatizar, fiscalizar e defender o exercício profissional do/a assistente social no Brasil. De acordo com a Lei de Regulamentação da Profissão nº 8.662/1993, é de competência do CFESS, na qualidade de órgão normativo de grau superior, o exercício da seguinte atribuição: - Alternativas
A
expedir carteiras profissionais de assistentes sociais
B
estabelecer os sistemas de registro dos profissionais habilitados.
C
zelar pela observância do Código de Ética Profissional.
D
aplicar as sanções previstas no Código de Ética Profissional."
17;-1;1;"Considerando as Resoluções do Conselho Federal de Serviço Social (CFESS) que orientam e normatizam o exercício profissional de assistentes sociais, assinale a alternativa correta. - Alternativas
A
A Resolução do CFESS que regulamenta a supervisão direta de estágio no serviço social flexibilizou o contido na Lei nº8.662/1993, estabelecendo que a supervisão direta de estágio em Serviço Social poderá ser realizada por profissional de nível superior da área de ciências sociais.
B
A Resolução do CFESS que dispõe sobre as condições éticas e técnicas do exercício profissional do(a) assistente social determina, dentre outros aspectos, que o atendimento efetuado pelo(a) assistente social deve ser feito com portas fechadas, de forma a garantir o sigilo.
C
A Resolução do CFESS que dispõe sobre os Procedimentos para efeito da Lacração do Material Técnico e Material Técnico-Sigiloso do(a) Serviço Social determina que o(a) assistente social garantirá o caráter confidencial das informações que vier a receber em razão de seu trabalho. Assim, nos casos de demissão ou exoneração, é obrigatório que o profissional realize a incineração do referido material.
D
Em 2018, por meio de Resolução do CRESS, institui-se no âmbito de todos os Conselhos Regionais de Serviço Social a Anotação da Responsabilidade Técnica do(a) assistente social, perante a instituição, órgão, empresa e outros onde o(a) assistente social atua profissionalmente.
E
Em 2018, por meio de Resolução do CFESS, alterou-se o Código de Ética do(a) Assistente Social a partir da introdução de aperfeiçoamentos formais, gramaticais e conceituais em seu texto e garantindo a linguagem de gênero."
34;-1;2;"A Lei n° 8.662/1993 dispõe sobre a profissão de Assistente Social no Brasil acerca das competências, atribuições, penalidades cabíveis ao profissional, entre outras questões pertinentes à atuação do Assistente Social. Considerando a referida Lei, analise as assertivas e assinale a alternativa que aponta a(s) correta(s).
I. Os Conselhos Regionais de Serviço Social são dotados de autonomia administrativa e financeira, sem prejuízo de sua vinculação ao Conselho Federal, nos termos da legislação em vigor. II. O exercício da profissão de Assistente Social requer prévio registro nos Conselhos Regionais que tenham jurisdição sobre a área de atuação do interessado nos termos desta Lei. III. Compete ao Conselho Federal de Serviço Social – CFESS – aprovar o Código de Ética Profissional dos Assistentes Sociais juntamente com os CRESS, no fórum máximo de deliberação do conjunto CFESS/CRESS. IV. Somente os estudantes de Serviço Social, sob supervisão direta de Assistente Social em pleno gozo de seus direitos profissionais, poderão realizar estágio de Serviço Social, cabendo às Unidades de Ensino credenciar e comunicar aos Conselhos Regionais de sua jurisdição os campos de estágio de seus alunos. - Alternativas
A
Apenas I.
B
Apenas II e III.
C
Apenas III e IV.
D
Apenas I, II e III.
E
I, II, III e IV."
1;0;0;"Sobre as alternativas abaixo é INCORRETO afirmar que - Alternativas
A
o fórum máximo de deliberação da profissão para fins da Lei n° 8662/1993 dar-se-á nas reuniões conjuntas dos Conselhos Federal e Regionais, que, inclusive, fixarão os limites de sua competência e sua forma de convocação.
B
o exercício da profissão de Assistente Social requer prévio registro nos Conselhos Regionais que tenham jurisdição sobre a área de atuação do interessado nos termos da referida lei.
C
os Conselhos Regionais de Serviço Social (CRESS) são dotados de autonomia política, administrativa e financeira, sem prejuízo de sua vinculação ao Conselho Federal.
D
o Conselho Federal de Serviço Social (CFESS) e os Conselhos Regionais de Serviço Social (CRESS) constituem, em seu conjunto, uma entidade com personalidade jurídica e forma federativa, com o objetivo básico de disciplinar e defender o exercício da profissão de Assistente Social em todo o território nacional."
18;0;1;"Sobre a Lei de Regulamentação da Profissão– Lei 8.662/93 que dispõe sobre a profissão de Assistente Social e dá outras providências, é INCORRETO afirmar que o(a)(as) - Alternativas
A
Conselho Federal e os Conselhos Regionais terão legitimidade para agir contra qualquer pessoa que infringir as disposições que digam respeito às prerrogativas, à dignidade e ao prestígio da profissão de assistente social.
B
inscrição nos Conselhos Regionais não sujeita os assistentes sociais ao pagamento das contribuições compulsórias (anuidades), taxas e demais emolumentos que forem estabelecidos em regulamentação baixada pelo Conselho Federal, em deliberação conjunta com os Conselhos Regionais.
C
organizações que se registrarem nos CRESS receberão um certificado que as habilitará a atuar na área de serviço social.
D
Carteira de Identificação Profissional, expedida pelos Conselhos Regionais de Serviço Social (CRESS), servirá de prova para fins de exercício profissional e de Carteira de Identidade Pessoal e terá fé pública em todo o território nacional.
E
Conselho Federal de Serviço Social (CFESS) e os Conselhos Regionais de Serviço Social (CRESS) contarão cada um com nove membros efetivos: presidente, vice-presidente, dois secretários, dois tesoureiros e três membros do Conselho Fiscal, e nove suplentes, eleitos dentre os assistentes sociais, por via direta, para um mandato de três anos."
35;0;2;"O Código de Ética do Assistente Social de 1993 apresenta, em seu artigo 7º:  - Alternativas
A
O fórum máximo de deliberação da profissão para os fins desta lei dar-se-á nas reuniões conjuntas dos Conselhos Federal e Regionais, que inclusive fixarão os limites de sua competência e sua forma de convocação.
B
A inscrição nos Conselhos Regionais sujeita os Assistentes Sociais ao pagamento das contribuições compulsórias (anuidades), taxas e demais emolumentos que forem estabelecidos em regulamentação baixada pelo Conselho Federal, em deliberação conjunta com os Conselhos Regionais.
C
A Carteira de Identificação Profissional expedida pelos Conselhos Regionais de Serviço Social (CRESS), servirá de prova para fins de exercício profissional e de Carteira de Identidade Pessoal, e terá fé pública em todo o território nacional.
D
O Conselho Federal e os Conselhos Regionais terão legitimidade para agir contra qualquer pessoa que infringir as disposições que digam respeito às prerrogativas, à dignidade e ao prestígio da profissão de Assistente Social.
E
O Conselho Federal de Serviço Social (CFESS) e os Conselhos Regionais de Serviço Social (CRESS) constituem, em seu conjunto, uma entidade com personalidade jurídica e forma federativa, com o objetivo básico de disciplinar e defender o exercício da profissão de Assistente Social em todo o território nacional."
2;1;0;"Compete ao Conselho Federal de Serviço Social (CFESS), na qualidade de órgão normativo, e ao Conselho Regional de Serviço Social (CRESS), órgão executivo, o exercício das seguintes atribuições, respectivamente: - Alternativas
A
organizar e manter o registro profissional dos assistentes sociais e o cadastro das instituições e obras sociais públicas e privadas, ou de fins filantrópicos; estabelecer os sistemas de registro dos profissionais habilitados.
B
fiscalizar e disciplinar o exercício da profissão de assistente social na respectiva região; orientar, disciplinar, normatizar, fiscalizar e defender o exercício da profissão de assistente social, em conjunto com o CRESS.
C
expedir carteiras profissionais de assistentes sociais, fixando a respectiva taxa; estabelecer os sistemas de registro dos profissionais habilitados.
D
zelar pela observância do Código de Ética Profissional, funcionando como Tribunais Regionais de Ética Profissional; funcionar como Tribunal Superior de Ética Profissional.
E
prestar assessoria técnico-consultiva aos organismos públicos ou privados, em matéria de Serviço Social; elaborar o respectivo Regimento Interno e submetê-lo a exame e aprovação do fórum máximo de deliberação do conjunto CFESS/CRESS."
19;1;1;"Considerando o Código de Ética e a Lei nº 8.662/1993 (de regulamentação da profissão) e assinale a alternativa INCORRETA.
 - Alternativas
A
O Conselho Federal de Serviço Social (CFESS) e os Conselhos Regionais de Serviço Social (CRESS) constituem, em seu conjunto, uma entidade com personalidade jurídica e forma federativa, com o objetivo básico de disciplinar e defender o exercício da profissão de Assistente Social em todo o território nacional.

B
Os Conselhos Regionais de Serviço Social (CRESS) são dotados de autonomia administrativa e financeira, sem prejuízo de sua vinculação ao Conselho Federal, nos termos da legislação em vigor.

C
Cabe ao Conselho Federal de Serviço Social (CFESS) e aos Conselhos Regionais de Serviço Social (CRESS), representar, em juízo e fora dele, os interesses gerais e individuais dos Assistentes Sociais, no cumprimento desta lei.

D
Compete aos Conselhos Regionais de Serviço Social (CRESS), na qualidade de órgão normativo de grau superior, o exercício das seguintes atribuições orientar, disciplinar, normatizar, fiscalizar e defender o exercício da profissão de Assistente Social, em conjunto com os Conselhos Municipais de cada região administrativa.

E
O Conselho Federal de Serviço Social (CFESS) terá sede e foro no Distrito Federal."
36;1;2;"Considerando-se a Lei nº 8.662/1993, NÃO compete ao Conselho Federal de Serviço Social ( CFESS), na qualidade de órgão normativo de grau superior: - Alternativas
A
Aplicar as sanções previstas no Código de Ética Profissional.
B
Prestar assessoria técnico-consultiva aos organismos públicos ou privados, em matéria de Serviço Social.
C
Estabelecer os sistemas de registro dos profissionais habilitados.
D
Funcionar como Tribunal Superior de Ética Profissional.
E
Orientar, disciplinar, normatizar, fiscalizar e defender o exercício da profissão de Assistente Social, em conjunto com o Conselho Regional de Serviço Social (CRESS)."
3;2;0;"A Resolução 493, de 21 de agosto de 2006, publicada pelo Conselho Federal do Serviço Social, dispõe sobre as condições éticas e técnicas do exercício profissional do assistente social. Com base na referida Resolução, atribua V (verdadeiro) ou F (falso) às afirmativas a seguir:

( ) O atendimento efetuado pelo assistente social deve ser feito com portas fechadas ou abertas, desde que seja garantido o sigilo.

( ) O assistente social deve informar por escrito à entidade, instituição ou órgão que trabalha ou presta serviços, sob qualquer modalidade, acerca das inadequações constatadas por este, quanto às condições éticas, físicas e técnicas do exercício profissional, sugerindo alternativas para melhoria dos serviços prestados.

( ) O material técnico utilizado e produzido no atendimento é de caráter reservado, sendo seu uso e acesso restrito aos assistentes sociais.

( ) O arquivo do material técnico, utilizado pelo assistente social, poderá estar em outro espaço físico, desde que se mantenha seu caráter reservado, sendo seu uso e acesso restrito aos assistentes sociais.

( ) O local de atendimento destinado ao assistente social deve, obrigatoriamente, ser dotado de espaço suficiente para abordagens coletivas, além de possuir iluminação adequada ao trabalho noturno.

Assinale a alternativa que contém, de cima para baixo, a sequência correta. - Alternativas
A
V, V, V, F, F
B
F, F, V, F, V
C
F, V, V, V, F
D
F, V, V, V, V"
