;info;enunciado;options;ano;banca;orgao;prova;articles_mentioned_enunciado;articles_mentioned_options;all_articles_mentioned;articles_numbers;paragraphs_mentioned;chapters_mentioned;titles_mentioned;incisos_mentioned;job;is_social_work;has_articles
0;Ano: 2018 Banca: Prefeitura de Fortaleza - CE Órgão: Prefeitura de Fortaleza - CE Prova: Prefeitura de Fortaleza - CE - 2018 - Prefeitura de Fortaleza - CE - Diversas Especialidades;Conforme estabelece o Sistema Nacional de Atendimento Socioeducativo (SINASE), a execução das medidas socioeducativas reger-se-á pelo princípio da:;"Alternativas
A
prioridade a medidas de privação de liberdade, visando à coibição da prática de ato infracional por adolescente.
B
não discriminação do adolescente, notadamente em razão de etnia, gênero, nacionalidade, classe social, orientação religiosa, política ou sexual, ou associação ou pertencimento a qualquer minoria ou status.
C
igualdade na aplicação das medidas decorrentes de um mesmo ato infracional, independentemente da idade, da capacidade e das circunstâncias pessoais do adolescente.
D
ruptura dos vínculos familiares e comunitários do adolescente durante o processo socioeducativo.";2018;Prefeitura;Prefeitura de Fortaleza - CE ; Prefeitura de Fortaleza - CE - 2018 - Prefeitura de Fortaleza - CE - Diversas Especialidades;;;;;;;;;Diversas Especialidades;0.0;0.0
1;Ano: 2018 Banca: FGV Órgão: MPE-AL Prova: FGV - 2018 - MPE-AL - Psicólogo;"De acordo com a Lei nº 12.594/12, que criou o SINASE, o cumprimento das medidas socioeducativas dependerá do Plano Individual de Atendimento (PIA).




Assinale a opção que indica o responsável pela elaboração do PIA.";"Alternativas
A
A equipe técnica da instituição de acolhimento, com a participação efetiva do adolescente e de sua família.
B
A equipe técnica da Vara da Infância e Juventude, com escuta prévia do adolescente que cometeu o ato infracional.
C
O juiz da Vara da Infância e Juventude, que definirá o programa mais adequado para a execução da medida.
D
O promotor responsável, que estabelecerá atividades de integração social e de capacitação profissional.
E
A equipe técnica do Conselho Tutelar, que considerará a participação da família no cumprimento do plano individual.";2018;FGV;MPE-AL ; FGV - 2018 - MPE-AL - Psicólogo;;;;;;;;;Psicólogo;0.0;0.0
2;Ano: 2015 Banca: FUNCERN Órgão: FUNDAC - RN Prova: FUNCERN - 2015 - FUNDAC - RN - Agente Educacional;Considerando os programas de meio aberto previstos no Sistema Nacional de Atendimento Socioeducativo (SINASE), cabe à direção do programa de prestação de serviços à comunidade ou de liberdade assistida:;"Alternativas
A
guardar sigilo sobre o rol de orientadores, sigilo este que deve abranger inclusive a autoridade judiciária e o Ministério Público, como medida preventiva de segurança.
B
receber o adolescente e seus pais ou responsável e orientá-los sobre a finalidade da medida e a organização e funcionamento do programa.
C
supervisionar o desenvolvimento da medida aplicada ao adolescente especificamente para aqueles que apresentarem mau comportamento.
D
encaminhar o adolescente para o orientador credenciado tão somente nos casos em que o adolescente apresentar índole má com episódios de violência.";2015;FUNCERN;FUNDAC - RN ; FUNCERN - 2015 - FUNDAC - RN - Agente Educacional;;;;;;;;;Agente Educacional;0.0;0.0
3;Ano: 2015 Banca: FUNCERN Órgão: FUNDAC - RN Prova: FUNCERN - 2015 - FUNDAC - RN - Agente Educacional;A execução das medidas socioeducativas reger-se-á pelos princípios de:;"Alternativas
A
excepcionalidade da intervenção judicial e da imposição de medidas, favorecendo-se meios de auto composição de conflitos.
B
máxima intervenção, medida necessária para a realização dos objetivos da medida, em especial para conter atos de violência.
C
discriminação do adolescente, notadamente em razão de etnia, gênero, nacionalidade, classe social, orientação religiosa, política ou sexual.
D
legalidade, podendo o adolescente receber tratamento mais gravoso do que o conferido ao adulto, se assim for necessário.";2015;FUNCERN;FUNDAC - RN ; FUNCERN - 2015 - FUNDAC - RN - Agente Educacional;;;;;;;;;Agente Educacional;0.0;0.0
4;Ano: 2018 Banca: IF-TO Órgão: IF-TO Prova: IF-TO - 2018 - IF-TO - Assistente de Aluno;O SINASE será coordenado:;"Alternativas
A
pela União e integrado pelos sistemas estaduais, distrital e municipais responsáveis pela implementação dos seus respectivos programas de atendimento a adolescente ao qual seja aplicada medida socioeducativa, com liberdade de organização e funcionamento.
B
pela Secretaria de Direitos Humanos dos estados, a que são vinculados.
C
pelos Estados, o Distrito Federal e os Municípios.
D
pela Justiça da Infância e da Juventude.
E
pela Secretaria da Receita Federal do Brasil.";2018;IF-TO;IF-TO ; IF-TO - 2018 - IF-TO - Assistente de Aluno;;;;;;;;;Assistente de Aluno;0.0;0.0
5;Ano: 2019 Banca: CETAP Órgão: Prefeitura de Ananindeua - PA Prova: CETAP - 2019 - Prefeitura de Ananindeua - PA - Assistente Social;"O SINASE 2009 determina que os Conselhos Nacional, Estaduais, Distrital e Municipais dos Direitos da Criança e do Adolescente bem como os órgãos gestores do Sistema Nacional de Atendimento Socioeducativo, nos seus respectivos níveis, devem articular-se com os Conselhos e órgãos responsáveis pelo controle, gestão, supervisão e avaliação dos demais sistemas e políticas sociais para o desenvolvimento de ações integradas e que levem em consideração as peculiaridades que cercam o atendimento aos adolescentes inseridos no SINASE. Entre outras ações que podem favorecer o desenvolvimento da articulação NÃO se destaca:
";"Alternativas
A
estímulo à prática da intersetorialidade.

B
campanhas conjuntas destinadas à sociedade em geral e aos profissionais da área, com vistas à concretização da Doutrina de Proteção Integral adotada pelo ECA.

C
promoção de discussões, encontros, seminários (gerais e temáticos) conjuntos.

D
respeito às competências e atribuições apenas dos entes municipais e de seus órgãos, evitando-se a sobreposição de ações.
";2019;CETAP;Prefeitura de Ananindeua - PA ; CETAP - 2019 - Prefeitura de Ananindeua - PA - Assistente Social;;;;;;;;;Assistente Social;1.0;0.0
6;Ano: 2018 Banca: FGV Órgão: Prefeitura de Niterói - RJ Prova: FGV - 2018 - Prefeitura de Niterói - RJ - Psicólogo;Dentre os objetivos das medidas socioeducativas, segundo o SINASE, encontra-se:;"Alternativas
A
a integração social do adolescente e a garantia de seus direitos individuais e sociais, por meio do cumprimento de seu plano individual de atendimento;
B
a primazia de receber proteção e socorro em quaisquer circunstâncias e precedência de atendimento nos serviços públicos ou de relevância pública;
C
o acesso integral às linhas de cuidado voltadas à criança e ao adolescente, por intermédio do Sistema Único de Saúde;
D
a preferência na formulação e na execução das políticas sociais públicas;
E
a destinação privilegiada de recursos públicos nas áreas relacionadas com a proteção à infância e à juventude.";2018;FGV;Prefeitura de Niterói - RJ ; FGV - 2018 - Prefeitura de Niterói - RJ - Psicólogo;;;;;;;;;Psicólogo;0.0;0.0
7;Ano: 2019 Banca: Instituto Consulplan Órgão: MPE-SC Prova: Instituto Consulplan - 2019 - MPE-SC - Promotor de Justiça - Vespertina;Para a Lei n. 12.594/2012 (Lei Sinase) é vedado à autoridade judiciária aplicar nova medida de internação, por atos infracionais praticados anteriormente, a adolescente que já tenha concluído cumprimento de medida socioeducativa dessa natureza, ou que tenha sido transferido para cumprimento de medida menos rigorosa, sendo tais atos absorvidos por aqueles aos quais se impôs a medida socioeducativa extrema.;"Alternativas
Certo
Errado";2019;Instituto;MPE-SC ; Instituto Consulplan - 2019 - MPE-SC - Promotor de Justiça - Vespertina;;;;;;;;;Promotor de Justiça Vespertina;0.0;0.0
8;Ano: 2013 Banca: FEPESE Órgão: SJC-SC Prova: FEPESE - 2013 - SJC-SC - Agente de Segurança Socioeducativo;"De acordo com a Lei no 12.594/2012, institui o Sistema Nacional de Atendimento Socioeducativo:

1. O adolescente que cumpre medida socioeducativa de internação não terá direito a visita íntima.

2. Os adolescentes em cumprimento de medida socioeducativa de internação têm direito de receber visita dos filhos, maiores de três anos de idade.

3. A direção do programa de atendimento é quem decidirá os dias e horários em que será autorizada a visita familiar.

Assinale a alternativa que indica todas as afirmativas corretas.";"Alternativas
A
É correta apenas a afirmativa 1.
B
É correta apenas a afirmativa 3.
C
São corretas apenas as afirmativas 1 e 2.
D
São corretas apenas as afirmativas 1 e 3.
E
São corretas as afirmativas 1, 2 e 3.";2013;FEPESE;SJC-SC ; FEPESE - 2013 - SJC-SC - Agente de Segurança Socioeducativo;;;;;;;;;Agente de Segurança Socioeducativo;0.0;0.0
9;Ano: 2013 Banca: VUNESP Órgão: FUNDAÇÃO CASA Prova: VUNESP - 2013 - FUNDAÇÃO CASA - Agente de Apoio Socioeducativo;Nos termos da Lei n.º 12.594/2012 – SINASE, a medida socioeducativa será declarada extinta;"Alternativas
A
pela morte do adolescente
B
no caso de adoção.
C
pela colocação em família substituta.
D
no caso de enfermidade leve do adolescente.
E
no caso de o maior de dezesseis anos responder a processo crime";2013;VUNESP;FUNDAÇÃO CASA ; VUNESP - 2013 - FUNDAÇÃO CASA - Agente de Apoio Socioeducativo;;;;;;;;;Agente de Apoio Socioeducativo;0.0;0.0
